date,open,high,low,close
03/01/18,3.3,3.36667,3.28333,3.31667
04/01/18,3.35,3.41667,3.31667,3.4
05/01/18,3.4,3.41667,3.36667,3.38333
08/01/18,3.4,3.41667,3.35,3.35
09/01/18,3.33333,3.33333,3.33333,3.33333
10/01/18,3.33333,3.35,3.3,3.31667
11/01/18,3.33333,3.35,3.3,3.31667
12/01/18,3.33333,3.4,3.33333,3.38333
15/01/18,3.4,3.41667,3.38333,3.41667
16/01/18,3.43333,3.46667,3.41667,3.45
17/01/18,3.46667,3.51667,3.45,3.51667
18/01/18,3.51667,3.51667,3.43333,3.43333
19/01/18,3.41667,3.41667,3.36667,3.4
22/01/18,3.41667,3.45,3.4,3.43333
23/01/18,3.45,3.45,3.4,3.4
24/01/18,3.4,3.43333,3.4,3.4
25/01/18,3.4,3.43333,3.36667,3.36667
26/01/18,3.38333,3.38333,3.33333,3.38333
29/01/18,3.38333,3.38333,3.35,3.38333
30/01/18,3.38333,3.38333,3.36667,3.38333
31/01/18,3.38333,3.4,3.36667,3.36667
01/02/18,3.36667,3.4,3.36667,3.36667
02/02/18,3.36667,3.4,3.36667,3.38333
05/02/18,3.33333,3.38333,3.33333,3.36667
06/02/18,3.31667,3.33333,3.28333,3.31667
07/02/18,3.31667,3.35,3.31667,3.31667
08/02/18,3.3,3.33333,3.28333,3.28333
09/02/18,3.25,3.3,3.23333,3.28333
12/02/18,3.33333,3.33333,3.3,3.31667
13/02/18,3.31667,3.33333,3.31667,3.33333
14/02/18,3.33333,3.33333,3.28333,3.28333
15/02/18,3.3,3.3,3.25,3.26667
16/02/18,3.28333,3.31667,3.26667,3.28333
19/02/18,3.3,3.31667,3.28333,3.3
20/02/18,3.3,3.31667,3.3,3.3
21/02/18,3.3,3.31667,3.26667,3.28333
22/02/18,3.3,3.3,3.23333,3.25
23/02/18,3.25,3.28333,3.23333,3.23333
26/02/18,3.25,3.3,3.25,3.25
27/02/18,3.26667,3.28333,3.23333,3.23333
28/02/18,3.25,3.25,3.16667,3.23333
02/03/18,3.23333,3.23333,3.13333,3.16667
05/03/18,3.18333,3.2,3.13333,3.15
06/03/18,3.15,3.15,3.15,3.15
07/03/18,3.15,3.16667,3.1,3.1
08/03/18,3.1,3.11667,3.06667,3.08333
09/03/18,3.08333,3.08333,2.91667,3
12/03/18,3,3.01667,2.95,2.98333
13/03/18,2.98333,2.98333,2.91667,2.93333
14/03/18,2.96667,3.08333,2.96667,3.03333
15/03/18,3.03333,3.05,3.01667,3.05
16/03/18,3.05,3.05,3,3.01667
19/03/18,3.03333,3.03333,2.96667,2.96667
20/03/18,2.96667,3,2.93333,2.96667
21/03/18,2.98333,3.01667,2.95,3.01667
22/03/18,3.03333,3.03333,2.95,2.95
23/03/18,2.93333,2.96667,2.93333,2.95
26/03/18,2.95,2.95,2.91667,2.93333
27/03/18,2.95,3,2.93333,2.98333
28/03/18,3,3.05,2.93333,2.95
29/03/18,2.96667,2.98333,2.93333,2.93333
30/03/18,2.93333,2.96667,2.88333,2.9
02/04/18,2.9,2.95,2.88333,2.95
03/04/18,2.95,2.95,2.8,2.8
04/04/18,2.8,2.8,2.5,2.5
05/04/18,2.56667,2.56667,2.36667,2.41667
09/04/18,2.41667,2.48333,2.21667,2.25
10/04/18,2.3,2.35,2.2,2.3
11/04/18,2.41667,2.48333,2.36667,2.45
12/04/18,2.48333,2.55,2.48333,2.53333
17/04/18,2.55,2.56667,2.48333,2.5
18/04/18,2.51667,2.56667,2.5,2.55
19/04/18,2.56667,2.61667,2.51667,2.6
20/04/18,2.61667,2.63333,2.56667,2.63333
23/04/18,2.63333,2.63333,2.56667,2.58333
24/04/18,2.53333,2.55,2.5,2.51667
25/04/18,2.5,2.53333,2.5,2.5
26/04/18,2.5,2.51667,2.46667,2.46667
27/04/18,2.46667,2.48333,2.41667,2.43333
30/04/18,2.45,2.48333,2.4,2.41667
02/05/18,2.43333,2.45,2.38333,2.45
03/05/18,2.45,2.55,2.45,2.51667
04/05/18,2.53333,2.53333,2.5,2.51667
07/05/18,2.51667,2.56667,2.5,2.53333
08/05/18,2.53333,2.53333,2.48333,2.5
09/05/18,2.48333,2.5,2.46667,2.48333
10/05/18,2.48333,2.48333,2.43333,2.46667
11/05/18,2.43333,2.45,2.41667,2.43333
14/05/18,2.45,2.48333,2.43333,2.45
15/05/18,2.46667,2.55,2.35,2.53333
16/05/18,2.53333,2.55,2.48333,2.53333
17/05/18,2.53333,2.56667,2.48333,2.56667
18/05/18,2.56667,2.56667,2.5,2.55
21/05/18,2.56667,2.6,2.53333,2.6
22/05/18,2.61667,2.61667,2.55,2.6
23/05/18,2.6,2.68333,2.6,2.66667
24/05/18,2.7,2.78333,2.68333,2.7
25/05/18,2.71667,2.78333,2.7,2.78333
28/05/18,2.76667,2.78333,2.71667,2.71667
30/05/18,2.71667,2.73333,2.68333,2.73333
31/05/18,2.75,2.75,2.68333,2.71667
01/06/18,2.71667,2.73333,2.63333,2.65
04/06/18,2.65,2.65,2.6,2.61667
05/06/18,2.63333,2.63333,2.58333,2.6
06/06/18,2.6,2.65,2.58333,2.58333
07/06/18,2.56667,2.58333,2.53333,2.53333
08/06/18,2.53333,2.56667,2.53333,2.55
11/06/18,2.55,2.58333,2.53333,2.55
12/06/18,2.55,2.56667,2.51667,2.53333
13/06/18,2.53333,2.55,2.51667,2.51667
