date,open,high,low,close
03/01/18,44.25,47.25,44,46.75
04/01/18,46.5,46.75,45.5,45.5
05/01/18,45.5,46,43.75,44
08/01/18,44,44.75,44,44.25
09/01/18,44.5,44.5,44.5,44.5
10/01/18,44.75,44.75,43.25,43.5
11/01/18,43.25,43.75,42.75,43
12/01/18,43,43.25,42,42.25
15/01/18,42.5,43,41.75,42.5
16/01/18,42.75,43.75,42.5,43.75
17/01/18,43.75,44.5,43.5,44.25
18/01/18,44.25,44.5,43.5,43.75
19/01/18,43.5,44,42.75,43
22/01/18,43,43.5,42.75,43.25
23/01/18,43.75,43.75,43,43.25
24/01/18,43.25,43.75,43,43.75
25/01/18,43.25,43.5,41.75,42
26/01/18,42.25,42.5,41.75,42.5
29/01/18,42.75,43,42.5,43
30/01/18,43,43,42.5,43
31/01/18,43,43,42.5,42.5
01/02/18,42.5,43,42,42.25
02/02/18,42.5,42.75,41.25,41.5
05/02/18,41,43.5,41,43.25
06/02/18,43.25,43.5,42.5,42.75
07/02/18,43,43,42,42
08/02/18,42.5,43.5,42.5,43.25
09/02/18,43,44.25,42.75,43.5
12/02/18,43.5,44,42.5,42.75
13/02/18,42.75,43.5,42.75,43
14/02/18,43,43.25,42.25,42.25
15/02/18,42.25,43,42.25,42.75
16/02/18,42.5,42.75,42,42
19/02/18,42.25,42.75,42,42.25
20/02/18,42.5,42.75,42,42.5
21/02/18,42.75,43,42,42
22/02/18,42,42.5,40.75,41.75
23/02/18,42,42.75,41.75,42.25
26/02/18,42.5,42.5,41.25,42
27/02/18,41.75,42,41,41
28/02/18,41.25,41.75,41,41.25
02/03/18,40.75,41.5,39.5,39.5
05/03/18,39.25,39.25,37.75,37.75
06/03/18,33.75,33.75,33.75,33.75
07/03/18,33.75,36.25,33.75,34.5
08/03/18,34.75,35.25,34,34.25
09/03/18,34.25,35.25,34,34.25
12/03/18,34.75,35.75,34.5,34.5
13/03/18,34.5,35.25,34.5,35
14/03/18,34.25,34.5,34,34.5
15/03/18,34.75,34.75,34,34.5
16/03/18,34.5,36,34.5,36
19/03/18,36,36.5,34.75,34.75
20/03/18,35,35.25,34.25,34.5
21/03/18,34.75,35.25,34.5,35.25
22/03/18,35.25,35.25,34.5,34.5
23/03/18,34.25,34.25,33.25,33.25
26/03/18,33.25,33.25,31.5,32.25
27/03/18,32.5,33.5,32.5,33
28/03/18,32.75,32.75,30.5,31.5
29/03/18,31.25,32.75,31.25,32.5
30/03/18,32.5,32.75,32,32.25
02/04/18,32.25,32.75,32,32.5
03/04/18,32.25,32.75,32,32
04/04/18,32.5,32.5,31.25,31.5
05/04/18,31.75,32.5,31.5,32.25
09/04/18,32.25,33.25,32.25,33
10/04/18,33,34.5,32.75,34.25
11/04/18,34.25,35,34,34.75
12/04/18,34.5,34.5,34,34.25
17/04/18,34.25,34.5,34,34
18/04/18,34.25,35.25,34,34.5
19/04/18,34.5,34.75,34.25,34.5
20/04/18,34.75,35,34.5,34.75
23/04/18,35,36,35,35.75
24/04/18,36,36.25,35.75,35.75
25/04/18,35.75,35.75,35.25,35.5
26/04/18,35.5,36,35.25,35.25
27/04/18,35.5,35.5,34,34.25
30/04/18,34.5,35.25,34.25,34.75
02/05/18,34.75,35,34,34.5
03/05/18,34.5,35.5,34.5,35.25
04/05/18,35.25,35.75,35.25,35.5
07/05/18,35.75,36,35.5,35.5
08/05/18,35.5,37,35.5,37
09/05/18,37,37,36.25,36.25
10/05/18,36.5,37.25,35.75,36
11/05/18,35.75,36.25,35.25,35.5
14/05/18,35.5,36.75,35.5,36.5
15/05/18,36.25,36.5,35.5,35.75
16/05/18,35.75,36.25,35.5,35.5
17/05/18,35.75,36,35.25,35.5
18/05/18,35.75,36.25,35.5,35.5
21/05/18,35.75,36.5,35.75,36.5
22/05/18,36.25,36.5,36,36.25
23/05/18,36.25,36.25,35.75,36.25
24/05/18,36,36.25,35.5,35.75
25/05/18,35.5,35.75,34.5,34.75
28/05/18,34.5,35.75,34.5,35.25
30/05/18,35,35.25,34,34.5
31/05/18,34.5,34.75,33.5,34.25
01/06/18,34,34.25,33.75,34
04/06/18,34,34,33,33.75
05/06/18,34,34.25,33.25,34
06/06/18,34,34.5,33.75,34.5
07/06/18,34.5,34.5,33.75,34
08/06/18,34,34.75,34,34.5
11/06/18,34.5,35,34.5,34.75
12/06/18,34.75,35,34.25,34.5
13/06/18,34.5,35,34.5,34.75
14/06/18,34.75,34.75,34,34.25
15/06/18,34.25,35.5,34.25,35
18/06/18,35.25,35.5,34,34.25
19/06/18,34,34.25,32.75,33
20/06/18,33,33.5,32.75,33.25
21/06/18,33.5,34,33.25,33.5
22/06/18,33.5,34,33,33.75
25/06/18,34,34,33,33
26/06/18,32.75,32.75,31.5,31.75
27/06/18,32,32.25,31.5,31.75
28/06/18,31.5,31.75,30.25,30.75
29/06/18,30.5,33,30.5,33
02/07/18,32.75,33.75,32.25,33.75
03/07/18,34,34,33.25,33.5
04/07/18,33.5,34,33.25,33.5
05/07/18,33.5,34.25,33.25,33.75
06/07/18,33.75,35.25,33.5,35.25
09/07/18,35.25,35.25,34.75,35
10/07/18,35,35.25,34.5,35
11/07/18,34.75,35.75,34.75,35.25
12/07/18,35.5,36,35.25,36
13/07/18,36,36.5,36,36.5
16/07/18,36,36.75,35.25,36.75
17/07/18,36.25,37,36.25,37
18/07/18,37,37,36.5,37
19/07/18,37,37,36.5,36.75
20/07/18,36.5,37.25,36.25,36.75
23/07/18,36.5,36.5,35.75,36.25
24/07/18,36.25,37,36,36.5
25/07/18,36.5,37,36.25,36.5
26/07/18,36.5,36.75,36,36.5
31/07/18,36.25,36.5,36,36
01/08/18,36,36.5,36,36
02/08/18,35.75,36,35.5,36
03/08/18,36,36.75,36,36.75
06/08/18,36.75,38.5,36.75,37.5
07/08/18,37.75,38.5,37.5,38.25
08/08/18,38.5,38.75,37.75,38.5
09/08/18,38.5,38.75,38,38.75
10/08/18,37,38.25,37,38.25
14/08/18,38,39.25,37.5,39.25
15/08/18,39.25,39.5,38.5,39.25
16/08/18,39,39,38.25,38.5
17/08/18,38.75,38.75,37.75,38
20/08/18,38,38.25,37.5,38
21/08/18,37.75,37.75,36,36.25
22/08/18,36.25,36.75,35.75,35.75
23/08/18,36,37,36,36.75
24/08/18,37.25,37.75,36.75,37.75
27/08/18,37.5,37.75,37,37.5
28/08/18,37.75,38,37.25,37.25
29/08/18,37,37.75,37,37.75
30/08/18,37.75,38.5,37.75,38.25
31/08/18,38.25,38.75,38,38.5
03/09/18,38.5,40,38.5,39.5
04/09/18,39.75,40.5,39.25,40
05/09/18,41,41.75,40.25,41
06/09/18,40.5,41.25,40.25,40.25
07/09/18,40.5,41.25,40.25,41.25
10/09/18,41.25,41.25,40.25,40.5
11/09/18,40.75,41.25,40.5,40.75
12/09/18,40.5,41.5,40.25,40.75
13/09/18,41,41.5,40.75,40.75
14/09/18,41,41.25,40.5,40.5
17/09/18,40.5,41,39.5,39.75
18/09/18,39.75,40.75,39.5,40.5
19/09/18,40.75,40.75,39,39
20/09/18,38.75,39.25,38,38.75
21/09/18,39,39.75,38.5,39.25
24/09/18,39.5,40,39.25,39.25
25/09/18,39.75,40,39.25,39.5
26/09/18,39.5,40,38.75,39.5
27/09/18,39.5,39.75,39,39.25
28/09/18,39.5,40.5,38.75,39.5
01/10/18,39.25,39.5,39,39.5
02/10/18,39.25,40.5,39.25,40.5
03/10/18,40.25,40.75,39.5,39.5
04/10/18,40,41.25,39.75,40.75
05/10/18,41,41.25,39.25,39.25
08/10/18,39.5,39.5,39,39.25
09/10/18,39.25,39.25,38.25,38.25
10/10/18,38,38.5,37,37.25
11/10/18,37,38,36.75,37.75
12/10/18,38,38.25,37.5,38
16/10/18,38,38.5,37.75,38
17/10/18,38.5,38.75,38,38.25
18/10/18,38.5,39.75,38.25,39.5
19/10/18,39,39.5,38.5,39.5
22/10/18,38,38.25,37.5,37.75
24/10/18,37.25,37.5,35.75,35.75
25/10/18,35.5,36,34,35.75
26/10/18,35.5,35.5,34.5,34.75
29/10/18,34.75,35.5,34.75,35
30/10/18,35,35.25,35,35
31/10/18,35.5,36.5,35.5,36.25
01/11/18,36.25,37.25,36.25,37
02/11/18,37,37,36.25,36.25
05/11/18,36,36.25,35.75,36
06/11/18,36,36.25,35.5,35.5
07/11/18,35.5,35.75,34.5,34.75
08/11/18,35,35.25,34.5,34.5
09/11/18,34.5,34.75,33,33.25
12/11/18,33,33.5,32.75,33.5
13/11/18,33.25,33.75,33,33.75
14/11/18,33.5,33.75,33.25,33.25
15/11/18,35,35.75,34.75,35.5
16/11/18,35,36.25,35,36.25
19/11/18,35.75,36.5,34.75,34.75
20/11/18,34.75,34.75,33.25,33.5
21/11/18,33.25,33.5,32.75,33.5
22/11/18,33.5,34,33.25,33.25
23/11/18,33.25,34,33.25,34
26/11/18,33.75,34,33,33.25
27/11/18,33.5,34.25,33.5,34
28/11/18,34,35.25,33.75,34.75
29/11/18,35,35,33.5,33.5
30/11/18,33.75,34.25,33.5,33.75
03/12/18,35,37.25,35,37.25
04/12/18,37,37.25,36.25,36.5
06/12/18,36,36,35.25,35.5
07/12/18,35.75,36.5,35.5,36.25
11/12/18,36,36.25,35,35.25
12/12/18,35.5,36,35,35
13/12/18,35.25,35.5,34.5,34.75
14/12/18,34.75,35.25,34.5,35
17/12/18,35,35,34.25,34.25
18/12/18,34.25,34.25,33.5,33.75
19/12/18,33.75,34.25,33.5,34
20/12/18,34,34,33.25,33.75
21/12/18,33.5,33.75,32.25,32.25
24/12/18,32.25,33,32,32
25/12/18,32,32.25,31.5,31.75
26/12/18,31.5,32.25,31.5,32
27/12/18,32.75,33,31.5,31.5
28/12/18,31.75,33,31.5,33
02/01/19,32.5,33,32,32
03/01/19,31.75,32,30.75,31
04/01/19,30.75,31,29.75,30
07/01/19,30.5,30.75,30.25,30.5
08/01/19,30.75,31.5,30.5,30.75
09/01/19,31.25,32,31.25,31.5
10/01/19,31.75,32.5,31.75,32.5
11/01/19,32.5,32.5,31.75,32
14/01/19,32,32.25,31.5,31.75
15/01/19,31.75,32,31.25,31.25
16/01/19,31.25,31.75,31,31
17/01/19,31.25,32.25,31.25,32.25
18/01/19,32.25,32.25,32,32
21/01/19,32.25,33,32.25,32.75
22/01/19,33,33.25,32.25,32.75
23/01/19,32.75,33.75,32.75,33.5
24/01/19,33.75,34,33.5,33.75
25/01/19,33.75,34,33.25,33.5
28/01/19,33.5,33.5,33,33.25
29/01/19,33.5,33.5,33.25,33.25
30/01/19,33.5,33.75,33,33.75
31/01/19,34,34.5,33.75,34.5
01/02/19,34.75,35,34.25,34.75
04/02/19,35,35.25,34.5,35.25
05/02/19,35.25,35.25,34.25,34.75
06/02/19,34.75,35.25,34.5,34.75
07/02/19,34.75,35.5,34.75,35
08/02/19,35.25,35.25,34.5,34.75
11/02/19,34.75,35.25,34.5,35
12/02/19,34.75,35.25,34.5,34.75
13/02/19,35,36,35,36
14/02/19,36,36.25,35.5,36
15/02/19,36,36,35,35.25
18/02/19,35.5,35.75,35,35
20/02/19,35,36,35,36
21/02/19,36,36,35.25,35.5
22/02/19,35.5,36,35.25,35.5
25/02/19,35.75,36,35.5,36
26/02/19,35.75,36,35.5,35.75
27/02/19,35.75,35.75,35.25,35.75
28/02/19,35.5,36,35.5,35.75
01/03/19,35.75,35.75,35.25,35.5
04/03/19,35.5,36.5,35.5,35.75
05/03/19,35.5,36,35.25,35.5
06/03/19,35.5,35.75,35.25,35.75
07/03/19,35.5,35.75,35.25,35.5
08/03/19,35.25,35.75,35,35.5
11/03/19,35.5,35.75,35,35.25
12/03/19,35.5,35.5,34.75,34.75
13/03/19,34.75,35.5,34.5,35
14/03/19,34,34.5,33.5,34.25
15/03/19,34.25,34.5,34,34.25
18/03/19,34.5,34.5,34,34.25
19/03/19,34,34.25,33.25,33.25
20/03/19,33,33.25,29.5,30.5
21/03/19,30.75,31,30.5,31
22/03/19,31,31.5,30.5,30.75
25/03/19,30.75,31.5,30.5,31
26/03/19,31.25,31.75,31,31
27/03/19,31.25,31.5,31,31
28/03/19,31.25,31.5,31,31
29/03/19,31.5,32,31,31
01/04/19,31.25,32.75,31.25,32
02/04/19,32.25,33,32.25,32.5
03/04/19,32.75,32.75,32.25,32.25
04/04/19,32.25,32.75,32.25,32.75
05/04/19,33,34,32.75,33.5
09/04/19,33,34,32.75,34
10/04/19,33.75,34,33.25,33.5
11/04/19,33.5,33.75,32.75,33.25
12/04/19,33.25,34,33,34
17/04/19,34,34.5,33,33.25
18/04/19,33.5,33.75,33,33.25
19/04/19,33.25,33.25,32.25,32.5
22/04/19,32.5,33.25,32.25,32.75
23/04/19,32.75,33.5,32.75,33
24/04/19,33.25,33.5,33,33.25
25/04/19,33.5,33.75,32.75,33
26/04/19,33,33.5,32.75,33
29/04/19,33,33.25,32,32.25
30/04/19,32.25,32.5,32.25,32.5
02/05/19,32.5,33,32.25,33
03/05/19,32.75,33,32.5,32.5
07/05/19,32.25,32.5,31,31.25
08/05/19,31.25,31.25,30.75,31
09/05/19,31,31.75,31,31
10/05/19,31.25,31.25,30.25,30.25
13/05/19,30.25,31.25,30.25,30.75
14/05/19,30.25,31,30,30.75
15/05/19,30.25,30.25,26.5,26.75
16/05/19,27,27.75,26.75,27.5
17/05/19,27.25,27.25,24.9,24.9
21/05/19,24.6,25,23.4,24.9
22/05/19,25,25.75,24.4,25.25
23/05/19,25,25,24.1,24.1
24/05/19,24.1,24.6,23.6,24.299999
27/05/19,24.5,24.9,24.1,24.200001
28/05/19,24.200001,24.9,24.1,24.5
29/05/19,24.6,25.25,24.5,24.700001
30/05/19,24.700001,25.75,24.700001,25.5
31/05/19,25.25,25.25,24.6,24.799999
04/06/19,24.9,24.9,24.4,24.6
05/06/19,24.799999,25.25,24.700001,25
06/06/19,25.25,25.5,24.700001,25
07/06/19,25,25.25,24.6,24.9
10/06/19,25.25,26.25,25.25,26.25
11/06/19,26.5,26.5,25.5,26
12/06/19,25.75,26,25.5,25.75
13/06/19,25.75,26.5,25.25,26
14/06/19,26,26.25,25.5,26
17/06/19,26,26.25,25.25,25.25
18/06/19,25.5,25.5,25,25
19/06/19,26,26.5,25.75,26.25
20/06/19,26.75,27,26,26.25
21/06/19,26.25,26.5,25.75,25.75
24/06/19,25.75,26.25,25.5,25.5
25/06/19,25.5,25.75,25.25,25.5
26/06/19,25.5,25.75,25,25.5
27/06/19,25.75,26,25.5,25.75
28/06/19,26,26,25.5,25.75
01/07/19,27.25,28,27,27.25
02/07/19,27.5,27.75,27.25,27.5
03/07/19,27.25,27.5,26.75,27.25
04/07/19,27.25,28,26.75,27.25
05/07/19,27.75,28,27,27.5
08/07/19,27.5,28,27.25,27.75
09/07/19,27.5,27.5,27,27.25
10/07/19,27.25,27.5,27,27.5
11/07/19,27.5,28.5,27.5,27.75
12/07/19,28,29,27.75,28.75
15/07/19,28.5,29,28,28.25
17/07/19,28.5,28.5,28,28.25
18/07/19,28,28,27,27.75
19/07/19,27.75,28.5,27.5,27.75
22/07/19,27.75,28.5,27.5,28.25
23/07/19,28.25,28.5,28,28.25
24/07/19,28.25,29.25,28.25,28.75
25/07/19,29,30.75,29,30
26/07/19,30,30.25,29.25,29.5
30/07/19,29.5,29.75,28.25,28.5
31/07/19,28.25,28.5,27.75,28
01/08/19,27.5,28.25,27.5,27.5
02/08/19,27.25,27.25,26,26.5
05/08/19,26.25,26.5,26,26
06/08/19,25.75,26.25,25.25,25.75
07/08/19,25.75,26.75,25.25,26
08/08/19,26.25,27,26,26.75
09/08/19,27,27,25.75,25.75
13/08/19,26.25,27.25,26.25,26.75
14/08/19,27.25,29,27.25,29
15/08/19,28,28.5,27.25,28.25
16/08/19,28.25,28.5,28,28.25
19/08/19,28.75,29,27.75,28
20/08/19,28,28.75,27.75,28
21/08/19,28.25,28.75,28,28.5
22/08/19,28.75,29.25,28.5,28.5
23/08/19,28.75,29,28.5,28.75
26/08/19,27.75,28.25,26.5,26.75
27/08/19,27.25,27.75,26.5,26.75
28/08/19,27,27.5,26.75,27.25
29/08/19,27.25,28.25,27.25,27.75
30/08/19,28.25,28.5,28,28.5
02/09/19,28.25,28.25,27.75,28
03/09/19,28,29,27.75,28.25
04/09/19,28.5,28.5,27.75,27.75
05/09/19,28.25,29.5,28.25,29
06/09/19,29.5,29.75,28,28.5
09/09/19,28.5,29.25,28.5,28.5
10/09/19,29,29,28,28.5
11/09/19,28.5,29.25,28.5,29.25
12/09/19,29.75,29.75,29,29
13/09/19,29,29.5,28.75,28.75
16/09/19,28.75,29.25,28.5,28.5
17/09/19,28.75,29.25,28.5,29
18/09/19,29,29.25,28,28.25
19/09/19,28.5,28.5,27.5,27.5
20/09/19,27.75,28.25,27.5,28
23/09/19,28,28.5,28,28.25
24/09/19,28.5,28.5,28,28.5
25/09/19,28.5,28.5,28,28.25
26/09/19,28.25,28.75,28.25,28.5
27/09/19,28.25,28.75,28.25,28.5
30/09/19,28.5,28.5,28,28.25
01/10/19,28,28.25,27.75,28
02/10/19,27.75,28.5,27.25,27.25
03/10/19,27.25,27.5,26.75,27
04/10/19,27,27.75,26.75,27.5
07/10/19,27.5,27.75,27,27.25
08/10/19,27.5,28.25,27.5,27.75
09/10/19,27.75,28,27.25,27.75
10/10/19,27.5,29,27.5,28
11/10/19,28,28.5,27.75,27.75
15/10/19,28,28.5,27.75,28
16/10/19,28,28.25,27.75,28
17/10/19,28,28.25,27.75,28.25
18/10/19,28,28.5,28,28
21/10/19,27.5,28.75,27.5,28.25
22/10/19,28.25,29,28.25,28.75
24/10/19,28,28.25,27.75,27.75
25/10/19,27.75,27.75,26.5,26.5
28/10/19,25.75,26,25,25.25
29/10/19,25.25,25.75,23.9,24
30/10/19,24.1,24.700001,24,24.5
31/10/19,24.700001,25.75,24.6,25.5
01/11/19,25,25.75,24.799999,24.799999
04/11/19,25,27,24.9,26.5
05/11/19,27,27.5,26.75,27.25
06/11/19,27.5,28,27,27.75
07/11/19,27.75,29,27.5,29
08/11/19,29.25,30.25,29,30
11/11/19,29.75,30,29,29.75
12/11/19,29.75,30.25,28.5,29.5
13/11/19,29.5,30,29.25,30
14/11/19,29.25,29.5,28.25,29.25
15/11/19,29,29.75,28.75,29
18/11/19,28.75,29.25,28.5,28.75
19/11/19,29,30,28.75,30
20/11/19,29.5,30,29.25,29.25
21/11/19,29.5,30,29,30
22/11/19,30,31.75,30,31.25
25/11/19,31.75,33,31.75,32.75
26/11/19,32.5,33,31.5,31.75
27/11/19,31.25,32,31,31.25
28/11/19,31.25,31.75,30.25,30.75
29/11/19,30.75,31.5,30.25,31.25
02/12/19,31.25,31.5,30.25,30.75
03/12/19,30.5,31.25,30.5,30.75
04/12/19,30.25,31,29.5,30.5
06/12/19,30.75,32.25,30.75,31.5
09/12/19,31.75,32,30.75,31.75
11/12/19,31.75,32.75,31.5,32.75
12/12/19,32.75,33.5,32.25,32.75
13/12/19,34,34,33.5,33.5
16/12/19,33.5,33.75,32.75,33.5
17/12/19,33.5,33.75,32.75,33.75
18/12/19,33.75,34,33,33.25
19/12/19,33.5,34.5,33.5,34
20/12/19,34,34.75,33.75,34.25
23/12/19,34,34.5,34,34.25
24/12/19,34.25,34.25,33.75,33.75
25/12/19,33.5,34.25,33.5,34
26/12/19,33.75,35,33.75,34.75
27/12/19,35,35.5,34.5,35
30/12/19,35,35.25,34.5,34.5
02/01/20,34.5,34.5,32.25,33.25
03/01/20,33.5,33.5,33,33
06/01/20,33,33.75,32.75,33
07/01/20,33,33.75,33,33.5
08/01/20,33.5,34,32.75,34
09/01/20,34.25,35.25,34.25,35
10/01/20,35,35.75,34.75,35.5
13/01/20,35.75,36,35.25,35.5
14/01/20,35.5,36,35.5,35.75
15/01/20,35.5,35.75,34.75,35
16/01/20,35.5,36.25,35,36
17/01/20,36.25,37.25,36,37.25
20/01/20,37.5,37.5,35.5,35.75
21/01/20,35.75,36.25,35.25,35.5
22/01/20,35.5,35.75,35.25,35.5
23/01/20,35.5,36.5,35.5,36
24/01/20,36.25,36.5,35.75,36.25
27/01/20,36.25,36.5,35.25,36.25
28/01/20,36.25,36.5,33.25,35
29/01/20,35,35.25,33.25,35
30/01/20,35,35.25,34,35.25
31/01/20,35.25,35.75,34.25,35.25
03/02/20,34.75,35,34.5,34.75
04/02/20,35.25,35.5,34.75,35.25
05/02/20,35.25,36,35,36
06/02/20,36.25,37.75,36,36.75
07/02/20,36.5,37.75,36.5,37
11/02/20,37,37,35.5,35.5
12/02/20,35.75,36.75,35.75,36.25
13/02/20,36.5,36.75,34.75,35
14/02/20,34.75,35,32.5,32.5
17/02/20,32.5,34,32.5,33.5
18/02/20,33.25,33.75,32.5,32.75
19/02/20,33,34,33,33.75
20/02/20,33.75,34.5,33.5,34
21/02/20,33.75,34,33.25,34
24/02/20,33.75,34.25,33.25,33.5
25/02/20,33.75,36.25,33.75,36.25
26/02/20,35.5,36.5,34,34.75
27/02/20,34.75,36.25,33,36.25
28/02/20,34.75,35,33.25,33.5
02/03/20,33.25,33.5,30.25,32
03/03/20,32.25,32.25,30.75,31.75
04/03/20,31.5,32,31,31.75
05/03/20,32,32.75,31.75,32.25
06/03/20,31.75,32.25,31.25,31.5
09/03/20,29.75,30.5,28.75,28.75
10/03/20,29.25,30.25,28.75,29
11/03/20,29.25,30,28.75,29
12/03/20,27.75,27.75,24.6,25.25
13/03/20,23,28,23,25.25
