date,open,high,low,close
03/01/18,56.25,58,56.25,57.75
04/01/18,57.75,58,57.25,57.5
05/01/18,57.5,58,57.25,57.5
08/01/18,57.5,58.5,57.25,57.5
09/01/18,57.75,57.75,57.75,57.75
10/01/18,57.75,58.5,57.5,57.75
11/01/18,57.75,58.25,57.5,58
12/01/18,58,59,58,58
15/01/18,58.25,59,58.25,58.25
16/01/18,58.25,58.75,58,58.25
17/01/18,58.25,58.5,57.5,57.75
18/01/18,57.75,58.25,57.5,57.75
19/01/18,58,58.25,57.5,58
22/01/18,57.75,58.75,57.75,58.25
23/01/18,58.5,59.25,58.25,58.75
24/01/18,58.5,59,58.25,58.25
25/01/18,58.5,58.75,57.5,57.75
26/01/18,57.75,58,57.5,57.75
29/01/18,57.75,58.25,57.75,58
30/01/18,58.25,58.25,57.5,58
31/01/18,57.75,58.25,57.5,57.5
01/02/18,57.5,58,57.25,57.75
02/02/18,57.75,58.5,57.75,57.75
05/02/18,57.25,57.75,57,57.75
06/02/18,57,57.25,56,56.75
07/02/18,57,57,55.75,56
08/02/18,56,56.5,56,56.25
09/02/18,55.75,56.25,55.5,55.5
12/02/18,55.5,57,55.5,56.75
13/02/18,57,58,56.75,57.25
14/02/18,57.75,58,57.25,57.75
15/02/18,57.75,58.5,57.5,58.25
16/02/18,58.5,58.5,57.75,58
19/02/18,58,58.25,57.25,57.5
20/02/18,57.5,58,57.25,57.25
21/02/18,57.25,57.75,57.25,57.75
22/02/18,57.5,57.75,56.75,56.75
23/02/18,57,57.5,56.75,57.25
26/02/18,57.5,57.75,57,57.5
27/02/18,57.75,58.5,57.5,57.5
28/02/18,57.5,58,57,57
02/03/18,56.75,57.25,56.5,57
05/03/18,57,57.5,56.5,57
06/03/18,57.25,57.25,57.25,57.25
07/03/18,57.25,57.75,56.75,56.75
08/03/18,56.75,57.5,56.75,57
09/03/18,57.5,58,57.25,58
12/03/18,58,58.75,57.75,58.75
13/03/18,58.75,59,58.25,58.5
14/03/18,58.5,58.5,57.75,58
15/03/18,58,58.5,57.5,58
16/03/18,58.25,59.5,58,58.75
19/03/18,59,59.5,58.75,59
20/03/18,59,59.5,59,59.25
21/03/18,59.25,59.75,59,59.25
22/03/18,59.25,59.5,58.25,58.25
23/03/18,57.75,58.25,57.5,58
26/03/18,58,58.75,57.75,58.75
27/03/18,59,59,57.5,57.75
28/03/18,57.75,58.5,57.5,58
29/03/18,58,58.25,57.75,58
30/03/18,58.25,58.25,57.75,58
02/04/18,57.75,58.25,57.75,58
03/04/18,57.75,58.25,57.5,57.5
04/04/18,57.5,58.25,57,57
05/04/18,57.25,58,57,57.25
09/04/18,55.5,57,55.25,56.5
10/04/18,56.75,57.75,56.25,57.5
11/04/18,57.25,57.75,57,57.25
12/04/18,57.25,57.5,57,57
17/04/18,57,57.5,57,57
18/04/18,57.25,57.5,57,57
19/04/18,57.25,57.25,56.75,56.75
20/04/18,56.75,57.5,56.75,57.25
23/04/18,57.25,57.5,56.5,56.75
24/04/18,57,57.5,56.75,56.75
25/04/18,56.75,57.25,56.75,57
26/04/18,57,57.25,56.5,57
27/04/18,57,57.25,56.5,57.25
30/04/18,57.25,57.5,57,57.5
02/05/18,57.25,57.5,56.5,57.25
03/05/18,57,57.25,56.5,56.5
04/05/18,56.5,56.75,56,56
07/05/18,56.25,56.75,56,56
08/05/18,56.25,56.25,55,55.5
09/05/18,55.5,55.5,54.75,55
10/05/18,55,55.25,54.5,54.75
11/05/18,54.75,56,54.5,56
14/05/18,56,56.5,55.75,56.25
15/05/18,56.5,56.75,55.75,56
16/05/18,55.75,56,55.25,55.25
17/05/18,55.25,55.5,53.75,54
18/05/18,53.75,54.75,53.75,54.5
21/05/18,54.75,55.25,54.5,55
22/05/18,55.25,55.75,55.25,55.5
23/05/18,55.5,55.5,54.75,55.25
24/05/18,54.75,55.25,54.25,55
25/05/18,55,55.25,54.75,55
28/05/18,55.25,55.5,54.75,55
30/05/18,55,55,54.25,54.75
31/05/18,54.75,55.25,54.25,55.25
01/06/18,55,55.25,54.25,54.5
04/06/18,54.25,54.75,54,54.5
05/06/18,54.75,55.25,54.25,55.25
06/06/18,55.25,56,55,55.5
07/06/18,55.75,56.25,55.5,55.5
08/06/18,55.5,55.75,55,55.25
11/06/18,55,55.25,54.75,54.75
12/06/18,54.75,55.25,54.5,54.5
13/06/18,54.5,54.75,54.25,54.25
14/06/18,54,54.25,53.25,53.5
15/06/18,54,55,53.75,54
18/06/18,54,55.25,54,54.75
19/06/18,54.25,54.5,53,53.25
20/06/18,53.5,54,53,53.75
21/06/18,53.75,53.75,52.75,53.25
22/06/18,53.5,53.75,53,53.25
25/06/18,53.25,53.5,52.5,52.75
