date,open,high,low,close
03/01/18,7.1,7.25,7.1,7.2
04/01/18,7.2,7.35,7.2,7.3
05/01/18,7.3,7.4,7.25,7.4
08/01/18,7.35,7.4,7.2,7.2
09/01/18,7.25,7.25,7.25,7.25
10/01/18,7.3,7.4,7.2,7.2
11/01/18,7.25,7.35,7.15,7.35
12/01/18,7.35,7.5,7.3,7.5
15/01/18,7.55,7.7,7.55,7.65
16/01/18,7.65,7.7,7.5,7.55
17/01/18,7.5,7.55,7.35,7.4
18/01/18,7.4,7.5,7.25,7.25
19/01/18,7.2,7.35,7.1,7.35
22/01/18,7.35,7.35,7.25,7.3
23/01/18,7.3,7.45,7.25,7.35
24/01/18,7.3,7.4,7.3,7.4
25/01/18,7.5,7.6,7.4,7.4
26/01/18,7.4,7.5,7.25,7.4
29/01/18,7.45,7.5,7.4,7.4
30/01/18,7.4,7.4,7.25,7.35
31/01/18,7.3,7.35,7.25,7.35
01/02/18,7.35,7.45,7.3,7.4
02/02/18,7.55,7.6,7.4,7.45
05/02/18,7.25,7.35,7.2,7.3
06/02/18,7.1,7.2,6.95,7.2
07/02/18,7.3,7.35,7.25,7.25
08/02/18,7.25,7.35,7.2,7.25
09/02/18,7.2,7.35,7.15,7.3
12/02/18,7.35,7.4,7.25,7.4
13/02/18,7.5,7.55,7.45,7.5
14/02/18,7.55,7.6,7.35,7.4
15/02/18,7.45,7.5,7.35,7.45
16/02/18,7.45,7.55,7.45,7.5
19/02/18,7.5,7.7,7.45,7.6
20/02/18,7.65,7.75,7.6,7.65
21/02/18,7.65,7.9,7.65,7.75
22/02/18,7.75,7.9,7.7,7.85
23/02/18,7.9,7.9,7.8,7.9
26/02/18,7.7,7.9,7.65,7.85
27/02/18,7.9,8.35,7.85,8.05
28/02/18,8.05,8.25,8.05,8.15
02/03/18,8.1,8.1,7.9,7.95
05/03/18,7.95,8.1,7.9,8.05
06/03/18,7.85,7.85,7.85,7.85
07/03/18,7.8,7.85,7.65,7.65
08/03/18,7.7,7.75,7.45,7.55
09/03/18,7.55,7.6,7.4,7.55
12/03/18,7.6,7.65,7.45,7.5
13/03/18,7.5,7.8,7.45,7.8
14/03/18,7.75,7.85,7.7,7.75
15/03/18,7.7,7.75,7.6,7.7
16/03/18,7.7,7.75,7.6,7.65
19/03/18,7.65,7.65,7.55,7.55
20/03/18,7.5,7.6,7.45,7.6
21/03/18,7.65,7.7,7.55,7.55
22/03/18,7.55,7.7,7.45,7.55
23/03/18,7.45,7.55,7.4,7.5
26/03/18,7.5,7.55,7.45,7.45
27/03/18,7.5,7.6,7.45,7.5
28/03/18,7.5,7.6,7.45,7.45
29/03/18,7.5,7.5,7.15,7.25
30/03/18,7.3,7.5,7.25,7.4
02/04/18,7.45,7.6,7.45,7.5
03/04/18,7.4,7.45,7.2,7.25
04/04/18,7.3,7.3,6.9,7
05/04/18,7.1,7.2,7,7.1
09/04/18,7.1,7.3,7.05,7.3
10/04/18,7.3,7.35,7.15,7.25
11/04/18,7.3,7.35,7.15,7.25
12/04/18,7.25,7.35,7.15,7.35
17/04/18,7.35,7.35,7.15,7.25
18/04/18,7.3,7.45,7.2,7.45
19/04/18,7.5,7.6,7.4,7.5
20/04/18,7.5,7.55,7.35,7.45
23/04/18,7.5,7.55,7.4,7.45
24/04/18,7.45,7.5,7.2,7.25
25/04/18,7.2,7.25,7,7
26/04/18,7.05,7.15,7,7.05
27/04/18,7.1,7.1,6.8,6.95
30/04/18,6.95,7.1,6.9,7.05
02/05/18,7,7.1,6.9,7.05
03/05/18,7.05,7.1,7,7.05
04/05/18,7,7,6.85,6.85
07/05/18,7,7,6.8,6.85
08/05/18,6.9,6.95,6.65,6.65
09/05/18,6.7,6.85,6.65,6.75
10/05/18,6.85,6.85,6.6,6.7
11/05/18,6.7,6.75,6.55,6.7
14/05/18,6.7,6.9,6.65,6.9
15/05/18,6.85,6.9,6.7,6.75
16/05/18,6.75,6.95,6.7,6.85
17/05/18,6.95,6.95,6.8,6.95
18/05/18,6.95,7,6.8,6.85
21/05/18,6.85,6.9,6.8,6.85
22/05/18,6.85,6.95,6.75,6.85
23/05/18,6.85,6.9,6.8,6.85
24/05/18,6.85,6.9,6.7,6.75
25/05/18,6.7,6.75,6.55,6.65
28/05/18,6.65,6.65,6.55,6.6
30/05/18,6.5,6.7,6.45,6.6
31/05/18,6.6,6.65,6.45,6.6
01/06/18,6.55,6.6,6.5,6.5
04/06/18,6.5,6.55,6.4,6.5
05/06/18,6.5,6.5,6.25,6.35
06/06/18,6.4,6.6,6.35,6.55
07/06/18,6.6,6.65,6.55,6.6
08/06/18,6.55,6.6,6.5,6.5
11/06/18,6.5,6.55,6.4,6.55
12/06/18,6.5,6.6,6.45,6.5
13/06/18,6.45,6.5,6.4,6.4
14/06/18,6.35,6.35,6.25,6.35
15/06/18,6.3,6.4,6.2,6.4
18/06/18,6.25,6.3,6.15,6.15
19/06/18,6.1,6.15,5.95,6.05
20/06/18,6.1,6.2,6,6.15
21/06/18,6.15,6.15,5.95,6
22/06/18,6.05,6.1,5.95,6.05
25/06/18,6.05,6.1,5.85,5.9
26/06/18,5.85,5.95,5.75,5.9
27/06/18,5.95,6.1,5.85,6.1
28/06/18,6.05,6.1,5.75,5.85
29/06/18,5.85,5.9,5.75,5.8
02/07/18,5.8,5.85,5.6,5.7
03/07/18,5.75,5.8,5.5,5.75
04/07/18,5.75,5.95,5.7,5.95
05/07/18,5.85,5.9,5.6,5.7
06/07/18,5.65,5.85,5.55,5.8
09/07/18,5.85,5.85,5.7,5.75
10/07/18,5.85,6,5.7,6
11/07/18,5.9,5.95,5.85,5.95
12/07/18,5.9,6,5.85,5.95
13/07/18,5.95,6,5.9,5.9
16/07/18,5.95,6.1,5.9,6
17/07/18,5.95,6.1,5.95,6
18/07/18,6.1,6.3,6.05,6.25
19/07/18,6.3,6.35,6.2,6.3
20/07/18,6.3,6.4,6.2,6.35
23/07/18,6.35,6.55,6.25,6.55
24/07/18,6.55,6.55,6.35,6.45
25/07/18,6.45,6.5,6.35,6.5
26/07/18,6.5,6.5,6.35,6.4
31/07/18,6.4,6.45,6.35,6.45
01/08/18,6.45,6.65,6.4,6.6
02/08/18,6.6,6.65,6.5,6.55
03/08/18,6.55,6.65,6.5,6.6
06/08/18,6.65,6.7,6.5,6.6
07/08/18,6.6,6.6,6.4,6.5
08/08/18,6.55,6.55,6.4,6.55
09/08/18,6.55,6.65,6.5,6.6
10/08/18,6.55,6.55,6.4,6.45
14/08/18,6.4,6.45,6.35,6.45
15/08/18,6.4,6.5,6.35,6.4
16/08/18,6.4,6.5,6.3,6.5
17/08/18,6.5,6.6,6.5,6.55
20/08/18,6.6,6.65,6.55,6.6
21/08/18,6.55,6.6,6.5,6.55
22/08/18,6.6,6.65,6.5,6.6
23/08/18,6.6,6.7,6.6,6.65
24/08/18,6.65,6.7,6.6,6.65
27/08/18,6.7,6.75,6.65,6.7
28/08/18,6.75,6.75,6.65,6.7
29/08/18,6.75,6.95,6.65,6.85
30/08/18,6.95,7.05,6.9,6.95
31/08/18,6.9,6.95,6.85,6.95
03/09/18,6.95,7.05,6.9,6.95
04/09/18,6.95,6.95,6.85,6.85
05/09/18,6.85,6.85,6.7,6.75
06/09/18,6.7,6.75,6.6,6.75
07/09/18,6.7,6.75,6.65,6.7
10/09/18,6.7,6.75,6.65,6.75
11/09/18,6.75,6.85,6.65,6.7
12/09/18,6.65,6.7,6.55,6.6
13/09/18,6.65,6.9,6.65,6.85
14/09/18,6.9,6.95,6.8,6.85
