date,open,high,low,close
03/01/18,53.25,56,53.25,55.75
04/01/18,55.75,57,55,56.5
05/01/18,56.75,58,56.25,57.75
08/01/18,57.5,58.25,56,56
09/01/18,57.25,57.25,57.25,57.25
10/01/18,57.25,57.75,55.75,56
11/01/18,56.25,57.25,55.75,57
12/01/18,57.5,57.75,57,57.25
15/01/18,57.5,59.5,57.25,58.75
16/01/18,58.75,59.25,57.25,57.5
17/01/18,57.5,58.5,57,58
18/01/18,58.25,58.25,56.5,56.75
19/01/18,56.5,58,56.25,57.75
22/01/18,58,58.25,57.25,57.5
23/01/18,58,58.5,57.5,57.5
24/01/18,57.5,58.25,57.5,57.5
25/01/18,57.5,58.25,55.75,56.5
26/01/18,56.5,56.75,55,56.25
29/01/18,56.75,57,56.25,56.75
30/01/18,56.5,56.75,55.75,56
31/01/18,55.5,56.5,55.25,56
01/02/18,56,56.75,55.25,55.5
02/02/18,55.75,56,54.5,55.5
05/02/18,53.25,54.25,53,53.5
06/02/18,51.5,53.5,50.25,53.25
07/02/18,54,54.25,52.25,52.25
08/02/18,52.5,52.75,50.75,50.75
09/02/18,50,53.5,49.5,53.25
12/02/18,53.5,53.5,52.25,53
13/02/18,53.5,53.75,52.75,53
14/02/18,53.25,54.5,53.25,53.75
15/02/18,54.25,55,53.75,54.75
16/02/18,54.75,55.5,54.5,55
19/02/18,55,55.75,54.5,54.75
20/02/18,55,55.25,54.5,54.5
21/02/18,54.75,54.75,52.25,52.25
22/02/18,52,52.75,51.25,51.25
23/02/18,51.75,53,51.5,52.75
26/02/18,53.25,54.75,53.25,54.75
27/02/18,55,55.5,54.25,54.25
28/02/18,54.25,54.5,53.75,54
02/03/18,53.5,54,52.5,53
05/03/18,53,53.25,51.5,52.75
06/03/18,53,53.75,52,52
07/03/18,52,52.5,51.5,51.75
08/03/18,52,53,51.25,52.5
09/03/18,52.75,52.75,51.75,52.25
12/03/18,52.75,53,52.25,52.75
13/03/18,52.5,54.75,52.25,54.5
14/03/18,54.25,54.75,53.25,54.75
15/03/18,54.75,55.5,54.25,55
16/03/18,54.75,56.25,54.75,55.25
19/03/18,55.5,56.25,55,55
20/03/18,54.5,55.5,54.5,55.25
21/03/18,55.5,57.25,55.5,56.5
22/03/18,57.75,58,55.75,56
23/03/18,55.25,57.25,55.25,57
26/03/18,57.25,57.75,56.5,57.5
