date,open,high,low,close
03/01/18,7.1,7.55,7.1,7.3
04/01/18,7.35,7.45,7.25,7.3
05/01/18,7.3,7.5,7.3,7.4
08/01/18,7.55,8,7.55,7.85
09/01/18,8.2,8.2,8.2,8.2
10/01/18,8.15,8.25,8,8.1
11/01/18,8,8.2,8,8.2
12/01/18,8.25,8.4,8.2,8.3
15/01/18,8.3,8.5,8.3,8.35
16/01/18,8.35,8.5,8.15,8.25
17/01/18,8.25,8.25,8,8.05
18/01/18,8.05,8.2,8.05,8.05
19/01/18,8.1,8.1,8,8.05
22/01/18,8.05,8.1,7.65,7.7
23/01/18,7.8,7.95,7.75,7.8
24/01/18,7.85,8,7.8,7.85
25/01/18,7.85,8,7.75,7.75
26/01/18,7.75,8.05,7.7,7.8
29/01/18,7.85,8,7.85,7.9
30/01/18,7.9,7.95,7.8,7.8
31/01/18,7.8,7.85,7.75,7.75
01/02/18,7.75,7.8,7.7,7.7
02/02/18,7.75,7.75,7.45,7.45
05/02/18,7.2,7.35,7.05,7.3
06/02/18,7.2,7.25,7,7.1
07/02/18,7.25,7.3,7.1,7.1
08/02/18,7.15,7.2,7.1,7.15
09/02/18,7.1,7.2,7.05,7.1
12/02/18,7.15,7.3,7.1,7.1
13/02/18,7.15,7.15,7,7
14/02/18,7.05,7.15,7.05,7.05
15/02/18,7.1,7.15,7.05,7.05
16/02/18,7.1,7.1,7.05,7.05
19/02/18,7.1,7.15,7,7
20/02/18,7.05,7.1,7,7
21/02/18,7.05,7.05,6.8,6.8
22/02/18,6.85,6.9,6.7,6.75
23/02/18,6.8,6.95,6.75,6.9
26/02/18,6.95,7.05,6.95,6.95
27/02/18,7,7.05,6.85,6.9
28/02/18,6.9,7,6.9,6.9
02/03/18,6.95,7,6.9,6.9
05/03/18,6.95,7.15,6.9,6.95
06/03/18,7,7,7,7
07/03/18,7,7.05,6.9,6.9
08/03/18,6.95,7,6.85,6.85
09/03/18,6.9,6.95,6.85,6.85
12/03/18,6.7,7,6.65,6.95
13/03/18,6.9,6.95,6.7,6.8
14/03/18,6.8,6.95,6.75,6.85
15/03/18,6.8,6.95,6.8,6.85
16/03/18,6.9,7.05,6.8,6.9
19/03/18,6.9,7.2,6.85,7
20/03/18,6.95,7.15,6.95,7
21/03/18,7.05,7.05,6.9,6.95
22/03/18,7.05,7.05,6.75,6.75
23/03/18,6.7,6.75,6.5,6.5
26/03/18,6.55,6.6,6.45,6.45
27/03/18,6.5,6.55,6.45,6.45
28/03/18,6.45,6.55,6.3,6.3
29/03/18,6.3,6.4,6.05,6.15
30/03/18,6.2,6.25,6.05,6.15
02/04/18,6.15,6.45,6.15,6.25
03/04/18,6.25,6.45,6.2,6.2
04/04/18,6.25,6.3,5.95,5.95
05/04/18,6,6.1,6,6
09/04/18,6,6.1,5.95,5.95
10/04/18,6,6.05,5.75,5.75
11/04/18,5.75,5.9,5.75,5.8
12/04/18,5.85,5.95,5.8,5.9
17/04/18,5.9,5.9,5.8,5.8
18/04/18,5.85,5.95,5.8,5.9
19/04/18,5.9,6.3,5.85,6.2
20/04/18,6.2,6.2,6.05,6.05
23/04/18,6.1,6.1,5.9,5.9
24/04/18,5.9,6,5.9,5.9
25/04/18,5.9,5.95,5.85,5.85
26/04/18,5.9,5.9,5.75,5.75
27/04/18,5.8,5.95,5.75,5.8
30/04/18,5.85,5.95,5.8,5.85
02/05/18,5.85,6.1,5.85,5.95
03/05/18,5.95,6,5.9,5.9
04/05/18,5.9,6.35,5.85,6.25
07/05/18,6.3,6.35,6.2,6.2
08/05/18,6.2,6.2,5.95,5.95
09/05/18,5.95,6.05,5.85,5.85
10/05/18,5.9,5.95,5.7,5.8
11/05/18,5.9,6.4,5.9,6.25
14/05/18,6.25,6.3,6.2,6.2
15/05/18,6.2,6.45,6.2,6.3
16/05/18,6.3,6.3,6.15,6.15
17/05/18,6.15,6.15,5.9,5.9
18/05/18,5.9,6.1,5.9,6
21/05/18,6,6.05,5.95,5.95
22/05/18,5.95,6,5.9,5.9
23/05/18,5.9,6,5.9,5.9
24/05/18,5.9,5.95,5.7,5.75
25/05/18,5.8,6.15,5.8,5.85
28/05/18,5.8,5.9,5.8,5.8
30/05/18,5.8,5.95,5.75,5.8
31/05/18,5.8,5.95,5.75,5.8
01/06/18,5.85,5.9,5.8,5.8
04/06/18,5.85,6,5.85,5.9
05/06/18,5.95,6.1,5.95,6
06/06/18,6.05,6.1,6,6
07/06/18,6.05,6.2,6,6.1
08/06/18,6.15,6.2,6.15,6.15
11/06/18,6.15,6.2,6.1,6.15
12/06/18,6.2,6.2,6.1,6.1
13/06/18,6.1,6.15,6.05,6.05
14/06/18,6.1,6.1,6,6
15/06/18,6.05,6.15,6,6
18/06/18,6,6.05,6,6
19/06/18,6,6,5.8,5.85
20/06/18,5.9,6.05,5.85,6.05
21/06/18,5.75,5.8,5.55,5.55
22/06/18,5.6,5.6,5.4,5.5
25/06/18,5.5,5.5,4.96,4.96
26/06/18,5,5,4.78,4.78
27/06/18,4.8,5.05,4.8,4.84
28/06/18,4.88,4.9,4.32,4.46
29/06/18,4.5,4.5,4.28,4.32
02/07/18,4.34,4.38,4.14,4.32
03/07/18,4.32,4.56,4.3,4.52
04/07/18,4.48,4.54,4.44,4.5
05/07/18,4.54,4.56,4.46,4.46
06/07/18,4.48,4.84,4.44,4.72
09/07/18,4.76,4.82,4.7,4.7
10/07/18,4.76,4.92,4.76,4.92
11/07/18,4.88,5.25,4.86,5.15
12/07/18,5.2,5.25,5.05,5.15
13/07/18,5.15,5.25,5.1,5.1
16/07/18,5.1,5.25,5.05,5.15
17/07/18,5.15,5.2,5,5.1
18/07/18,5.15,5.15,5.05,5.05
19/07/18,5.1,5.15,5.05,5.1
20/07/18,5.15,5.2,5.1,5.15
23/07/18,5.15,5.2,5.1,5.1
24/07/18,5.15,5.25,5.1,5.1
25/07/18,5.15,5.45,5.15,5.3
26/07/18,5.4,5.45,5.35,5.4
31/07/18,5.4,5.5,5.35,5.4
01/08/18,5.4,5.45,5.35,5.35
02/08/18,5.35,5.35,5,5.15
03/08/18,5.2,5.35,5.2,5.2
06/08/18,5.25,5.3,5.15,5.15
07/08/18,5.2,5.25,5.15,5.2
08/08/18,5.2,5.35,5.15,5.25
09/08/18,5.35,5.5,5.3,5.4
10/08/18,5.4,5.45,5.3,5.3
14/08/18,5.25,5.25,5.15,5.2
15/08/18,5.2,5.25,5.15,5.15
16/08/18,5.15,5.25,5.1,5.15
17/08/18,5.2,5.3,5.15,5.15
20/08/18,5.2,5.3,5.2,5.2
21/08/18,5.2,5.35,5.2,5.25
