date,open,high,low,close
03/01/18,234,237,233,237
04/01/18,239,244,238,242
05/01/18,242,244,240,241
08/01/18,243,245,241,241
09/01/18,240,240,234,235
10/01/18,235,236,232,233
11/01/18,233,233,230,233
12/01/18,233,239,233,238
15/01/18,239,240,233,234
16/01/18,236,236,233,234
17/01/18,233,234,231,232
18/01/18,232,233,226,227
19/01/18,222,227,218,227
22/01/18,223,223,220,221
23/01/18,222,227,222,227
24/01/18,227,228,225,226
25/01/18,227,231,226,226
26/01/18,226,230,226,229
29/01/18,231,234,229,232
30/01/18,233,234,231,234
31/01/18,233,234,230,230
01/02/18,232,232,229,229
02/02/18,230,232,228,230
05/02/18,227,229,226,229
06/02/18,227,229,224,228
07/02/18,229,230,225,227
08/02/18,227,227,223,223
09/02/18,220,225,220,224
12/02/18,224,226,222,225
13/02/18,225,226,223,225
14/02/18,225,225,224,224
15/02/18,227,228,225,228
16/02/18,228,230,228,228
19/02/18,228,230,227,228
20/02/18,228,228,226,227
21/02/18,227,228,226,228
22/02/18,228,229,223,225
23/02/18,225,227,223,226
26/02/18,226,230,225,230
27/02/18,230,235,229,233
28/02/18,232,235,232,232
02/03/18,230,232,228,230
05/03/18,230,232,226,228
06/03/18,229,231,227,228
07/03/18,226,229,226,227
08/03/18,227,231,227,228
09/03/18,229,230,228,230
12/03/18,232,233,230,232
13/03/18,233,233,226,228
14/03/18,227,228,225,225
15/03/18,225,226,222,224
16/03/18,223,225,222,223
19/03/18,223,224,222,223
20/03/18,223,225,222,225
21/03/18,226,226,220,222
22/03/18,223,223,218,220
23/03/18,217,221,217,221
26/03/18,220,222,219,222
27/03/18,221,224,220,222
28/03/18,220,221,212,213
29/03/18,213,216,211,212
30/03/18,212,214,211,212
02/04/18,214,215,213,214
03/04/18,212,214,211,212
04/04/18,213,213,195.5,195.5
05/04/18,197.5,198.5,192,192
09/04/18,192.5,195,192.5,193
10/04/18,194,198.5,193.5,197
11/04/18,196,201,195,201
12/04/18,201,203,198,200
17/04/18,201,201,198,199.5
18/04/18,200,202,199,202
19/04/18,201,201,197,197.5
20/04/18,199,201,197,197.5
23/04/18,198,198,195.5,196.5
24/04/18,195.5,196.5,193.5,194.5
25/04/18,193.5,193.5,188.5,190
26/04/18,190,194.5,190,193.5
27/04/18,194.5,195,192.5,195
30/04/18,195,196,194,195.5
02/05/18,195.5,196,194,195.5
03/05/18,194.5,195,191,191
04/05/18,190,191,189,189
07/05/18,189.5,192.5,189.5,192.5
08/05/18,194.5,195.5,193,194.5
09/05/18,194.5,194.5,190,190.5
10/05/18,190.5,193,189.5,192
11/05/18,192,195,192,195
14/05/18,195.5,195.5,194,195
15/05/18,194.5,195,193.5,194
16/05/18,192,194,192,192.5
17/05/18,192,192,189,189
18/05/18,188,188.5,187,188.5
21/05/18,189,193,189,193
22/05/18,193.5,196,193,195
23/05/18,194.5,195,193.5,194.5
24/05/18,194,195,191,191.5
25/05/18,192,193,190,192
28/05/18,192,195.5,192,195.5
30/05/18,194,194.5,192,193.5
31/05/18,193,193.5,190,191.5
01/06/18,192.5,195.5,191.5,195
04/06/18,195,197,194.5,196.5
05/06/18,196.5,205,196.5,204
06/06/18,204,206,201,203
07/06/18,204,206,199.5,199.5
08/06/18,200,200,194.5,194.5
11/06/18,195,199,195,197.5
12/06/18,197,203,197,199.5
13/06/18,198.5,201,197.5,200
14/06/18,199,201,197,200
15/06/18,199,202,198,199.5
18/06/18,199,201,198.5,199.5
19/06/18,198,200,194,195
20/06/18,197,199.5,196,198.5
21/06/18,198,198,194,194
22/06/18,194,195.5,190.5,193
25/06/18,192.5,193.5,190,190
26/06/18,189,194,188.5,193
27/06/18,193,194,191,191
28/06/18,191.5,192.5,189,189.5
29/06/18,192,194,190.5,194
02/07/18,195,195,190,193
03/07/18,193.5,195,192.5,194.5
04/07/18,194,197.5,192,197.5
05/07/18,197,197.5,194,194.5
06/07/18,193.5,198,193,197
09/07/18,196.5,197.5,193,193.5
10/07/18,193,195.5,191,195.5
11/07/18,193.5,195,193,195
12/07/18,195,196,194,195
13/07/18,195.5,196,194,194.5
16/07/18,193,194,192.5,193.5
17/07/18,194,197.5,193,197.5
18/07/18,199,200,196.5,199.5
19/07/18,201,201,198.5,198.5
20/07/18,206,211,204,210
23/07/18,210,213,208,213
24/07/18,213,213,206,208
25/07/18,209,212,208,210
26/07/18,216,216,213,215
31/07/18,218,220,216,217
01/08/18,217,218,213,217
02/08/18,216,217,210,212
03/08/18,213,218,212,216
06/08/18,218,220,216,217
07/08/18,217,218,213,214
08/08/18,216,218,214,216
09/08/18,216,219,216,217
10/08/18,217,221,217,217
14/08/18,215,216,212,215
15/08/18,214,215,213,213
16/08/18,214,215,212,212
17/08/18,214,216,213,215
20/08/18,217,219,215,216
21/08/18,217,218,215,216
22/08/18,217,219,216,217
23/08/18,218,219,216,217
24/08/18,216,217,215,215
27/08/18,216,218,216,218
28/08/18,219,219,215,215
29/08/18,215,216,213,215
30/08/18,215,215,212,213
31/08/18,212,213,210,211
03/09/18,210,213,210,212
04/09/18,212,213,210,212
05/09/18,211,212,207,208
06/09/18,208,210,207,210
07/09/18,208,209,207,208
10/09/18,207,209,205,208
11/09/18,207,209,201,203
12/09/18,201,207,201,206
13/09/18,210,216,209,214
14/09/18,215,218,215,217
17/09/18,215,216,211,212
18/09/18,213,218,210,216
19/09/18,217,219,216,216
20/09/18,217,217,213,214
21/09/18,215,217,214,217
24/09/18,216,217,214,215
25/09/18,215,216,213,215
26/09/18,215,216,213,213
27/09/18,213,215,212,214
28/09/18,216,216,214,216
01/10/18,217,217,214,215
02/10/18,214,216,213,213
03/10/18,214,215,213,213
04/10/18,213,214,212,214
05/10/18,213,215,210,211
08/10/18,210,212,209,209
09/10/18,209,213,209,210
10/10/18,212,215,211,213
11/10/18,210,212,208,209
12/10/18,209,211,208,209
16/10/18,209,209,205,209
17/10/18,210,211,207,207
18/10/18,208,208,206,206
19/10/18,205,206,202,202
22/10/18,202,208,202,207
24/10/18,206,208,205,205
25/10/18,204,209,203,209
26/10/18,208,209,205,206
29/10/18,204,205,197.5,199.5
30/10/18,199.5,200,196,196.5
31/10/18,197.5,199.5,196.5,199.5
01/11/18,201,203,199.5,203
02/11/18,205,207,203,204
05/11/18,201,202,199,201
06/11/18,201,204,201,204
07/11/18,205,206,203,206
08/11/18,208,210,205,206
09/11/18,206,207,205,207
12/11/18,206,207,201,201
13/11/18,201,203,200,202
14/11/18,200,201,199,200
15/11/18,200,201,198.5,199
16/11/18,199,199,197,198.5
19/11/18,198,198,196,196.5
20/11/18,195.5,195.5,190.5,192
21/11/18,191,194.5,190.5,193.5
22/11/18,193.5,195,190.5,190.5
23/11/18,191.5,193.5,190,192.5
26/11/18,193,194,192.5,193.5
27/11/18,194,195,193.5,195
28/11/18,195,195.5,191.5,191.5
29/11/18,193,193,191.5,192
30/11/18,192.5,193.5,190.5,193.5
03/12/18,197,198,196.5,196.5
04/12/18,197,199,197,198
06/12/18,195.5,196,193,193.5
07/12/18,193.5,193.5,191.5,192.5
11/12/18,191.5,192,190,191
12/12/18,192,192.5,189.5,190
13/12/18,192,192,188,188
14/12/18,187.5,189,183.5,185
17/12/18,185,186.5,183,185
18/12/18,183.5,186.5,183,185
19/12/18,185,189,185,188.5
20/12/18,187.5,188,184.5,188
21/12/18,187,188,185,188
24/12/18,186.5,188,185.5,185.5
25/12/18,184,184.5,182,182.5
26/12/18,182.5,183.5,182.5,183
27/12/18,187.5,188,182.5,182.5
28/12/18,183,185,183,185
02/01/19,185,186,184,185
03/01/19,186.5,187,185,186
04/01/19,185.5,186,183.5,186
07/01/19,186,188,185.5,188
08/01/19,187.5,188,186,186.5
09/01/19,187,188,186,186
10/01/19,186.5,187,178.5,180
11/01/19,181.5,182.5,180.5,181.5
14/01/19,181.5,182,180.5,181
15/01/19,181.5,183,181,182
