date,open,high,low,close
03/01/18,41.375,42.125,41.125,41.875
04/01/18,42.125,42.25,41.75,42
05/01/18,41.75,42,40.625,40.75
08/01/18,40.75,41.125,40.125,40.375
09/01/18,40.25,40.625,40.125,40.5
10/01/18,40.25,40.75,40.125,40.375
11/01/18,40.125,40.375,39.875,40.25
12/01/18,40.25,40.875,40.125,40.5
15/01/18,40.375,40.5,40.125,40.375
16/01/18,40.625,40.625,40.25,40.625
17/01/18,40.625,41.5,40.5,41.375
18/01/18,41.75,41.875,41.25,41.25
19/01/18,41.5,41.625,41.125,41.5
22/01/18,41.5,41.5,40.25,40.5
23/01/18,40.5,40.625,39.875,40.25
24/01/18,40.25,40.5,40.125,40.375
25/01/18,40.125,40.25,39,39.5
26/01/18,39.25,39.375,38,38.5
29/01/18,38.5,39,38.125,38.75
30/01/18,38.75,38.75,38.125,38.375
31/01/18,38.375,38.5,37.125,37.25
01/02/18,37.25,37.375,36,36.375
02/02/18,36.5,36.75,35.875,36.125
05/02/18,35.75,38.25,35.5,38
06/02/18,37.75,38.875,36.125,36.125
07/02/18,36.375,37.375,36.25,36.375
08/02/18,37.25,37.75,36.75,37.375
09/02/18,37.125,38.75,37.125,38.625
12/02/18,38.375,39.125,38.125,38.625
13/02/18,38.5,38.625,37.75,37.875
14/02/18,38,38.125,36.625,36.75
15/02/18,36.625,37,36.25,36.625
16/02/18,36.5,36.75,36.375,36.5
19/02/18,36.5,36.625,35.875,36.125
20/02/18,36.25,36.75,36.125,36.25
21/02/18,36.375,36.375,34.5,34.625
22/02/18,34.875,35.125,34,34.5
23/02/18,34.5,35.25,34.25,34.75
26/02/18,34.75,35.5,34.75,34.875
27/02/18,35.5,36.5,35,35.5
28/02/18,35.625,36.25,35,35
02/03/18,35.375,36,34.75,35
05/03/18,35,35.25,34.25,34.25
06/03/18,34.25,34.25,32.125,32.5
07/03/18,32.875,33.375,32.125,32.25
08/03/18,32.25,33.125,32.25,33.125
09/03/18,33.5,33.5,32.875,33
12/03/18,33.25,33.5,32.625,33.25
13/03/18,33.125,34.75,33.125,34.625
14/03/18,36,36.375,35,35
15/03/18,35.125,35.375,34.625,35
16/03/18,35.125,35.25,34.75,35
19/03/18,35.125,35.625,34.875,35
20/03/18,34.75,35,34.5,34.75
21/03/18,34.625,35,34.625,34.75
22/03/18,34.875,35.75,34.875,35.75
23/03/18,35.25,36,35.25,35.625
26/03/18,35.625,35.875,35.125,35.75
27/03/18,35.625,36,35.375,35.5
28/03/18,35.5,35.75,34.125,34.25
29/03/18,34.125,34.5,33,33.5
30/03/18,33.75,34.125,33.375,33.625
02/04/18,34.25,34.375,33.5,33.625
03/04/18,33.375,33.375,32.5,32.75
04/04/18,32.375,32.875,31.625,31.625
05/04/18,31.5,31.5,30.5,31.25
09/04/18,30.625,31,30,30.125
10/04/18,30.25,32.5,30.125,32.375
11/04/18,32.625,34.375,32.625,34.125
12/04/18,33.875,34,33.125,33.25
17/04/18,33.375,35.75,33.375,35.75
18/04/18,36,37,35.625,35.75
19/04/18,36.25,36.5,35.125,35.875
20/04/18,35.625,37,35.625,37
23/04/18,37.5,38.875,37.375,38.625
24/04/18,38.875,39,37,37.25
25/04/18,37,37.5,36.25,36.625
26/04/18,36.75,37.75,36.375,36.375
27/04/18,36.125,36.25,33.75,33.75
30/04/18,33.75,34.75,33.375,34.125
02/05/18,35.375,35.375,34.375,35
03/05/18,34.625,35.5,34.5,34.625
04/05/18,34.75,35.25,34.5,34.75
07/05/18,34.625,35,34.25,34.25
08/05/18,34.375,36,34.25,36
09/05/18,35.375,35.875,35.25,35.25
10/05/18,35.625,36.75,35.625,36.375
11/05/18,36.125,36.75,36.125,36.125
14/05/18,36.125,36.375,34.625,34.75
15/05/18,34.375,34.5,33.25,33.75
16/05/18,33.875,34.625,33.75,33.875
17/05/18,33.75,34.25,33.5,34
18/05/18,34.25,35.125,34.125,34.75
21/05/18,35,37.5,35,37.25
22/05/18,37.25,37.75,36.25,36.75
23/05/18,36.5,37,36,36.75
24/05/18,36.25,36.75,35.75,36.25
25/05/18,36,36.25,35,35
28/05/18,34.25,35.25,34,34.5
30/05/18,34,34.5,32,32.5
31/05/18,32,33.25,31.25,32.5
01/06/18,32.75,35.5,32.75,35
04/06/18,35,35.25,34,34.75
05/06/18,34.25,35,34.25,34.75
06/06/18,34.75,34.75,34,34.5
07/06/18,34.25,34.5,33.25,34.25
08/06/18,34.25,36.5,34.25,36
11/06/18,35.75,36.75,35.5,36.25
12/06/18,37,37,35.25,36
13/06/18,36,36.5,35.5,36
14/06/18,36,36.25,35,36
15/06/18,36.25,37.5,36.25,37
18/06/18,37.75,38.25,36.25,36.25
19/06/18,35.5,36,34.25,35.5
20/06/18,35.25,35.5,35,35.5
21/06/18,36.25,37.75,36,37
22/06/18,37.75,38,36.75,37.5
25/06/18,38,38,37,37.25
26/06/18,37,37.5,36.5,37.5
27/06/18,37.25,38,37,37.25
28/06/18,37.5,38,36.75,37.5
29/06/18,37.5,38,36.25,38
02/07/18,38,40.5,37.5,40.5
03/07/18,40.25,41,40.25,40.25
04/07/18,40,41.5,40,40.75
05/07/18,40.5,40.75,39.25,39.75
06/07/18,39.5,40.75,39,40.25
09/07/18,40.5,40.75,39.5,39.5
10/07/18,39.75,40.25,39,39.25
11/07/18,39.75,41.25,39.5,40.75
12/07/18,40.75,40.75,39.75,40
13/07/18,40.25,41.25,40,40.5
16/07/18,40.5,42.25,40.25,42
17/07/18,42,42.5,41.5,42.25
18/07/18,42.5,43.25,42.5,43
19/07/18,43,43,42.5,43
20/07/18,42.75,43,42.25,42.75
23/07/18,42.75,42.75,41,41.5
24/07/18,41.75,41.75,40.5,41
25/07/18,41,41.5,40.5,41.25
26/07/18,41.5,41.5,40.5,40.5
31/07/18,40.75,41.75,40.75,41.25
01/08/18,41,41.25,40.25,40.25
02/08/18,40.25,41.25,39.25,41.25
03/08/18,41,43.25,40.5,43.25
06/08/18,43.25,43.25,42,42
07/08/18,42.25,43,42.25,42.5
08/08/18,42,44.75,42,44.75
09/08/18,44.75,45,44.25,44.75
10/08/18,44.5,44.75,43.75,44.75
14/08/18,44.25,46,44.25,45.5
15/08/18,45.25,45.5,45,45.25
16/08/18,45,46.5,44.75,46.25
17/08/18,46.5,47.5,46.25,47.5
20/08/18,46.5,47,45.75,46.75
21/08/18,46.25,46.25,43.25,44
22/08/18,43.5,44.5,43.5,44
23/08/18,44,45,43.75,43.75
24/08/18,43.75,44,42.25,42.75
27/08/18,43,44.5,42.25,44
28/08/18,44,44.25,42.75,42.75
29/08/18,43,43.75,42.5,43.5
30/08/18,43.5,45.75,43.25,45.25
31/08/18,44.75,45.5,44.75,45.25
03/09/18,45.75,46.5,45.5,46
04/09/18,46,46.75,45.25,46
05/09/18,46,46.25,45.25,45.75
06/09/18,45.5,45.75,43.75,44.25
07/09/18,44.5,45,43.5,43.75
10/09/18,44,45.5,44,45.25
11/09/18,45.5,46.5,45.25,45.75
12/09/18,46,46.5,45.5,46.25
13/09/18,46.5,46.75,45.75,46.25
