date,open,high,low,close
03/01/18,79,79.5,78.75,79.25
04/01/18,79.5,80.75,79,80.5
05/01/18,80.5,81.25,80.25,80.75
08/01/18,81,82,80.75,81.5
09/01/18,81.75,81.75,81.75,81.75
10/01/18,82,82.25,81.25,81.5
11/01/18,81.25,81.75,80.5,81.75
12/01/18,82.25,84.5,82,83.75
15/01/18,83.75,85,83.75,84.75
16/01/18,84.75,84.75,83,83
17/01/18,82.75,83.5,82.5,83
18/01/18,83.25,84,81.75,82
19/01/18,81.5,82.5,79.75,81.75
22/01/18,82,83.75,81.5,83.5
23/01/18,83.5,84.5,82.5,83
24/01/18,83.25,84.25,83.25,83.5
25/01/18,83.5,84,82.75,83
26/01/18,83,83.25,82.25,82.5
29/01/18,83.5,83.5,82.75,83.25
30/01/18,82.75,83,82.25,82.5
31/01/18,82,83.25,81.75,81.75
01/02/18,81.75,82,81,81
02/02/18,81,81.75,81,81.5
05/02/18,81,81,80.5,80.75
06/02/18,79,79.5,77.25,79
07/02/18,79.5,80,78.75,79
08/02/18,78.75,79.75,78.5,79
09/02/18,78,79.25,77.75,79.25
12/02/18,79.25,81,79.25,81
13/02/18,80.75,81,79.75,80
14/02/18,80,80.25,78.75,79.25
15/02/18,79.25,82,79.25,82
16/02/18,82.25,82.75,82,82.5
19/02/18,82.75,83,81.75,82
20/02/18,82.25,82.25,80.5,80.5
21/02/18,80.25,81,79.75,80.75
22/02/18,80.25,80.75,79.25,79.5
23/02/18,79.25,80.5,79,80.25
26/02/18,80.5,80.5,79.25,79.5
27/02/18,79.5,80.25,79,79
28/02/18,79,79,78,78
02/03/18,77.75,78,76.5,76.5
05/03/18,76.5,77.5,76,77
06/03/18,76.5,76.5,76.5,76.5
07/03/18,76.5,76.75,76,76.5
08/03/18,76.25,76.25,75,75.25
09/03/18,75.25,75.75,74.5,75
12/03/18,75.25,76.25,75.25,76
13/03/18,75.75,75.75,74.75,75.25
14/03/18,75.25,76.5,75.25,76
15/03/18,76,77.25,75.75,77
16/03/18,77,77.5,76.25,77
19/03/18,77,78.5,77,77.5
20/03/18,77.25,77.75,76.75,77
21/03/18,77.25,77.25,76,76
22/03/18,76.5,77,76,76
23/03/18,75.75,75.75,74.5,75
26/03/18,75,75.75,75,75
27/03/18,75.25,75.5,74.75,75
28/03/18,75,75.25,73.5,73.5
29/03/18,73.5,74,72,72
30/03/18,72.25,74,72.25,73.25
02/04/18,73,74.25,73,73.5
03/04/18,73.25,73.75,73,73
04/04/18,73,73.25,70,70
05/04/18,70.25,72.5,70.25,72.5
09/04/18,71.75,73,71.75,73
10/04/18,73.25,73.5,72.75,72.75
11/04/18,73.25,74,73,73.75
12/04/18,73.75,74,73.25,73.5
17/04/18,73.5,74,73.25,73.25
18/04/18,73.25,74.5,73.25,74.25
19/04/18,74.5,75.25,74.25,74.75
20/04/18,75,75.25,74.5,74.5
23/04/18,74.5,75,74,74
24/04/18,75,75,74,74.5
25/04/18,74.5,74.75,74,74.5
26/04/18,74.5,74.5,73.5,73.75
27/04/18,73.75,74.25,73.5,74
30/04/18,73.75,74.25,73.75,73.75
02/05/18,70.5,70.75,70.25,70.75
03/05/18,70.5,71,70,70
04/05/18,70,70.5,69.25,69.75
07/05/18,69.5,69.75,68,68
08/05/18,68,68.75,66.75,67
09/05/18,66.5,67.5,66.5,66.75
10/05/18,67.25,67.5,66.75,67
11/05/18,67.5,68.5,67,68.25
14/05/18,68.5,69.5,68.25,68.5
15/05/18,68.75,68.75,67.5,67.75
16/05/18,67.5,67.75,67,67.25
17/05/18,67.25,67.5,67,67.25
18/05/18,67.25,67.5,66.75,67
21/05/18,67,68,67,67.75
22/05/18,67.75,68,67.25,67.5
23/05/18,67.25,67.75,67,67.25
24/05/18,67.25,67.5,67,67.25
25/05/18,67.25,67.75,67.25,67.25
28/05/18,67.5,68.5,67.5,68.5
30/05/18,68.5,68.5,68,68.5
31/05/18,68.5,68.75,67.5,68.75
01/06/18,68.5,69.25,68.25,68.75
04/06/18,68.75,69.25,68.25,68.25
05/06/18,69,69.5,68.5,69.25
06/06/18,69.5,69.5,68.75,68.75
07/06/18,68.75,69.5,68.75,69
08/06/18,69,69,68.5,69
11/06/18,68.75,69,68.5,68.5
12/06/18,68.5,68.5,68,68.25
13/06/18,68,68.5,68,68.25
14/06/18,68.25,68.25,67.25,67.75
15/06/18,67.75,68,67,67.5
18/06/18,67.25,67.5,67,67
19/06/18,66.75,67.25,65.75,66.25
20/06/18,66.25,67.75,66,67.5
21/06/18,67.5,67.75,67,67.25
22/06/18,67.5,67.75,67.25,67.5
25/06/18,67.5,68,67,67
26/06/18,66.75,67.75,66.75,67
27/06/18,67,67.75,66.75,67.25
28/06/18,67.25,67.5,66.75,67
29/06/18,67.25,68,66.75,67.75
02/07/18,67.75,69,67.25,69
03/07/18,68.75,69.5,68.25,69.25
