date,open,high,low,close
03/01/18,19.200001,19.5,19.200001,19.4
04/01/18,19.5,19.700001,19.299999,19.700001
05/01/18,19.700001,20,19.700001,19.9
08/01/18,20,20.200001,19.9,19.9
09/01/18,20.5,20.5,20.5,20.5
10/01/18,20.5,20.5,20.1,20.299999
11/01/18,20.299999,20.5,20.1,20.299999
12/01/18,20.4,20.5,20.299999,20.4
15/01/18,20.5,20.799999,20.5,20.6
16/01/18,20.700001,20.799999,20.5,20.6
17/01/18,20.6,20.799999,20.5,20.700001
18/01/18,20.700001,20.799999,20.5,20.5
19/01/18,20.299999,20.4,20,20.4
22/01/18,19.799999,20.200001,19.700001,20.200001
23/01/18,20.1,20.4,20.1,20.4
24/01/18,20.4,20.4,20.200001,20.299999
25/01/18,20.299999,20.299999,20,20
26/01/18,20,20.200001,19.9,20.1
29/01/18,20.1,20.200001,20,20.1
30/01/18,20.1,20.1,19.9,20
31/01/18,19.9,20.1,19.9,20
01/02/18,20,20.299999,20,20.1
02/02/18,20.1,20.200001,19.9,20
05/02/18,19.9,20,19.700001,19.799999
06/02/18,19.6,19.700001,19.5,19.6
07/02/18,19.700001,19.9,19.6,19.700001
08/02/18,19.700001,19.799999,19.6,19.6
09/02/18,19.5,19.700001,19.4,19.6
12/02/18,19.700001,19.799999,19.6,19.700001
13/02/18,19.9,20.1,19.799999,19.9
14/02/18,19.9,20,19.700001,19.799999
15/02/18,19.9,20,19.6,19.799999
16/02/18,19.799999,20,19.700001,19.9
19/02/18,20,20.1,19.799999,19.9
20/02/18,20,20.1,19.700001,19.799999
21/02/18,19.799999,20,19.799999,19.9
22/02/18,19.9,19.9,19.5,19.6
23/02/18,19.700001,19.799999,19.6,19.700001
26/02/18,19.799999,20,19.6,19.9
27/02/18,20.1,20.6,19.9,20.4
28/02/18,20.299999,20.5,20.200001,20.299999
02/03/18,20.200001,20.299999,19.799999,19.9
05/03/18,20,20,19.799999,19.9
06/03/18,19.9,19.9,19.9,19.9
07/03/18,19.9,20.1,19.799999,19.9
08/03/18,20.1,20.200001,19.9,19.9
09/03/18,20,20,19.799999,19.9
12/03/18,20.200001,20.299999,20,20.200001
13/03/18,20.1,20.200001,20,20.1
14/03/18,20.1,20.1,19.9,19.9
15/03/18,20,20.4,20,20.200001
16/03/18,20.1,20.299999,20,20.1
19/03/18,20.1,20.299999,20.1,20.200001
20/03/18,20,20.200001,20,20
21/03/18,20.1,20.1,19.6,19.6
22/03/18,19.700001,19.9,19.6,19.799999
23/03/18,19.6,19.799999,19.6,19.799999
26/03/18,19.799999,19.9,19.700001,19.799999
27/03/18,19.799999,19.9,19.6,19.700001
