date,open,high,low,close
03/01/18,18.5,18.700001,18.450001,18.450001
04/01/18,18.5,18.549999,18,18.1
05/01/18,18.1,18.1,16.950001,17.1
08/01/18,16.950001,18.1,16.799999,17.65
09/01/18,17.6,17.6,17.6,17.6
10/01/18,17.700001,19,17.700001,19
11/01/18,19.200001,19.6,18.700001,19.450001
12/01/18,19.4,19.65,19.35,19.450001
15/01/18,19.6,20.1,19.4,19.9
16/01/18,19.950001,20.1,19.299999,19.35
17/01/18,20.5,22.200001,20.5,21.799999
18/01/18,22.799999,24.6,22.299999,23
19/01/18,22.6,23.1,22.6,22.9
22/01/18,22.9,23.4,22.9,23.1
23/01/18,23.299999,24,23,23.4
24/01/18,23.6,23.799999,23.5,23.700001
25/01/18,23.799999,24.700001,23.6,24
26/01/18,24.200001,24.4,23.799999,23.9
29/01/18,24,24.4,24,24.4
30/01/18,24.299999,24.9,24.200001,24.299999
31/01/18,24.200001,24.5,24,24
01/02/18,24,24.200001,23.5,23.799999
02/02/18,24,24,23.799999,23.9
05/02/18,23.6,23.799999,23,23.4
06/02/18,23,23.700001,22.4,23.4
07/02/18,23.9,24.4,23.6,24
08/02/18,24.5,26.1,24.299999,26.1
09/02/18,25.700001,27.1,25.6,26.799999
12/02/18,27,27.299999,26.1,26.6
13/02/18,26.799999,26.799999,26,26.200001
14/02/18,26.4,26.6,25.799999,25.9
15/02/18,26.1,26.1,25.4,26
16/02/18,26.200001,29.700001,26.1,29.6
19/02/18,29.700001,29.9,27.6,27.6
20/02/18,27.9,28.200001,26.4,26.4
21/02/18,26.6,27.200001,26.1,27
22/02/18,26.700001,27.1,24.5,25
23/02/18,25.200001,26.299999,24.1,26.299999
26/02/18,26.5,27.4,25.700001,27.200001
27/02/18,27.200001,27.5,26.4,26.799999
28/02/18,26.5,27.4,26.200001,26.5
02/03/18,26.5,26.700001,24.6,24.700001
05/03/18,24.9,26,24.200001,24.299999
06/03/18,23.6,23.6,23.6,23.6
07/03/18,23.6,24.299999,23,24
08/03/18,24.200001,24.5,23.200001,23.4
09/03/18,23.6,23.9,23,23.4
12/03/18,23.799999,25.299999,23.4,25.299999
13/03/18,25.299999,26,25,26
14/03/18,25.700001,25.799999,25.4,25.4
15/03/18,25.299999,26.799999,25.200001,26.6
16/03/18,26.5,26.700001,26,26
19/03/18,26.200001,26.5,25.700001,25.700001
20/03/18,25.700001,26.200001,25.6,25.9
21/03/18,26.1,26.4,25.9,26.1
22/03/18,26.299999,27.299999,26.1,27.1
23/03/18,26.799999,27.9,26.6,27.799999
26/03/18,28.1,29.5,28.1,29.299999
27/03/18,29.700001,30.4,29.1,30.299999
28/03/18,30.200001,31.700001,30.200001,30.6
29/03/18,30.799999,32.200001,30.700001,32.200001
30/03/18,32.200001,32.400002,30.700001,30.700001
02/04/18,30.799999,33.400002,30,33.299999
03/04/18,32,32.900002,29.4,29.4
04/04/18,29.4,29.6,26.1,26.6
05/04/18,27.799999,32.900002,27.799999,32.400002
09/04/18,32,32.700001,31.299999,31.5
10/04/18,32,33.599998,31,31.799999
11/04/18,31.9,32.299999,31.200001,31.9
12/04/18,32,32,30,30
17/04/18,30.5,31.5,30.299999,31.200001
18/04/18,32.599998,33,31.9,33
19/04/18,33.5,34.400002,33.200001,34.400002
20/04/18,34.299999,35.299999,33,33.400002
23/04/18,33.200001,34,31.700001,32.099998
24/04/18,32.700001,33.299999,32.099998,32.799999
25/04/18,32.5,33.700001,32.5,33
26/04/18,32.799999,33.5,32.5,33.5
27/04/18,33.700001,35.099998,33.400002,34.799999
30/04/18,35.5,36.700001,35.400002,36.599998
02/05/18,36.599998,36.900002,35.5,36.299999
03/05/18,36.599998,37.599998,36.200001,36.799999
04/05/18,37,37.400002,36.599998,36.799999
07/05/18,37.299999,37.299999,36.099998,36.200001
08/05/18,36.200001,36.900002,35.599998,36
09/05/18,36.299999,37.400002,36.200001,37.400002
10/05/18,37.599998,37.900002,36.599998,36.900002
11/05/18,37.099998,37.400002,36.700001,37.099998
14/05/18,37.599998,38.200001,37.5,38
15/05/18,37.200001,37.400002,36.599998,36.599998
16/05/18,36,36.5,34.5,34.5
17/05/18,35,36.299999,34.700001,36.299999
18/05/18,36.5,37,35.400002,36
21/05/18,36.5,36.799999,36.200001,36.599998
22/05/18,36.700001,36.799999,35.900002,36.099998
23/05/18,36.200001,36.5,35.799999,36.099998
24/05/18,36.200001,36.299999,35,35
25/05/18,35.200001,35.400002,33.299999,34.799999
28/05/18,34.700001,36.799999,34.200001,36.799999
30/05/18,36.299999,37,36,36.599998
31/05/18,36.799999,37.099998,34.900002,34.900002
01/06/18,35.599998,36.599998,35.599998,35.799999
04/06/18,35.799999,36.200001,34.700001,34.700001
05/06/18,35.099998,35.5,34.700001,35.200001
06/06/18,35.299999,35.400002,34.700001,34.799999
07/06/18,35.099998,35.299999,34.200001,34.400002
08/06/18,34.299999,34.599998,33.5,33.599998
11/06/18,33.700001,34.799999,32.400002,34.700001
12/06/18,34.5,34.799999,34.200001,34.200001
13/06/18,34.099998,34.400002,33.900002,33.900002
14/06/18,34,34.299999,33.900002,34.099998
15/06/18,34.200001,34.700001,34,34
18/06/18,34,34.099998,32.900002,32.900002
19/06/18,33.099998,33.799999,32.900002,33
20/06/18,33.400002,33.900002,33.200001,33.799999
21/06/18,33.700001,33.799999,32.400002,32.400002
22/06/18,32.799999,32.900002,31.200001,31.200001
25/06/18,31.6,32.700001,31.6,32.299999
26/06/18,32.099998,33.5,31.9,33.5
27/06/18,33.5,34.900002,33.5,34.799999
28/06/18,35.200001,35.799999,34.799999,34.900002
29/06/18,35.200001,35.400002,34.099998,35.200001
02/07/18,35,35.5,34.5,35.400002
03/07/18,35.5,36.200001,35.099998,36.200001
04/07/18,36.200001,37.200001,36.099998,36.799999
05/07/18,36.799999,37.099998,34.400002,34.799999
06/07/18,35.200001,36.299999,34.299999,34.700001
09/07/18,35.299999,35.299999,33.599998,34.099998
10/07/18,34.200001,34.900002,33.900002,34.599998
11/07/18,34.400002,35.900002,34.400002,35.700001
12/07/18,35.700001,36,35.099998,35.400002
13/07/18,35.75,36,33,33
16/07/18,32.5,32.75,23.1,23.1
17/07/18,27.5,30,24.200001,29
18/07/18,28.75,31.75,28.25,31.5
19/07/18,31.75,33.5,31.25,32.25
20/07/18,32.75,33.25,31.75,31.75
23/07/18,31.75,32.75,31.5,32
24/07/18,32.25,32.5,27.5,28
25/07/18,28.75,29.75,27,27.5
26/07/18,28.25,28.5,27,28
31/07/18,28,29.5,27.75,28.75
01/08/18,29,29.75,28.75,29
02/08/18,29,29.5,28.25,29
03/08/18,29,29.5,28.5,28.75
06/08/18,29.5,30.5,29,29.25
07/08/18,29.5,29.75,28.5,29
08/08/18,29,29.25,28.75,29
09/08/18,29.25,29.5,28.75,29.25
10/08/18,29.25,29.5,28.5,28.5
14/08/18,28.25,28.5,27.5,27.75
15/08/18,27.75,28.25,25.75,26.5
16/08/18,27,27.75,26.5,27.5
17/08/18,28,28.5,28,28.25
20/08/18,28.75,29.25,28.5,28.75
21/08/18,28.75,29,27.75,28.5
22/08/18,29.5,30.25,29.25,29.75
23/08/18,29.75,30,29.5,29.75
24/08/18,29.5,29.75,29.25,29.75
27/08/18,29.75,30.5,29.5,29.75
28/08/18,30.25,30.5,29.5,29.5
29/08/18,29.5,29.75,29,29.25
30/08/18,29.5,29.75,29.25,29.5
31/08/18,29.75,32.25,29.5,31.75
03/09/18,31.5,32.5,31.5,31.5
04/09/18,31.75,31.75,31,31.25
05/09/18,31.25,31.25,29.5,29.75
06/09/18,29.75,30.5,29.75,30.25
07/09/18,30.25,31.25,30.25,30.75
10/09/18,30.5,31,30.5,31
11/09/18,31,32,30.75,31
12/09/18,31.25,31.5,30.75,31.25
13/09/18,31.75,33,31.5,32.5
14/09/18,32.75,33.25,32.25,32.75
17/09/18,32.5,33,32.25,32.25
18/09/18,32.25,33.75,32,33
19/09/18,33.25,34.5,33.25,34
20/09/18,34.25,34.5,33.75,34
21/09/18,34.25,35.75,34,35.5
24/09/18,35.25,35.75,34.5,34.75
25/09/18,35,35,34,34
26/09/18,34.5,35.75,34.25,35.75
27/09/18,35.75,36.25,35.5,36
28/09/18,36.25,36.75,36,36
01/10/18,36.25,37,36,36.25
02/10/18,36,36.25,35,35.25
03/10/18,35.5,36.25,35.25,35.25
04/10/18,35,35.75,34.75,35.25
05/10/18,34.75,35.75,34.75,35
08/10/18,35.25,36,35,35.25
09/10/18,35.25,35.5,33.25,33.75
10/10/18,34.5,35,34.25,34.75
11/10/18,33.5,34.5,33.5,34
12/10/18,34.75,35.25,34.75,35
16/10/18,35.25,36.25,34.75,36
17/10/18,36.5,36.75,35.5,36
18/10/18,36,36,35,35
19/10/18,34.75,35,33.75,34
22/10/18,34,34.25,32.5,33
24/10/18,32.5,33,31.75,32.25
25/10/18,32,34,31.75,33.75
26/10/18,33.5,34.5,33.5,33.75
29/10/18,34.25,35.25,34,34.5
30/10/18,34.5,34.75,34,34.25
31/10/18,34.75,35.25,34.5,34.75
01/11/18,35,35.5,34.75,34.75
02/11/18,35,36.25,34.75,35.5
05/11/18,35.25,35.75,35,35.5
06/11/18,35.75,36,35.25,35.25
07/11/18,35.5,35.5,34,35.25
08/11/18,35.5,35.75,35.25,35.25
09/11/18,35,35.5,35,35
12/11/18,35,35.5,34,34.25
13/11/18,34,35,34,35
14/11/18,34.75,35,34,34.25
15/11/18,34.5,34.75,34,34
16/11/18,34.25,34.5,33.75,33.75
19/11/18,34,34.25,33.75,34
20/11/18,34,34.25,33.25,33.5
21/11/18,33.5,34.25,33.25,34.25
22/11/18,34.25,34.25,33.5,33.5
23/11/18,34,34,33,33.75
26/11/18,34,34.5,33.5,34.25
27/11/18,34.25,34.5,34,34.25
28/11/18,34.25,34.75,34,34
29/11/18,34.25,34.5,34,34
30/11/18,34,34.25,33.25,34
03/12/18,34.5,35,34,35
04/12/18,35,35.5,34.75,35
06/12/18,34.5,34.75,34.25,34.5
07/12/18,34.5,34.5,34,34
11/12/18,34,34,33.25,33.25
12/12/18,33.5,33.5,33.25,33.5
13/12/18,33.5,33.5,31.75,32.25
14/12/18,32.25,32.5,31.75,32
17/12/18,32.25,32.5,30.25,31.5
18/12/18,31.25,31.25,30.5,30.75
19/12/18,30.75,32,30.5,31.75
20/12/18,31.5,31.75,31,31.5
21/12/18,31.5,32,31.25,31.25
24/12/18,31,31.75,31,31.5
25/12/18,31,31.25,29.5,30
26/12/18,30.25,30.5,29.75,30.25
27/12/18,31,31.25,30,30
28/12/18,30.25,31.25,30.25,30.5
02/01/19,30.75,31.25,30.5,31.25
03/01/19,31.25,31.75,30.75,30.75
04/01/19,30.75,30.75,29.75,30.5
07/01/19,31,32,31,31.75
08/01/19,32,32.25,31.5,31.75
09/01/19,32.25,33,31.5,31.5
10/01/19,31.75,32.25,30.75,31
11/01/19,31.25,31.5,30,30.25
14/01/19,30.25,30.5,28.75,28.75
15/01/19,29.25,29.5,28.5,28.75
16/01/19,29,29,27.5,28.5
17/01/19,28.75,29.25,28,28.25
18/01/19,27.25,28.25,26.75,27.75
21/01/19,28.25,28.75,28,28.25
22/01/19,28.25,29.5,28.25,29.5
