date,open,high,low,close
03/01/18,28.75,29,28.25,28.25
04/01/18,28.5,28.75,28.25,28.25
05/01/18,28.25,28.5,28,28.5
08/01/18,28.5,28.75,28,28
09/01/18,28,28,28,28
10/01/18,28,28.5,27.75,28.25
11/01/18,28.25,28.25,27.25,28.25
12/01/18,28.5,29.5,28.5,29.25
15/01/18,29,29.75,28.75,29.25
16/01/18,29.25,29.75,29,29.5
17/01/18,29.25,29.5,29,29.25
18/01/18,29.5,29.75,29.25,29.5
19/01/18,29.25,29.75,29.25,29.75
22/01/18,29.5,29.5,29,29.5
23/01/18,29.25,29.5,29,29.25
24/01/18,29.5,30.25,29.25,30.25
25/01/18,30,30.25,29.5,29.5
26/01/18,29.5,30.25,29.5,30
29/01/18,30.25,30.5,29.25,29.5
30/01/18,29.75,30,29.5,29.75
31/01/18,29.5,29.75,29.25,29.75
01/02/18,29.75,30,29.25,29.75
02/02/18,29.5,30,29.25,29.5
05/02/18,28.75,29.5,28.75,29.25
06/02/18,29,29,28,28.5
07/02/18,28.5,29.25,28.5,29.25
08/02/18,29,29.75,29,29.25
09/02/18,29,29.25,29,29
12/02/18,29,29.5,28.5,29
13/02/18,29,29.25,28.75,28.75
14/02/18,28.75,29.75,28.75,29
15/02/18,29.25,29.5,28.75,29
16/02/18,29.25,29.5,28.75,29.25
19/02/18,29.25,29.5,28.5,29
20/02/18,28.25,28.25,27.25,27.75
21/02/18,27.75,27.75,26.25,26.5
22/02/18,26,26.75,25.75,26.25
23/02/18,26.25,26.25,25.5,26
26/02/18,26.25,26.75,26.25,26.5
27/02/18,26.5,27.25,26.5,26.75
28/02/18,26.5,26.75,26.25,26.5
02/03/18,26.25,26.5,25.75,26.25
05/03/18,26,26.25,25.75,26.25
06/03/18,26.5,26.5,26.5,26.5
07/03/18,26.5,26.5,26,26
08/03/18,26.25,26.5,26,26
09/03/18,26,26.25,25.75,26.25
12/03/18,26.25,26.75,26,26.75
13/03/18,26.75,27.5,26.5,27.5
14/03/18,28,28.25,27.25,28
15/03/18,28,28.75,27.75,28.5
16/03/18,28.75,28.75,28.25,28.5
19/03/18,28.5,28.5,27.75,28
20/03/18,28,28.5,27.75,28.25
21/03/18,28.25,28.5,27.75,28.25
22/03/18,28.25,28.5,28,28
23/03/18,27.75,28.5,27.75,28.25
26/03/18,28.25,28.5,28,28.25
27/03/18,28.5,28.5,28,28.5
28/03/18,28.25,28.5,28,28.5
29/03/18,28.5,28.75,28.25,28.5
30/03/18,28.25,28.75,28.25,28.5
02/04/18,28.25,29,28.25,29
03/04/18,29,29,28.25,28.5
04/04/18,28.5,29,28.5,28.5
05/04/18,28.75,29,28.5,29
09/04/18,29,29,28.5,28.75
10/04/18,28.75,29,28.5,29
11/04/18,28.75,29,28.5,28.75
12/04/18,28.75,28.75,28,28.75
17/04/18,28.5,28.75,28,28.5
18/04/18,28.5,28.75,28.25,28.25
19/04/18,28,28.25,27,27.5
20/04/18,27.25,27.5,27,27
23/04/18,27,27.25,26.75,27
24/04/18,26.75,27.5,26.75,27.5
25/04/18,27.25,27.5,27,27.25
26/04/18,27.75,28.75,27.5,28
27/04/18,28.25,28.75,27.75,28.75
30/04/18,28.75,29.75,28.25,29.25
02/05/18,29.25,29.5,29,29.25
03/05/18,29.25,29.5,28.75,29.25
04/05/18,29,29.25,28.75,29
07/05/18,29.25,29.25,28.75,29
08/05/18,29,29,27.75,28.25
09/05/18,28,28.5,27.75,28.25
10/05/18,28.25,28.25,27.75,27.75
11/05/18,28.25,28.5,28,28.25
14/05/18,28.5,28.5,28,28.25
15/05/18,28.25,28.5,28,28.25
16/05/18,28.25,28.5,28,28.5
17/05/18,28.25,28.75,28,28.5
18/05/18,28.75,29,28.25,28.5
21/05/18,28.5,28.75,28.25,28.5
22/05/18,28.5,28.5,28,28.5
23/05/18,28.25,28.5,28.25,28.5
24/05/18,28.5,28.75,28,28
25/05/18,28.25,28.25,28,28.25
28/05/18,28.25,28.25,27.75,28.25
30/05/18,27.75,28.25,27,27.5
31/05/18,27.5,27.5,27,27
01/06/18,26.75,27.25,26.75,27.25
04/06/18,27.25,27.75,27,27.5
05/06/18,27.25,27.5,27,27.5
06/06/18,27.5,27.5,26.75,27
07/06/18,27.25,27.25,26.75,27.25
08/06/18,27.25,27.25,27,27.25
11/06/18,27.25,28.25,27.25,27.75
12/06/18,27.75,27.75,27,27.25
13/06/18,27.25,27.5,27,27.25
14/06/18,27,27.25,26.5,26.75
15/06/18,26.75,27,26.5,26.5
18/06/18,26.5,27,26.25,27
19/06/18,26.75,26.75,26,26.5
20/06/18,26.25,26.75,26.25,26.5
21/06/18,26.5,26.5,26,26.25
22/06/18,26,26.5,25.75,26
25/06/18,26.25,26.25,25.25,25.25
26/06/18,25,25.25,24.299999,24.299999
27/06/18,24.5,24.9,24.4,24.5
28/06/18,24.5,24.799999,24.299999,24.700001
29/06/18,24.700001,24.9,24.299999,24.6
02/07/18,24.6,24.700001,24.299999,24.299999
03/07/18,24.5,24.700001,24.299999,24.6
04/07/18,24.6,26,24.6,25.5
05/07/18,25.75,25.75,24.9,25
06/07/18,24.799999,25.5,24.700001,25.25
09/07/18,25,25.5,25,25.25
10/07/18,25.25,26,24.9,26
11/07/18,26,26,25.5,25.5
12/07/18,25.75,26,25.5,25.75
13/07/18,25.75,26.25,25.5,26
16/07/18,26,26.25,25.75,26
17/07/18,25.75,26.5,25.75,26.5
18/07/18,26.5,26.5,26,26
19/07/18,26.5,26.75,26,26.25
20/07/18,26.5,26.75,26.25,26.25
23/07/18,26.25,26.5,26.25,26.5
24/07/18,26.25,26.5,25.75,26.25
25/07/18,26.25,26.25,25.5,25.5
26/07/18,25.5,26,25.5,25.75
31/07/18,25.25,25.5,24.6,24.9
01/08/18,25,25.75,24.9,25
02/08/18,25,25.5,25,25.25
03/08/18,25,25.75,25,25.25
06/08/18,25.25,25.75,25.25,25.25
07/08/18,25.25,25.75,25.25,25.5
08/08/18,25.75,26,25.5,25.75
09/08/18,25.75,26.5,25.75,26.25
10/08/18,26.5,26.5,25.75,25.75
14/08/18,25.25,25.75,25,25.5
15/08/18,25.5,26,25.25,25.75
16/08/18,25.5,26,25.25,25.25
17/08/18,25.5,25.75,25.5,25.5
20/08/18,25.5,25.5,25.25,25.5
21/08/18,25.5,25.5,24.9,24.9
22/08/18,25,25.25,24.9,24.9
23/08/18,25,25.25,25,25
24/08/18,25.25,25.25,24.9,25
27/08/18,25,25.25,24.9,25
28/08/18,25.25,25.25,24.799999,24.9
29/08/18,24.299999,24.700001,24.299999,24.700001
30/08/18,24.700001,24.799999,24.5,24.5
31/08/18,24.6,24.9,24.5,24.9
03/09/18,25,25.5,24.799999,25.25
04/09/18,25.25,25.25,24.799999,24.799999
05/09/18,24.799999,25,24.5,24.700001
06/09/18,24.6,24.9,24.5,24.6
07/09/18,24.6,24.6,24.299999,24.4
10/09/18,24.4,24.6,24.299999,24.4
11/09/18,24.4,24.4,24,24.1
12/09/18,24,24.299999,23.9,24.200001
13/09/18,24.200001,25,24.1,24.799999
14/09/18,24.799999,25.25,24.700001,25
17/09/18,25,25,24.700001,24.700001
18/09/18,24.6,25,24.6,24.9
19/09/18,24.9,25.25,24.799999,24.799999
20/09/18,24.799999,25,24.700001,24.799999
21/09/18,24.799999,25,24.6,24.700001
24/09/18,24.700001,24.799999,24.5,24.5
25/09/18,24.5,24.799999,24.5,24.700001
26/09/18,24.700001,24.700001,24.5,24.6
27/09/18,24.6,24.799999,24.5,24.6
28/09/18,24.5,24.6,24.4,24.6
01/10/18,24.5,24.6,24.4,24.4
02/10/18,24.299999,24.6,24.200001,24.6
03/10/18,24.5,24.5,24.299999,24.4
04/10/18,24.299999,24.299999,24,24.200001
05/10/18,24.200001,24.299999,24,24.299999
08/10/18,24.200001,24.200001,23.6,24
09/10/18,23.9,24,23.700001,24
10/10/18,24,24.200001,23.799999,23.799999
11/10/18,23.4,23.799999,23.299999,23.5
