date,open,high,low,close
03/01/18,19.5,20.6,19.4,20.6
04/01/18,20.5,20.799999,20.4,20.5
05/01/18,20.5,20.6,19.4,19.4
08/01/18,19.5,19.6,19,19.1
09/01/18,19.200001,19.200001,19.200001,19.200001
10/01/18,19.200001,19.299999,19,19
11/01/18,19,19,18.4,18.5
12/01/18,18.5,18.799999,18.4,18.6
15/01/18,18.700001,18.700001,18.4,18.4
16/01/18,18.4,18.4,17.700001,18.299999
17/01/18,18.4,18.9,18.299999,18.799999
18/01/18,19.1,19.4,19,19.4
19/01/18,19.299999,19.4,19.1,19.299999
22/01/18,19.200001,19.799999,19.1,19.700001
23/01/18,19.700001,19.700001,19.299999,19.4
24/01/18,19.5,19.700001,19.4,19.5
25/01/18,19.6,20.4,19.5,19.799999
26/01/18,19.9,20.4,19.700001,20.299999
29/01/18,20.200001,20.700001,20,20.6
30/01/18,20.5,20.6,20.299999,20.5
31/01/18,20.299999,21.4,20.299999,21.4
01/02/18,21.4,22,21.299999,21.9
02/02/18,21.799999,22,21.200001,21.200001
05/02/18,20.799999,21.200001,20.700001,21.200001
06/02/18,20.700001,20.9,20.299999,20.700001
07/02/18,20.9,20.9,20,20.1
08/02/18,20.200001,20.5,20,20.299999
09/02/18,19.9,20.6,19.9,20.5
12/02/18,20.6,20.6,20.299999,20.5
13/02/18,20.4,20.5,20.1,20.1
14/02/18,20.200001,20.200001,20,20
15/02/18,20.200001,20.200001,19.9,20
16/02/18,20,20.700001,20,20.700001
19/02/18,20.799999,20.9,20.4,20.4
20/02/18,20.5,20.799999,20.4,20.5
21/02/18,20.5,20.6,20,20
22/02/18,20.1,20.299999,19.799999,19.799999
23/02/18,19.799999,20.1,19.799999,19.9
26/02/18,20.1,20.6,19.9,20.6
27/02/18,20.5,20.5,19.9,20.1
28/02/18,20.1,20.200001,19.9,20
02/03/18,19.9,20.299999,19.799999,20
05/03/18,20.1,20.200001,19.9,20.1
06/03/18,21.200001,21.200001,21.200001,21.200001
07/03/18,21,21.200001,20.799999,21
08/03/18,21.200001,21.6,20.9,21.299999
09/03/18,21.4,21.6,20.9,21.1
12/03/18,21.4,21.799999,21.4,21.700001
13/03/18,21.700001,21.799999,21.4,21.799999
14/03/18,21.700001,22.1,21.5,21.5
15/03/18,21.5,22.4,21.5,22.200001
16/03/18,22.299999,23.1,22.299999,23
19/03/18,23,23.1,22.700001,22.799999
