date,open,high,low,close
03/01/18,44.25,45.25,44,45.25
04/01/18,45.5,45.5,44,44.5
05/01/18,44.5,45.25,42.75,42.75
08/01/18,42.25,43,40.75,40.75
09/01/18,41,41,41,41
10/01/18,41.25,41.5,40.75,41.25
11/01/18,40.75,42,40.75,41.25
12/01/18,41.25,41.75,41,41.25
15/01/18,41.5,43.75,41.5,43.25
16/01/18,43.5,44.5,42,42
17/01/18,42,43,41.5,42.75
18/01/18,43,44,42.75,44
19/01/18,44.5,45.25,42.5,44
22/01/18,44.25,44.25,43.75,44.25
23/01/18,44.25,44.5,43.5,43.5
24/01/18,43.5,43.75,42.75,42.75
25/01/18,43.25,43.75,42.75,42.75
26/01/18,42.75,43.25,42,43.25
29/01/18,43.5,45,43.25,44
30/01/18,43.5,44.25,43,44
31/01/18,44,46.5,43.5,46.5
01/02/18,46.5,47,45.25,45.5
02/02/18,45.75,46.25,44.25,44.5
05/02/18,43,44.25,43,43.5
06/02/18,42.5,44,41.5,43.5
07/02/18,44,44.25,42.25,42.25
08/02/18,42,43.25,42,43
09/02/18,42,42.75,41.5,42.25
12/02/18,42.5,42.5,41.5,41.75
13/02/18,42,42.75,40.75,41.5
14/02/18,41.25,41.75,39.75,40
15/02/18,40,42,38.5,42
16/02/18,42,42.25,41.5,41.75
19/02/18,42,42,41,41.25
20/02/18,41.5,41.5,40.25,40.25
21/02/18,40.5,40.5,39.5,39.5
22/02/18,39,40.5,39,39.75
23/02/18,41.25,43,40.75,42.5
26/02/18,42.75,44,42.5,43.75
27/02/18,44,44,43,44
28/02/18,44.25,45.25,43.75,44.5
02/03/18,43.75,43.75,41.5,42.25
05/03/18,42,44.25,42,43.25
06/03/18,43.25,43.25,43.25,43.25
07/03/18,43.25,43.75,42.5,42.5
08/03/18,43,43,42,42
09/03/18,41.75,42.5,41.5,42.5
12/03/18,43,45,42.5,44
13/03/18,44.25,44.75,43.5,44.5
14/03/18,44.25,45.75,44.25,45
15/03/18,45.25,45.5,44.5,44.75
16/03/18,44.75,44.75,43.75,44.25
19/03/18,43.75,45,43,44.5
20/03/18,44,44.75,43.75,44
21/03/18,44.5,45.75,44,45.25
22/03/18,45.5,46.25,44.5,44.75
23/03/18,44,45,44,44.25
26/03/18,44.25,45.5,44,45.5
27/03/18,45.5,47.75,45.5,47.25
28/03/18,47,47.5,45.25,45.75
29/03/18,45.75,46,43.5,44.25
30/03/18,43.5,44.5,41,41.5
02/04/18,41.5,42.75,40.75,40.75
03/04/18,41,41.75,40.5,40.75
04/04/18,40.75,41.25,39,39.75
05/04/18,39.75,42.25,39.25,42.25
09/04/18,42.5,42.5,40.5,41
10/04/18,41.5,41.5,39.75,41
11/04/18,40.75,41,39.75,39.75
12/04/18,40,40.75,39.25,40.25
17/04/18,40.25,41.75,40,41.25
18/04/18,41.5,41.5,40.25,40.75
19/04/18,41,41.5,40.5,41.25
20/04/18,41.25,42,40.25,40.5
23/04/18,40.25,41,40,40
24/04/18,40.5,41.25,40,40.75
25/04/18,40.5,41.5,40.5,41
26/04/18,41.25,41.5,40.75,41
27/04/18,41,41.25,40.75,41
30/04/18,41.25,41.5,41,41.25
02/05/18,41.5,42.75,41.25,42.5
03/05/18,42.5,42.75,41.75,42
04/05/18,42,42.5,41.5,41.75
07/05/18,42.5,42.5,41.75,41.75
08/05/18,42,42,40.75,41
09/05/18,41.25,41.5,40.25,41.25
10/05/18,41.5,41.5,39.25,40
11/05/18,40.5,41.75,40.25,41.75
14/05/18,41.75,42,41.5,41.5
15/05/18,42.25,43.25,41.25,42.5
16/05/18,42.25,42.5,41.5,42.25
17/05/18,42.25,42.25,41.25,42
18/05/18,42,42.75,41.75,42
21/05/18,42.5,42.75,41.75,42
22/05/18,42,42.25,41.75,41.75
23/05/18,41.75,42,41.25,41.5
24/05/18,41.5,42.5,40.75,41.5
25/05/18,41,42,40.75,41.75
28/05/18,41.75,42.25,41.5,42
30/05/18,41.5,42,40.5,41
31/05/18,40.75,41.5,39.75,41.5
01/06/18,41,41.25,40.25,41
04/06/18,40.75,41,40.25,40.75
05/06/18,40.5,40.75,39.25,40.5
06/06/18,40.75,41.5,40.25,40.25
07/06/18,40.75,41,40.5,40.75
08/06/18,41,42.5,40.75,41.75
11/06/18,42,42.5,41.75,41.75
12/06/18,42,42.75,42,42.25
13/06/18,42.5,42.75,40.5,41.25
14/06/18,41.25,41.5,40.75,41.5
15/06/18,41.5,41.5,40.5,41.5
18/06/18,41.25,41.25,40.5,40.75
19/06/18,40.5,41,39.25,40
20/06/18,40.25,40.5,39.5,40
21/06/18,40,40.25,39.5,39.5
22/06/18,39.5,39.75,39.25,39.5
25/06/18,40.75,40.75,39.25,39.25
26/06/18,39.25,40,39,39.5
27/06/18,39.5,41.5,39.5,41
28/06/18,41,41,38,38
29/06/18,37.5,39.75,36.75,39.75
02/07/18,39.25,41.25,39.25,41.25
03/07/18,41.5,41.5,40.5,41.25
04/07/18,41.25,41.25,40.5,40.5
05/07/18,40.5,40.75,38.75,39.25
06/07/18,39.5,41,39,40.75
09/07/18,40.75,41.25,40,41
10/07/18,41.25,42.25,41.25,42
11/07/18,42,42,40.75,41
12/07/18,41.5,41.75,40.75,41
13/07/18,41.5,42,41.25,41.5
16/07/18,41.5,42.5,41.25,41.25
17/07/18,40.75,41.25,39.5,41
18/07/18,41,41.25,40.25,40.5
19/07/18,40.75,41.25,40.25,40.5
20/07/18,41,41.5,40.75,41.5
23/07/18,41,41.25,40.5,41
24/07/18,40.75,42,40.5,40.75
25/07/18,41,41.25,40.75,40.75
26/07/18,41,41,40.75,41
31/07/18,41,41.25,40.5,40.75
01/08/18,40.75,41,40,40.5
02/08/18,40.75,41,40.25,40.5
03/08/18,40.5,41.25,40.25,40.5
06/08/18,40.5,40.75,40,40.25
07/08/18,40.25,40.5,40.25,40.5
08/08/18,40.5,40.5,39.75,40
09/08/18,40.25,40.25,39.5,39.5
10/08/18,39.5,40.5,39.5,39.75
14/08/18,39.75,40.25,39.5,40
15/08/18,37.75,38.5,34.25,34.75
16/08/18,35,36.75,34,36.25
17/08/18,36.75,37,36.25,36.5
20/08/18,36.5,36.75,35.5,36.5
21/08/18,36.5,36.75,36,36
22/08/18,36,36.5,36,36.25
23/08/18,36.25,36.5,36,36
24/08/18,36.25,36.25,36,36
27/08/18,36,36.25,35.5,35.75
28/08/18,35.5,35.5,34.5,35
29/08/18,35,35.75,35,35.5
