date,open,high,low,close
03/01/18,44.25,44.5,43.25,43.75
04/01/18,43.75,44,41.75,42.25
05/01/18,42.25,42.5,41.25,41.25
08/01/18,41.5,42.5,41.5,42
09/01/18,42.5,42.5,42.5,42.5
10/01/18,42.75,43,42.25,42.75
11/01/18,42.75,43,42.25,43
12/01/18,43,43.25,42.5,42.75
15/01/18,43,44.25,42.75,44.25
16/01/18,44.5,44.75,43.5,44
17/01/18,43.75,44.75,43.5,44.5
18/01/18,44.5,45,44.25,44.5
19/01/18,44.25,44.5,42.75,43.75
22/01/18,43.75,44.5,43.5,44
23/01/18,44.25,44.5,43.25,44
24/01/18,44,44.25,43.75,44
25/01/18,44,44.25,43.25,43.25
26/01/18,43,43.5,42.75,43.5
29/01/18,43.5,44,43.25,43.75
30/01/18,43.75,44,43,43.75
31/01/18,43.5,44,43.25,44
01/02/18,44,44.5,43.75,44.25
02/02/18,44.25,44.5,43.25,44
05/02/18,43,43.75,43,43.5
06/02/18,42,42.75,41.25,42.5
07/02/18,42.5,43,42.25,42.5
08/02/18,42.25,43,42,43
09/02/18,42,42.75,42,42.5
12/02/18,42.5,42.75,42.25,42.5
13/02/18,42.75,43.25,42.75,43
14/02/18,43.25,44,43,43.75
15/02/18,43.75,43.75,42.75,43.5
16/02/18,43.25,43.5,42.25,42.75
19/02/18,42.75,43,42,42.25
20/02/18,41.75,42,40.75,40.75
21/02/18,40.75,41.25,39.75,40
22/02/18,39.75,40.5,39.25,39.5
23/02/18,40,41,39.75,40.75
26/02/18,41,41.25,40.5,41
27/02/18,41.25,41.5,40.5,40.75
28/02/18,40.5,41,40,40.5
02/03/18,40.25,40.5,39.25,39.75
05/03/18,39.25,39.5,39,39.5
06/03/18,39.5,40.25,38.5,39
07/03/18,39,39.25,38.25,39
08/03/18,38.75,39.25,38.25,39
09/03/18,39.25,39.5,38.5,39
12/03/18,39.25,39.5,38.5,38.75
13/03/18,38.25,38.25,36.75,37.5
14/03/18,37.5,39.25,37.25,39.25
15/03/18,39.25,39.5,38.75,39
16/03/18,39,39,37.5,38
19/03/18,37.75,38.5,37.5,38
20/03/18,38,39,37.75,38.75
21/03/18,38.5,38.75,37.5,38
22/03/18,38.25,38.25,37.5,37.75
23/03/18,37.5,37.75,37,37.25
26/03/18,37.25,37.5,37,37.25
27/03/18,37.5,39,37.25,38.5
28/03/18,38.5,38.75,37.75,37.75
29/03/18,37.75,38.75,37.5,38
30/03/18,38.25,38.5,37.25,38.25
02/04/18,38.5,38.75,38,38.5
03/04/18,38.5,38.5,38,38.25
04/04/18,38.25,38.25,37.5,37.5
05/04/18,37.75,39.25,37.5,39
09/04/18,39,40.25,39,40
10/04/18,39.5,40.25,39.25,39.75
11/04/18,39.75,40.25,39.5,40
12/04/18,40,40,39,39.5
17/04/18,40,40,39.25,39.5
18/04/18,39.5,40.25,39.25,39.75
19/04/18,40,40,39.25,39.5
20/04/18,39.75,40.25,39.25,39.5
23/04/18,39.75,40.25,39.5,40
24/04/18,40.25,41,40,40.25
25/04/18,40,40.25,39.75,40
26/04/18,40,40.25,39.5,40
27/04/18,40,40.25,39.5,40
30/04/18,40,40.25,39.5,40.25
02/05/18,40.25,40.25,39.5,40
03/05/18,40,40.75,40,40
04/05/18,40,40.25,39.75,40
07/05/18,40,40.25,39.5,39.75
08/05/18,40,40,38.25,38.75
09/05/18,39,39.5,38.5,38.75
10/05/18,38.75,39.75,38.5,39.25
11/05/18,39,39.25,38.5,39.25
14/05/18,39,39.25,37,37.75
15/05/18,37.5,37.75,37,37.5
16/05/18,37.5,38.25,37.25,38
17/05/18,37.75,38,37,37.5
18/05/18,37.25,37.75,37,37.5
21/05/18,37.5,38.25,37.5,38
22/05/18,37.75,38,37.5,37.75
23/05/18,37.25,37.5,36,36
24/05/18,36,36,34.5,34.75
25/05/18,35.25,36.25,34.5,35
28/05/18,35,35.5,34.5,35
30/05/18,34.5,34.75,33.5,34
31/05/18,34,34.25,32,32.5
01/06/18,33,33.5,31.25,31.75
04/06/18,32.5,33.5,32.5,33.25
