date,open,high,low,close
03/01/18,12.9333,13.4,12.9333,13.3333
04/01/18,13.3333,13.8667,13.1333,13.7333
05/01/18,13.8667,14.1333,13.8667,13.8667
08/01/18,13.8667,14,13.3333,13.3333
09/01/18,13,13,13,13
10/01/18,13.2,13.4,13.2,13.2
11/01/18,13.2667,13.4667,13.2667,13.4
12/01/18,13.4667,13.8667,13.4667,13.8
15/01/18,13.8,14.2,13.7333,14.0667
16/01/18,14.1333,14.6,14.1333,14.4
17/01/18,14.3333,14.8,14.3333,14.6667
18/01/18,14.9333,15,14.4,14.4
19/01/18,14.3333,14.6,14.2667,14.4
22/01/18,14.4,14.6667,14.4,14.5333
23/01/18,14.6667,14.8,14.5333,14.5333
24/01/18,14.5333,14.8,14.4667,14.6
25/01/18,14.6667,14.7333,14,14.0667
26/01/18,14.0667,14.3333,13.8667,14.2667
29/01/18,14.4667,14.7333,14.4667,14.7333
30/01/18,14.6,14.8,14.5333,14.6667
31/01/18,14.6,14.8,14.6,14.6
01/02/18,14.6,14.8667,14.4,14.4
02/02/18,14.3333,14.7333,14.3333,14.6
05/02/18,14.3333,14.4667,14.2667,14.3333
06/02/18,14,14.1333,13.5333,14
07/02/18,14.2,14.3333,14,14.0667
08/02/18,14,14.4,14,14.2
09/02/18,14,14.1333,13.9333,14
12/02/18,14.0667,14.2667,14,14.1333
13/02/18,14.2,14.2,14.0667,14.0667
14/02/18,14,14.1333,14,14
15/02/18,14.0667,14.3333,14,14.2
16/02/18,14.1333,14.5333,14.1333,14.4667
19/02/18,14.4667,14.5333,14.3333,14.4667
20/02/18,14.4667,14.6,14.4667,14.4667
21/02/18,14.5333,14.5333,14.0667,14.0667
22/02/18,14,14.0667,13.2667,13.7333
23/02/18,13.6667,14.1333,13.4667,14.0667
26/02/18,14.3333,14.5333,14.2,14.4
27/02/18,14.4667,14.4667,13.8667,13.8667
28/02/18,13.9333,14.3333,13.9333,14.3333
02/03/18,14.4,14.4,13.8667,14.0667
05/03/18,14.0667,14.4,13.9333,14
06/03/18,14,14,14,14
07/03/18,14,14.0667,13.3333,13.3333
08/03/18,13.3333,13.6667,12.5333,12.5333
09/03/18,12.5333,12.5333,10.8667,11.0667
12/03/18,11.2667,11.6,11.2,11.4
13/03/18,11.4667,12.8667,11.4667,12.6
14/03/18,12.6,13.3333,12.6,13.2
15/03/18,13.2,13.5333,13.1333,13.2667
16/03/18,13.4667,13.5333,13.2667,13.4667
19/03/18,13.6,13.7333,12.9333,13
20/03/18,13.0667,13.4,13,13.2667
21/03/18,13.4,13.4,13,13.0667
22/03/18,13.2,13.2667,12.9333,13
23/03/18,12.8,12.8667,12.6,12.8
26/03/18,13,13.2,12.8667,13.0667
27/03/18,13.2,13.2,12.9333,12.9333
28/03/18,13.0667,13.0667,12.7333,12.7333
29/03/18,12.7333,12.8,12.5333,12.8
30/03/18,12.8667,12.8667,12.3333,12.3333
02/04/18,12.3333,12.4,12.2,12.2667
03/04/18,12.3333,12.6,11.2,11.2667
04/04/18,11.3333,11.6,10.8667,10.9333
05/04/18,11.1333,11.6,11.1333,11.6
09/04/18,11.5333,11.6,11.3333,11.3333
10/04/18,11.4,11.6667,11.1333,11.6667
11/04/18,11.6667,11.6667,11.2,11.2
12/04/18,11.2,11.3333,11,11.1333
17/04/18,11.2,11.4,11.1333,11.2
18/04/18,11.2667,12,11.2667,12
19/04/18,12.2,12.4,12.1333,12.3333
20/04/18,12.3333,12.3333,12,12.2667
23/04/18,12.2667,12.5333,12.2,12.2667
24/04/18,12.2667,12.4667,12.2,12.2667
25/04/18,12.1333,12.4,12,12.1333
26/04/18,12.1333,12.2667,11.8,11.8
27/04/18,12.1333,12.1333,11.8667,12
30/04/18,11.9333,12.2,11.9333,12.1333
02/05/18,12.0667,12.3333,12.0667,12.3333
03/05/18,12.4,13,12.4,13
04/05/18,13.1333,13.2,12.8667,13.2
07/05/18,13.2667,13.3333,12.8667,12.9333
08/05/18,12.6667,12.7333,12.4,12.4
09/05/18,12.4667,12.5333,12.1333,12.3333
10/05/18,12.4,12.4667,12.1333,12.2
11/05/18,12.2667,12.6667,12.0667,12.6667
14/05/18,12.8667,12.8667,12.5333,12.6667
15/05/18,12.8,12.9333,12.6667,12.8
16/05/18,12.8,12.9333,12.6667,12.8667
17/05/18,12.8667,12.8667,12.6,12.6667
18/05/18,12.7333,12.8667,12.5333,12.6
21/05/18,12.7333,13.0667,12.6667,13.0667
22/05/18,13.2,13.3333,13.1333,13.2667
23/05/18,13.3333,13.3333,13.0667,13.2667
24/05/18,13.4,13.6,13.2,13.2667
25/05/18,13.3333,13.5333,13.2,13.2667
28/05/18,13.3333,13.4,13.2,13.2
30/05/18,13.2667,13.2667,12.8667,13.1333
31/05/18,13.1333,13.4,13,13.3333
01/06/18,13.3333,13.4,13,13.1333
04/06/18,13.1333,13.3333,13,13.3333
05/06/18,13.3333,13.3333,13.0667,13.3333
06/06/18,13.3333,13.4,13.2667,13.2667
07/06/18,13.3333,13.3333,13.0667,13.0667
08/06/18,13.0667,13.2,13,13
11/06/18,13.0667,13.0667,12.8667,13
12/06/18,13.0667,13.1333,12.9333,13
13/06/18,13,13.0667,12.7333,12.8
14/06/18,12.8,12.8667,12.4667,12.4667
15/06/18,12.5333,12.6667,12.4667,12.4667
18/06/18,12.3333,12.4667,12.1333,12.2667
19/06/18,12.0667,12.2,11.9333,12.0667
20/06/18,12,12.2667,11.9333,12.2667
21/06/18,12.3333,12.4,12.2,12.3333
22/06/18,12.2667,12.4,12.2,12.2667
25/06/18,12.2667,12.3333,12.1333,12.1333
26/06/18,11.9333,11.9333,11.7333,11.8667
27/06/18,11.9333,12.2,11.9333,12
28/06/18,12.1333,12.1333,11.6,11.6
29/06/18,11.6,11.7333,10.9333,10.9333
02/07/18,11,11.4,10.9333,11.3333
03/07/18,11.4,11.5333,11.2,11.4667
04/07/18,11.6,11.6,11.1333,11.1333
05/07/18,11.1333,11.2,10.8667,10.8667
06/07/18,10.8667,10.9333,10.6,10.8
09/07/18,10.8667,11.3333,10.8,11.1333
10/07/18,11.1333,11.5333,11.1333,11.5333
11/07/18,11.3333,11.5333,11.2667,11.4
12/07/18,11.4667,11.6667,11.4,11.4667
13/07/18,11.6,11.8,11.5333,11.5333
16/07/18,11.6,11.6,11.4667,11.4667
17/07/18,11.4667,11.5333,11.2,11.3333
18/07/18,11.5333,11.7333,11.4,11.6667
19/07/18,11.6667,12,11.6,11.8
20/07/18,11.9333,12.0667,11.8,12
23/07/18,11.8667,12.1333,11.8,12.1333
24/07/18,12.2667,12.4,12.2,12.3333
25/07/18,12.2667,12.4667,12.2667,12.4
26/07/18,12.4667,12.6,12.4,12.6
31/07/18,12.7333,12.8,12.4667,12.5333
01/08/18,12.6,12.7333,12.5333,12.6667
02/08/18,12.7333,12.7333,12.4667,12.6
03/08/18,12.6667,12.8,12.5333,12.6667
06/08/18,12.6667,12.8667,12.5333,12.6
07/08/18,12.6667,12.6667,12.5333,12.6
08/08/18,12.6,12.7333,12.5333,12.6667
09/08/18,12.6667,12.8,12.6667,12.7333
10/08/18,12.8,12.8667,12.6667,12.8
14/08/18,12.7333,13.2,12.6667,13
15/08/18,13.0667,13.2,13,13.0667
16/08/18,13.0667,13.0667,12.8,13
17/08/18,13.0667,13.0667,12.4,12.4
20/08/18,12.5333,12.6,12.4,12.4
21/08/18,12.5333,12.6,12.3333,12.3333
22/08/18,12.3333,12.5333,12.3333,12.4667
23/08/18,12.4667,12.5333,12.4,12.4
24/08/18,12.4667,12.4667,12.3333,12.3333
27/08/18,12.4,12.5333,12.2667,12.4667
28/08/18,12.5333,12.6667,12.3333,12.4
29/08/18,12.5333,12.5333,12.3333,12.4667
30/08/18,12.4667,12.4667,12.3333,12.4
31/08/18,12.4,12.4667,12.3333,12.4667
03/09/18,12.4,12.6,12.2,12.4667
04/09/18,12.4667,12.4667,12.2,12.2667
05/09/18,12.3333,12.3333,11.7333,11.7333
06/09/18,11.6667,11.7333,11.4667,11.5333
07/09/18,11.5333,11.8,11.5333,11.7333
10/09/18,11.7333,11.7333,11.6,11.6
11/09/18,11.6,11.7333,11.5333,11.5333
12/09/18,11.5333,11.6667,11.4667,11.6667
13/09/18,11.7333,12.0667,11.6667,12
14/09/18,12.0667,12.1333,11.9333,12
17/09/18,12,12.0667,11.8,11.8
18/09/18,11.8667,12.2667,11.8667,12.2
19/09/18,12.2667,12.4,12.2,12.2
20/09/18,12.2667,12.3333,12.1333,12.1333
21/09/18,12.2,12.3333,12.0667,12.3333
24/09/18,12.2667,12.2667,12,12
25/09/18,12,12,11.6,11.6
26/09/18,11.6667,11.8,11.6,11.6667
27/09/18,11.7333,11.7333,11.5333,11.6
28/09/18,11.6667,11.7333,11.5333,11.5333
01/10/18,11.6,11.7333,11.5333,11.7333
02/10/18,11.8,11.9333,11.6667,11.6667
03/10/18,11.6667,11.9333,11.6667,11.7333
04/10/18,11.7333,11.7333,11.5333,11.5333
05/10/18,11.5333,11.5333,11.2667,11.3333
08/10/18,11.4,11.4667,11.2,11.2667
09/10/18,11.2667,11.4,11.2,11.3333
10/10/18,11.3333,11.5333,11.2667,11.3333
11/10/18,11.1333,11.2667,11.0667,11.2
12/10/18,11.3333,11.3333,11.1333,11.3333
16/10/18,11.3,11.6,11.1,11.1
17/10/18,11.3,11.4,10.9,11
18/10/18,10.9,11,10.7,10.8
19/10/18,10.7,10.7,10.1,10.2
22/10/18,10.2,10.4,9.9,10
24/10/18,9.9,9.9,9.3,9.3
25/10/18,9.05,9.4,8.95,9.3
26/10/18,9.3,9.35,8.9,9
29/10/18,9.05,9.1,8.8,8.85
30/10/18,8.85,9.1,8.8,9
31/10/18,9.05,9.25,8.95,9.2
01/11/18,9.2,9.2,8.95,9
02/11/18,9.15,9.5,9.05,9.35
05/11/18,9.3,9.45,9.3,9.35
06/11/18,9.4,9.4,8.85,8.85
07/11/18,8.95,9.05,8.4,8.65
08/11/18,8.75,8.9,8.65,8.75
09/11/18,8.75,9,8.75,8.8
12/11/18,8.95,8.95,7.7,7.7
13/11/18,7.45,7.8,7.15,7.55
14/11/18,7.55,7.85,7.25,7.25
15/11/18,7.35,7.4,6.3,6.45
16/11/18,6.5,6.65,6.3,6.4
19/11/18,6.75,6.95,6.7,6.95
20/11/18,6.85,6.85,6.6,6.7
21/11/18,6.7,7.35,6.55,7.25
22/11/18,7.25,7.3,6.85,7
23/11/18,7.05,7.15,6.9,7.1
26/11/18,7.1,7.6,7.05,7.55
27/11/18,7.5,7.75,7.45,7.6
28/11/18,7.65,7.8,7.6,7.65
29/11/18,7.7,7.8,7.45,7.45
30/11/18,7.45,7.7,7.45,7.6
03/12/18,7.8,7.9,7.65,7.75
04/12/18,7.75,8.05,7.75,8.05
06/12/18,7.9,8.05,7.85,7.95
07/12/18,8,8.1,7.9,7.95
11/12/18,7.9,8.05,7.8,7.95
12/12/18,7.95,8,7.9,7.95
13/12/18,7.95,8,7.7,7.75
14/12/18,7.8,7.85,7.1,7.25
17/12/18,7.25,7.4,6.85,7.05
18/12/18,6.95,7.05,6.85,7
19/12/18,7,7.25,7,7.2
20/12/18,7.15,7.15,6.9,6.9
21/12/18,6.9,6.95,6.6,6.65
24/12/18,6.65,7.1,6.65,6.8
25/12/18,6.7,6.8,6.55,6.75
26/12/18,6.75,6.9,6.7,6.75
27/12/18,6.95,6.95,6.7,6.7
28/12/18,6.75,6.8,6.6,6.6
02/01/19,6.65,6.8,6.6,6.7
03/01/19,6.65,6.8,6.6,6.7
04/01/19,6.6,6.6,6.25,6.5
07/01/19,6.5,7.1,6.5,6.9
08/01/19,6.95,7.1,6.85,6.95
09/01/19,7.05,7.3,7.05,7.1
10/01/19,7.1,7.15,6.95,7
11/01/19,7.05,7.1,7,7.05
14/01/19,7.05,7.1,6.8,7
15/01/19,7,7.2,7,7
16/01/19,6.95,7,6.8,6.9
17/01/19,6.9,7,6.85,6.85
18/01/19,6.9,7.1,6.85,7
21/01/19,7,7.25,7,7.2
22/01/19,7.2,7.35,7.15,7.3
23/01/19,7.25,7.45,7.25,7.35
24/01/19,7.35,7.5,7.3,7.35
25/01/19,7.4,7.5,7.35,7.35
28/01/19,7.45,7.45,7.25,7.3
29/01/19,7.3,7.35,7.15,7.2
30/01/19,7.2,7.5,7.2,7.45
31/01/19,7.5,7.65,7.4,7.4
01/02/19,7.4,7.5,7.3,7.35
04/02/19,7.4,7.6,7.35,7.55
05/02/19,7.55,7.6,7.4,7.5
06/02/19,7.5,7.55,7.4,7.4
07/02/19,7.4,7.45,7.35,7.35
08/02/19,7.3,7.35,7.15,7.3
11/02/19,7.25,7.35,7.1,7.2
12/02/19,7.2,7.3,7.15,7.3
13/02/19,7.35,7.45,7.25,7.4
14/02/19,7.4,7.45,7.25,7.3
15/02/19,7.3,7.3,7.05,7.05
18/02/19,7.15,7.15,6.9,6.95
20/02/19,6.95,7.05,6.95,7.05
21/02/19,7.05,7.05,6.95,7
22/02/19,7,7.2,7,7.15
25/02/19,7.2,7.35,7.15,7.35
26/02/19,7.5,7.5,7.3,7.3
27/02/19,7.35,7.5,7.35,7.5
28/02/19,7.55,7.6,7.4,7.45
01/03/19,7.5,7.5,7.15,7.15
04/03/19,7.1,7.25,7,7.1
05/03/19,7.05,7.2,7,7.15
06/03/19,7.15,7.45,7.15,7.25
07/03/19,7.3,7.3,7.1,7.25
08/03/19,7.25,7.45,7.25,7.35
11/03/19,7.35,7.4,7.25,7.25
12/03/19,7.3,7.3,7.2,7.25
13/03/19,7.25,7.25,7.1,7.2
14/03/19,7.25,7.3,7.15,7.2
15/03/19,7.2,7.3,7.15,7.15
18/03/19,7.15,7.2,6.85,7
19/03/19,6.95,7.1,6.95,7.05
20/03/19,7.1,7.1,7,7.05
21/03/19,7.05,7.1,7,7.05
22/03/19,7,7.1,7,7.05
25/03/19,7,7.05,6.8,6.85
26/03/19,6.85,6.9,6.8,6.85
27/03/19,6.85,6.9,6.75,6.9
28/03/19,6.85,6.9,6.75,6.85
29/03/19,6.85,7,6.8,6.85
01/04/19,6.9,7.1,6.85,6.9
02/04/19,6.95,7.05,6.9,7
03/04/19,7,7.05,6.95,7
04/04/19,7,7,6.85,6.85
05/04/19,6.9,7,6.85,6.9
09/04/19,6.9,7.1,6.85,7
10/04/19,7.05,7.15,7,7.15
11/04/19,7.15,7.4,7.15,7.35
12/04/19,7.4,7.9,7.35,7.9
17/04/19,8,8.2,7.95,7.95
18/04/19,8,8.05,7.95,8
19/04/19,8,8.05,7.95,7.95
22/04/19,8,8.1,7.95,8.05
