date,open,high,low,close
03/01/18,6.4,6.4,6.2,6.25
04/01/18,6.25,6.25,6.05,6.05
05/01/18,6.05,6.05,5.85,5.9
08/01/18,5.9,6.05,5.85,5.95
09/01/18,6.15,6.15,6.15,6.15
10/01/18,6.2,6.25,5.9,6
11/01/18,6.05,6.15,5.95,6.05
12/01/18,6.05,6.2,6.05,6.2
15/01/18,6.25,6.3,6,6.1
16/01/18,6.1,6.2,6,6.15
17/01/18,6.15,6.2,6.05,6.1
18/01/18,6.15,6.25,6.05,6.2
19/01/18,6.25,6.25,6.05,6.05
22/01/18,6.1,6.2,6.05,6.15
23/01/18,6.15,6.2,6.1,6.1
24/01/18,6.1,6.1,6,6.1
25/01/18,6.1,6.2,6.1,6.15
26/01/18,6.15,6.6,6.05,6.5
29/01/18,6.6,6.85,6.5,6.75
30/01/18,6.65,6.75,6.6,6.75
31/01/18,6.65,6.95,6.65,6.85
01/02/18,6.85,6.9,6.65,6.85
02/02/18,6.75,6.85,6.65,6.7
05/02/18,6.45,6.6,6.3,6.55
06/02/18,6.35,6.65,6.3,6.5
07/02/18,6.55,6.65,6.55,6.55
08/02/18,6.6,6.65,6.45,6.65
09/02/18,6.5,6.75,6.5,6.7
12/02/18,6.75,6.75,6.5,6.6
13/02/18,6.6,6.7,6.55,6.65
14/02/18,6.7,6.95,6.6,6.85
15/02/18,6.55,6.55,6.25,6.55
16/02/18,6.5,6.5,6.35,6.4
19/02/18,6.4,6.45,6.2,6.2
20/02/18,6.15,6.25,6.05,6.05
21/02/18,6.05,6.2,6.05,6.2
22/02/18,6.15,6.25,6.05,6.2
23/02/18,6.15,6.25,6.1,6.2
26/02/18,6.2,6.4,6.15,6.4
27/02/18,6.4,6.45,6.3,6.3
28/02/18,6.3,6.35,6.2,6.35
02/03/18,6.2,6.35,6.15,6.15
05/03/18,6.15,6.2,6.05,6.2
06/03/18,6.3,6.3,6.3,6.3
07/03/18,6.2,6.3,6.1,6.1
08/03/18,6.1,6.2,6.1,6.15
09/03/18,6.15,6.2,6.05,6.1
12/03/18,6.15,6.2,6.05,6.1
13/03/18,6.1,6.15,6.05,6.15
14/03/18,6.1,6.2,6.05,6.15
15/03/18,6.15,6.2,6.05,6.2
16/03/18,6.15,6.2,6.05,6.15
19/03/18,6.15,6.25,6.05,6.05
20/03/18,6.1,6.1,6,6
21/03/18,6.05,6.1,6,6
22/03/18,6.05,6.05,5.65,5.8
23/03/18,5.7,5.8,5.5,5.8
26/03/18,5.8,5.9,5.7,5.7
27/03/18,5.6,5.7,5.5,5.65
28/03/18,5.65,5.95,5.65,5.85
29/03/18,5.8,5.95,5.8,5.85
30/03/18,5.9,5.95,5.7,5.75
02/04/18,5.8,5.85,5.7,5.8
03/04/18,5.8,5.8,5.45,5.45
04/04/18,5.55,5.7,5.5,5.6
05/04/18,5.6,5.6,5.4,5.45
09/04/18,5.5,5.65,5.45,5.6
10/04/18,5.6,5.75,5.6,5.7
11/04/18,5.7,5.8,5.65,5.65
12/04/18,5.7,5.75,5.65,5.7
17/04/18,5.7,5.75,5.6,5.65
18/04/18,5.75,5.85,5.7,5.75
19/04/18,5.8,5.8,5.65,5.7
20/04/18,5.7,5.8,5.65,5.75
23/04/18,5.75,5.9,5.75,5.8
24/04/18,5.8,5.85,5.75,5.8
