date,open,high,low,close
03/01/18,10.2,10.2,9.95,10
04/01/18,10.1,10.8,10,10.7
05/01/18,10.9,11,10.7,10.9
08/01/18,11,11.6,11,11.2
09/01/18,11.1,11.1,11.1,11.1
10/01/18,11.2,11.4,11.1,11.2
11/01/18,11.1,11.3,10.9,11.1
12/01/18,11.2,11.4,11.1,11.2
15/01/18,11.2,11.2,10.5,10.6
16/01/18,10.5,10.8,10.4,10.4
17/01/18,10.3,10.7,10.3,10.4
18/01/18,10.5,10.7,10.4,10.5
19/01/18,10.5,10.6,10.3,10.4
22/01/18,10.4,10.6,10.4,10.4
23/01/18,10.5,10.6,10.3,10.3
24/01/18,10.3,11.1,10.3,11
25/01/18,11.1,11.1,10.8,10.8
26/01/18,10.8,10.9,10.6,10.7
29/01/18,11.3,11.4,11,11.1
30/01/18,11.1,11.4,11.1,11.2
31/01/18,11.1,11.8,11.1,11.8
01/02/18,11.8,11.9,11.6,11.7
02/02/18,11.7,12.1,11.5,11.5
05/02/18,11.1,11.3,11,11.2
06/02/18,10.6,11.2,10.6,10.9
07/02/18,11.2,11.2,10.7,10.7
08/02/18,10.8,10.9,10.7,10.8
09/02/18,10.6,10.9,10.6,10.9
12/02/18,11,11.1,10.9,11
13/02/18,11.1,11.3,11,11
14/02/18,11,11.2,10.9,10.9
15/02/18,10.9,11,10.8,10.9
16/02/18,10.9,11,10.8,10.8
19/02/18,10.9,10.9,10.6,10.7
20/02/18,10.8,11.1,10.7,10.7
21/02/18,10.8,10.8,10.4,10.4
22/02/18,10.4,10.4,9.8,9.9
23/02/18,10,10.2,10,10.1
26/02/18,10.2,10.4,10,10.3
27/02/18,10.3,10.4,9.9,9.95
28/02/18,9.95,10.1,9.95,10
02/03/18,9.95,10.1,9.9,9.9
05/03/18,9.9,9.95,6.95,9.3
06/03/18,9.3,9.3,9.3,9.3
07/03/18,9.35,9.4,9.05,9.05
08/03/18,9.05,9.05,8.05,8.3
09/03/18,8.4,8.5,8.2,8.3
12/03/18,8.4,8.9,8.3,8.85
13/03/18,8.75,9,8.7,8.85
14/03/18,8.8,9.2,8.8,8.9
