date,open,high,low,close
03/01/18,21.700001,22.299999,21.700001,22
04/01/18,22.299999,23.1,22.1,23
05/01/18,23.1,23.6,23,23.5
08/01/18,23.6,23.700001,22.4,22.5
09/01/18,22.799999,22.799999,22.799999,22.799999
10/01/18,23,23.200001,22.6,22.6
11/01/18,22.6,22.700001,22.4,22.6
12/01/18,22.799999,22.9,22.1,22.1
15/01/18,22.200001,22.299999,21.6,21.6
16/01/18,21.6,22.4,21.299999,22.4
17/01/18,22.5,22.700001,22,22.1
18/01/18,22.200001,22.4,21.700001,21.799999
19/01/18,21.9,21.9,21.299999,21.4
22/01/18,21.4,21.700001,20.799999,20.9
23/01/18,21,21.4,20.9,20.9
24/01/18,21.200001,21.700001,21.200001,21.6
25/01/18,21.9,22.200001,21.5,21.5
26/01/18,21.5,21.6,21,21.299999
29/01/18,21.5,21.9,21.4,21.5
30/01/18,21.6,21.6,21.299999,21.5
31/01/18,21.4,21.700001,21.299999,21.4
01/02/18,21.4,21.5,21,21
02/02/18,21.1,21.5,21,21.1
05/02/18,20.5,21,20.5,20.799999
06/02/18,20.299999,20.5,19.700001,20.299999
07/02/18,20.6,20.9,19.9,19.9
08/02/18,20.1,20.4,20,20.1
09/02/18,19.799999,20.200001,19.700001,20
12/02/18,20,20.5,20,20
13/02/18,20.1,20.200001,19.9,19.9
14/02/18,20,20,19.700001,19.799999
15/02/18,20,20,19.700001,19.799999
16/02/18,19.9,20.1,19.799999,19.9
19/02/18,20,20.200001,19.799999,19.799999
20/02/18,19.799999,19.799999,18.4,18.4
21/02/18,18.5,18.799999,17,17
22/02/18,17.299999,18.5,17.299999,18.299999
23/02/18,18.5,19.299999,18.4,19.299999
26/02/18,19.5,19.6,18.9,18.9
27/02/18,19.1,19.1,18.1,18.200001
28/02/18,18,18.5,17.799999,17.9
02/03/18,17.9,18,17.6,17.700001
05/03/18,18,18.4,17.9,18.200001
06/03/18,18.299999,18.299999,18.299999,18.299999
07/03/18,18.299999,18.299999,17.9,18
08/03/18,18,18.299999,17.9,18
09/03/18,18.1,18.200001,17.6,17.9
12/03/18,18.1,18.1,17.6,17.700001
13/03/18,17.799999,18,17.6,17.9
14/03/18,17.9,18.200001,17.700001,18.200001
15/03/18,18.4,18.700001,17.9,17.9
16/03/18,17.9,18.1,17.6,17.6
19/03/18,17.799999,17.799999,17.4,17.5
20/03/18,17.5,17.799999,17.5,17.6
21/03/18,17.799999,18.200001,17.6,17.9
22/03/18,18.1,18.200001,17.700001,17.700001
23/03/18,17.5,17.799999,17.299999,17.4
26/03/18,17.5,17.6,17.4,17.4
27/03/18,17.6,17.6,17.299999,17.299999
28/03/18,17.299999,17.4,17,17
29/03/18,17.1,17.1,16.200001,16.299999
30/03/18,16.200001,17.1,16.200001,17.1
02/04/18,17.299999,17.4,17.1,17.200001
03/04/18,17.200001,17.200001,16.799999,16.799999
04/04/18,16.9,17,16.5,16.5
05/04/18,16.799999,17,16.4,17
09/04/18,17,17.299999,16.700001,16.700001
10/04/18,16.9,17,16.700001,16.9
11/04/18,17,17.4,17,17.4
12/04/18,17.6,17.9,17.4,17.799999
17/04/18,17.9,18.200001,17.700001,17.700001
18/04/18,17.799999,18.5,17.700001,18.5
19/04/18,18.5,18.799999,18.5,18.799999
20/04/18,18.799999,18.799999,18.4,18.6
23/04/18,18.700001,19,18.6,18.6
24/04/18,18.6,18.700001,18.299999,18.299999
25/04/18,18.200001,18.4,18.1,18.1
26/04/18,18.200001,18.5,18.1,18.5
27/04/18,18.6,18.799999,18.200001,18.200001
30/04/18,18.5,18.799999,18.299999,18.700001
02/05/18,18.799999,18.799999,18.4,18.799999
03/05/18,18.6,18.799999,18.5,18.5
04/05/18,18.6,18.700001,18.200001,18.200001
07/05/18,18.4,18.4,17.6,17.6
08/05/18,17.6,18,17.6,18
09/05/18,17.9,18,17.700001,17.799999
10/05/18,18.4,18.700001,18.299999,18.6
11/05/18,18.9,19,18.700001,18.700001
14/05/18,18.700001,18.799999,18.4,18.799999
15/05/18,19,19.6,18.9,19.4
16/05/18,19.299999,19.5,19.1,19.200001
17/05/18,19.299999,19.4,19,19
18/05/18,19,19.5,18.9,19.5
21/05/18,19.6,19.799999,19.299999,19.4
22/05/18,19.4,19.5,19.1,19.200001
23/05/18,19.200001,19.200001,18.5,18.700001
24/05/18,18.700001,19.1,18.6,18.700001
25/05/18,18.700001,18.700001,18.299999,18.4
28/05/18,18.200001,18.799999,18.200001,18.799999
30/05/18,18.299999,18.799999,18.299999,18.5
31/05/18,18.6,18.9,18.200001,18.9
01/06/18,18.700001,18.799999,18.299999,18.299999
04/06/18,18.4,18.700001,18.299999,18.299999
05/06/18,18.299999,18.5,17.9,18.4
