date,open,high,low,close
03/01/18,44.200001,45,44,45
04/01/18,45.200001,47.200001,45,47.200001
05/01/18,47.200001,47.400002,46.400002,46.799999
08/01/18,46.799999,47.200001,46.599998,46.599998
09/01/18,46.599998,46.599998,46.599998,46.599998
10/01/18,47,47.799999,47,47
11/01/18,46.799999,47.200001,46.200001,47.200001
12/01/18,47.400002,47.599998,46.799999,47
15/01/18,47.799999,48.799999,47.799999,48.400002
16/01/18,48.799999,49.400002,48.200001,48.200001
17/01/18,48.200001,48.599998,47.799999,48.400002
18/01/18,49,49,48,48
19/01/18,47.799999,48.200001,47.599998,47.799999
22/01/18,48,48.599998,47.799999,48.400002
23/01/18,48.799999,49.200001,48.400002,48.799999
24/01/18,48.799999,49.200001,48.599998,49.200001
25/01/18,49.599998,49.799999,48.400002,48.599998
26/01/18,48.799999,49,48.400002,49
29/01/18,49.599998,50,49.200001,49.799999
30/01/18,49.400002,49.799999,48.799999,49
31/01/18,48.599998,49.799999,48.599998,49.200001
01/02/18,49.599998,50,49.200001,49.799999
02/02/18,50.400002,51,50,50.200001
05/02/18,49.200001,50.200001,49.200001,50
06/02/18,48.599998,49,48,48.400002
07/02/18,49,49,48.200001,48.400002
08/02/18,48.400002,49,48,48
09/02/18,47.599998,48.200001,47.400002,48
12/02/18,48,48.799999,47.799999,48.799999
13/02/18,49.200001,49.200001,48.400002,48.799999
14/02/18,48.799999,49,48,48
15/02/18,48.400002,48.799999,48,48.599998
16/02/18,49,49,48.400002,48.599998
19/02/18,49,49.200001,48.799999,48.799999
20/02/18,48.799999,49.200001,48.599998,49
21/02/18,50.799999,52.599998,50.799999,52.200001
22/02/18,52.400002,54.799999,52.200001,54
23/02/18,54.599998,54.799999,53.200001,53.799999
26/02/18,54.200001,56.799999,53.599998,56.599998
27/02/18,57.200001,58.799999,56.799999,57.400002
28/02/18,57,57.799999,56.400002,56.799999
02/03/18,56,56.400002,55.200001,55.599998
05/03/18,56,56.400002,55,56.200001
06/03/18,55.599998,56,55.200001,55.200001
07/03/18,55,55,54,54
08/03/18,54.400002,54.599998,53.200001,53.200001
09/03/18,53.400002,53.400002,52.200001,53.400002
12/03/18,54.400002,55.799999,54.200001,55.799999
13/03/18,55.400002,56.599998,55.200001,56.599998
14/03/18,56.400002,56.599998,55.400002,56
15/03/18,56,56.400002,55.599998,55.799999
16/03/18,55.400002,55.599998,54.599998,54.799999
19/03/18,54.599998,54.599998,53.599998,53.599998
20/03/18,53.599998,54.799999,53.400002,54.200001
21/03/18,54.599998,54.799999,54,54.200001
22/03/18,54.599998,55.400002,54.200001,54.400002
23/03/18,53.400002,55,53.400002,55
26/03/18,55.200001,56,55.200001,56
27/03/18,56.200001,56.400002,55.799999,56
28/03/18,55.799999,57,55.599998,56
29/03/18,56,56,54.200001,54.799999
30/03/18,55,55.599998,54.400002,55.200001
02/04/18,55,55.400002,54.799999,55.200001
03/04/18,54.599998,55,54.200001,54.599998
04/04/18,54.599998,54.799999,53.200001,53.200001
05/04/18,53.799999,54.200001,53.400002,54.200001
09/04/18,53.799999,55.400002,53.799999,55
10/04/18,55.400002,55.599998,54.799999,55.200001
11/04/18,55.599998,55.599998,54.200001,54.599998
12/04/18,55,55.400002,54.400002,55
17/04/18,55,55.200001,54.599998,54.599998
18/04/18,55,55,54.599998,55
19/04/18,55.400002,58,55.400002,58
20/04/18,58.599998,59,57.599998,58.799999
23/04/18,58.599998,58.799999,57.200001,57.200001
24/04/18,57.75,59.5,57.25,58
25/04/18,57.5,57.75,56.75,57.5
26/04/18,57.5,57.75,56.5,56.5
27/04/18,57,57,56,56.5
30/04/18,56.5,57,56.25,56.5
02/05/18,56.25,57,55.25,57
03/05/18,56.5,57.75,56.5,57.5
04/05/18,57.25,57.5,56.25,56.75
07/05/18,57.25,57.5,56.5,56.75
08/05/18,56.75,57,55.25,55.5
09/05/18,55.75,56.5,55.5,56.25
10/05/18,57,57,56,56
11/05/18,56,56.75,55.5,56.75
14/05/18,56.75,57.25,56.75,57
15/05/18,56.75,57,56,56.5
16/05/18,56.25,56.75,56.25,56.5
17/05/18,56.75,57.75,56.25,57.25
18/05/18,57.25,57.5,56.75,57
21/05/18,57.25,57.5,56.75,57
22/05/18,57,57,55,55.25
23/05/18,54,54.25,52.75,53.5
24/05/18,53,53,50.75,50.75
25/05/18,51.25,52,50.5,52
28/05/18,50.75,51.25,50,50.25
30/05/18,49.25,51.75,49,51.5
31/05/18,52.25,53.5,51.75,52.25
01/06/18,52.25,52.5,51.25,51.5
04/06/18,51.75,52.25,51.25,51.75
05/06/18,51.75,52.25,51,52
06/06/18,52,53,52,52.5
07/06/18,52.5,52.75,52,52.25
08/06/18,52.5,52.5,51,51
11/06/18,51,51.25,50.5,50.75
12/06/18,51,52.25,50.75,51.5
13/06/18,51.5,51.75,51,51
14/06/18,51,51.25,50,51
15/06/18,50.5,50.75,49.75,50
18/06/18,49.25,49.5,48.75,49
19/06/18,48.75,49.25,47.5,47.75
20/06/18,48.5,49,48,48.75
21/06/18,48.75,48.75,47,47.5
22/06/18,48.25,48.75,47.5,48
25/06/18,48.75,49.25,48,48
26/06/18,47.5,48.25,47.25,48
27/06/18,48.75,49,47.5,48
28/06/18,48.5,48.5,47.5,47.5
29/06/18,48,48,47.25,48
02/07/18,48,48,47,47.75
03/07/18,47.75,48,47,47.5
04/07/18,47.5,47.75,47,47.75
05/07/18,47.5,47.75,46.25,46.25
06/07/18,46.25,46.5,44.25,46.25
09/07/18,47,47.25,46.5,47
10/07/18,47,48.75,46.5,48.75
11/07/18,48,48.75,47.75,48.5
12/07/18,48,48.5,47.75,48
13/07/18,48,48.25,47.5,47.5
16/07/18,47.25,48,47.25,47.5
17/07/18,47.5,48.25,47.25,47.75
18/07/18,48.5,49.75,48.25,49.5
19/07/18,49.75,50,49,49.5
20/07/18,49.5,51.5,49.25,51.5
23/07/18,51.25,51.5,50.75,51
24/07/18,51.25,51.75,50.25,50.25
25/07/18,50.25,51.5,50.25,51
26/07/18,51.5,51.75,50.75,51.75
31/07/18,51.5,51.75,50.75,51.25
01/08/18,51.25,52.75,50.75,52.5
02/08/18,52,52.5,51.5,52
03/08/18,51.75,52.25,51.5,51.75
06/08/18,52,52.25,51.25,51.5
07/08/18,51.75,52.5,51.25,52.25
08/08/18,52.25,53,52.25,53
09/08/18,52.5,53,52.5,52.5
10/08/18,52.25,52.75,51.75,51.75
14/08/18,51.5,52,51,51.75
15/08/18,51.5,51.75,50.75,51
16/08/18,50.5,50.75,49.5,50.5
17/08/18,51,52,51,51.5
20/08/18,52,52.5,52,52.25
21/08/18,52.5,52.75,51.5,51.75
22/08/18,51.75,52.5,51.25,51.75
23/08/18,52.25,52.5,51.75,52
24/08/18,51.75,52.25,51.5,51.75
27/08/18,52,52.25,51.75,52
28/08/18,52.25,53,52.25,52.5
29/08/18,52.5,52.5,52,52.5
30/08/18,52.5,52.75,52,52
31/08/18,51.75,52.5,51.75,52.5
03/09/18,52.5,52.75,52.25,52.75
04/09/18,52.75,53,52.25,52.25
05/09/18,51.75,52,50.5,50.5
06/09/18,50.5,50.5,49.75,50.5
07/09/18,50.25,50.25,49.5,50
10/09/18,50,50.25,49.5,50.25
11/09/18,50,50.25,48.75,48.75
12/09/18,49,49.75,48.75,49.5
13/09/18,50.25,52.25,50.25,52
14/09/18,52.25,52.25,51.5,51.75
17/09/18,51.5,51.75,50.75,51
18/09/18,50.75,52.25,50.75,52
19/09/18,52.25,53,52,52.5
20/09/18,53,53.75,52.75,53.5
21/09/18,53.75,54,53.25,53.75
24/09/18,53.5,54,53.25,54
25/09/18,54,54.25,53.75,54
26/09/18,54.25,54.5,54,54.25
27/09/18,54.25,54.5,53,54
28/09/18,54.5,54.5,54,54.25
01/10/18,54.75,55,54.5,54.75
02/10/18,54.75,55.25,54.25,54.5
03/10/18,54.5,54.75,53.25,53.5
04/10/18,53.25,53.75,52.5,53
05/10/18,52.5,53,52.25,52.5
08/10/18,52.5,53,51.75,51.75
09/10/18,52,52.5,51.75,52.25
10/10/18,52.75,54,52.75,54
11/10/18,51.25,52,50.75,51
12/10/18,51.5,52,51,51.5
16/10/18,51.5,51.75,51,51
17/10/18,51.5,51.75,51,51
18/10/18,50.75,51.5,50.5,51
19/10/18,50.75,51,50.5,50.5
22/10/18,50.75,51,50.25,50.25
24/10/18,48.75,49.25,48.5,48.5
25/10/18,47.75,50,47.75,49.5
26/10/18,49.25,49.5,48.25,48.25
29/10/18,48.5,49.5,48.5,48.75
30/10/18,48.75,49.5,48.5,49.25
31/10/18,50,51,49.5,51
01/11/18,50.75,51,49.5,49.5
02/11/18,49.75,50.25,49.25,49.75
05/11/18,49.25,49.5,49,49.25
06/11/18,49.5,50.25,49.5,49.75
07/11/18,50.25,50.5,49.5,50.25
08/11/18,50.75,51.25,50.75,50.75
09/11/18,50.25,50.5,49.75,49.75
12/11/18,50,50.25,49.75,49.75
13/11/18,49.5,50.5,49.5,50
14/11/18,49.5,49.5,48.5,49
15/11/18,49,49.25,48.5,48.75
16/11/18,48.75,49.25,48.5,48.75
19/11/18,48.75,49,48.5,48.75
20/11/18,48.75,49,48.25,48.5
21/11/18,48,48.75,48,48.25
22/11/18,48.5,48.75,48,48
23/11/18,48.25,49,48,48.75
26/11/18,48.5,48.75,48.25,48.5
27/11/18,48.25,49,48.25,48.75
28/11/18,49,49.5,48.75,49
29/11/18,49.25,50,49.25,49.25
30/11/18,49.5,50,49,49.25
03/12/18,50.5,52.25,50.25,51.75
04/12/18,51.5,51.75,51,51.5
06/12/18,50.5,50.75,50,50.25
07/12/18,50.5,50.75,49.5,49.5
11/12/18,49.5,49.75,49,49.25
12/12/18,49.5,49.75,48.75,49
13/12/18,49,49.25,47,47.5
14/12/18,47.5,48.25,47.25,47.75
17/12/18,47.75,48.25,47.75,48
18/12/18,47.5,47.75,47,48
19/12/18,46.75,47.25,46.25,47
20/12/18,46.75,47.25,46.5,46.75
21/12/18,46.5,47.5,46.5,47.5
24/12/18,47.25,48.25,47,47.5
25/12/18,46.75,46.75,45.25,45.25
26/12/18,45.5,45.75,45.25,45.5
27/12/18,47,47.5,45.25,45.5
28/12/18,45.75,46.5,45.75,46
02/01/19,46.25,46.75,46.25,46.25
03/01/19,46.5,47,45.25,45.5
04/01/19,45.5,47,45.25,46.75
07/01/19,47.25,48.75,47.25,48
08/01/19,48.25,48.75,47.75,48
09/01/19,49.25,49.25,48,48.25
10/01/19,48.25,49,48,48.75
11/01/19,48.75,49.25,48.75,49.25
14/01/19,48.75,49,47.5,48
15/01/19,48.25,48.5,47.5,47.75
16/01/19,48,48.25,47,47.5
17/01/19,47.25,48,47.25,47.25
18/01/19,48,48.5,47.75,48.25
21/01/19,48.5,49,48.5,48.75
22/01/19,48.75,49.75,48.75,49.5
23/01/19,49.5,50,49.25,49.5
24/01/19,49.5,50,49,49
25/01/19,49,49.25,48.25,48.75
28/01/19,48.75,49.25,48.5,48.75
29/01/19,48.5,48.75,47.25,48.25
30/01/19,48.5,48.5,47.5,48.25
31/01/19,48.5,49.25,48.5,48.5
01/02/19,48.75,49.5,48.5,49.5
04/02/19,49.75,49.75,49.25,49.25
05/02/19,49.25,49.25,48.75,49.25
06/02/19,49.25,49.25,48.75,48.75
07/02/19,48.75,49.5,48.75,49
08/02/19,48.75,49,48.5,48.5
11/02/19,48.25,48.5,48,48.25
12/02/19,48.25,48.5,48,48.5
13/02/19,48.75,49.25,48.25,49
14/02/19,49,49.25,48.25,48.25
15/02/19,48.25,48.5,47.75,48.25
