date,open,high,low,close
03/01/18,85,86.5,85,86.25
04/01/18,87.75,89.5,87.5,89.5
05/01/18,89.5,90.75,89,90.25
08/01/18,90.5,90.75,89.25,89.25
09/01/18,90,93.5,89.75,93
10/01/18,93.5,94,92,92.75
11/01/18,92,93.25,91,92.75
12/01/18,94,94.25,92.25,92.5
15/01/18,93,94.25,93,93
16/01/18,93.5,94.75,93.25,93.5
17/01/18,93.5,94.5,92.5,94.5
18/01/18,96,96.75,95.25,95.25
19/01/18,94.75,95,92.5,94
22/01/18,93.75,96.75,93.75,96.5
23/01/18,97,99.75,97,99.75
24/01/18,99.25,99.5,97.5,98.25
25/01/18,98.25,99.5,94.25,94.25
26/01/18,94.5,97,93.5,96.5
29/01/18,97.5,98.25,96.75,97.5
30/01/18,96.5,97,95.25,97
31/01/18,96.25,97.25,96,96.25
01/02/18,96.5,97,96,96.25
02/02/18,96.75,97,95,95
05/02/18,93,94.25,92.25,93.5
06/02/18,91,94,90.5,93.5
07/02/18,94.25,94.5,91.25,91.75
08/02/18,91.5,91.75,89.75,90.25
09/02/18,89.25,91.75,89,91.75
12/02/18,92,92.5,91.5,92.25
13/02/18,92.5,92.75,91.75,92
14/02/18,92,93,91.25,91.25
15/02/18,92,92.5,91.75,92.5
16/02/18,92.25,94.25,92.25,93.75
19/02/18,94.25,95.25,94,94.25
20/02/18,94.25,95,93.25,93.5
21/02/18,93.75,94,92.75,93.25
22/02/18,93.25,96.5,93.25,93.75
23/02/18,94.5,94.75,93.75,94.75
26/02/18,95.25,97.75,95.25,97.5
27/02/18,99,100.5,98.5,99.25
28/02/18,98.5,101,98.5,99.25
02/03/18,98.75,100.5,98.5,99
05/03/18,96.5,96.75,94.25,95
06/03/18,95.75,95.75,95.75,95.75
07/03/18,94.5,95,91.5,91.5
08/03/18,93,94,91.75,93
09/03/18,94,95,93.25,95
12/03/18,97,97,95.5,96.25
13/03/18,96,97.25,95.75,96.75
14/03/18,96,96.5,95.5,95.5
15/03/18,96.5,98.5,96.25,98.25
16/03/18,98,100.5,97.5,100.5
19/03/18,100.5,100.5,97.75,98
20/03/18,97.25,98.5,97.25,98.25
21/03/18,98.75,99.25,96.25,96.75
22/03/18,98,99,97.5,98
23/03/18,97.25,98.5,97,98.5
26/03/18,99.25,99.25,98.25,99
27/03/18,99.25,99.25,97,97.25
28/03/18,97,98,96.5,96.75
29/03/18,97,97,94.25,94.75
30/03/18,95.5,96,94.5,94.5
02/04/18,94.5,96.75,94.5,96.5
03/04/18,96,97.25,95.25,95.75
04/04/18,95.5,96.75,92.75,92.75
05/04/18,94.25,96,93.75,95.75
09/04/18,95.75,97.5,95.75,97.5
10/04/18,98,98,95,95.5
11/04/18,95.75,96.25,95,96.25
12/04/18,96.5,97.5,96.25,96.75
17/04/18,96,96.75,95.75,96
18/04/18,96.5,97.75,96.25,97.75
19/04/18,98,103,98,102.5
20/04/18,102.5,104,101.5,103
23/04/18,103,105,99.5,99.5
24/04/18,99.75,101,98.25,98.5
25/04/18,97.5,98.25,96.5,97.5
26/04/18,97.75,98.25,96.75,97
27/04/18,97.75,98.25,97,98
30/04/18,98.5,98.5,97.5,98
02/05/18,97.25,98,96.5,98
03/05/18,97.75,98.5,97.25,97.25
04/05/18,96.75,97.75,96,96
07/05/18,97.25,97.5,96.75,97.5
08/05/18,97.5,97.5,93.75,94
09/05/18,94.25,95.25,93,94.5
10/05/18,95,95,93,93
11/05/18,93.25,94.75,93,94.75
14/05/18,94.5,95,93.75,94.5
15/05/18,95,95.75,94.25,94.5
16/05/18,94,94.75,93,93.25
17/05/18,93.75,96.75,93.5,96.5
18/05/18,97,97.25,94.75,94.75
21/05/18,95.25,96.25,95,96
22/05/18,96,96.25,95,95.25
23/05/18,95.75,96.25,95,95.5
24/05/18,95,95.25,92.5,92.5
25/05/18,92.75,93,90,91.25
28/05/18,90,90.25,87.25,88
30/05/18,86.25,89.5,86,89
31/05/18,89.75,89.75,88.5,89.25
01/06/18,89,89.25,87,87
04/06/18,87,87.25,86,86
05/06/18,86.5,88.5,86,88.25
06/06/18,88.75,89.5,88,88.25
07/06/18,90,91.25,89.5,89.75
08/06/18,90,90.25,89,89.5
11/06/18,89,89.25,87.25,87.75
12/06/18,87.75,88.5,87.5,87.5
13/06/18,87.25,87.25,86.25,86.5
14/06/18,86,86.25,83.25,83.75
15/06/18,83.75,84.75,83,83.5
18/06/18,82.75,83,80.25,80.25
19/06/18,80,81.75,79,79.75
20/06/18,81,83.75,80.5,83.75
21/06/18,83.25,83.5,79.75,80.25
22/06/18,80.75,82.75,80.25,81.25
25/06/18,81.75,82.5,78,78
26/06/18,78,79.75,77.5,79.5
27/06/18,80.25,80.75,78.5,79
28/06/18,79.25,79.5,76,76.25
29/06/18,76.75,77.75,71.75,73
02/07/18,72,72.25,69.5,71.25
03/07/18,70.75,74.75,70,74.25
04/07/18,73.75,74,72.5,73.5
05/07/18,73,73.25,71.25,72
06/07/18,72,75,71.5,74
09/07/18,75,75.25,73,73.5
10/07/18,74,78.5,73.75,78
11/07/18,76.5,77.75,76.5,77.5
12/07/18,77.25,79.25,77,77.5
13/07/18,77.5,77.75,76.25,76.25
16/07/18,76,77.5,75.5,76.5
17/07/18,75.5,75.75,73.75,74.75
18/07/18,74.5,76.75,74.5,76.75
19/07/18,76.5,77.25,75.25,77
20/07/18,76.75,79.75,76.75,79.25
23/07/18,78.75,81.5,78.75,81
24/07/18,81.75,82.75,80.25,80.75
25/07/18,80.75,81.75,80.25,81.25
26/07/18,82,82.75,81,81.5
31/07/18,81,82.5,80.75,81.75
01/08/18,82.5,84.75,81.75,84.5
02/08/18,84.25,85.5,83.75,85
03/08/18,84.5,86.25,84,84.5
06/08/18,85,85.75,83,83.25
07/08/18,83.75,84.5,83.25,84.25
08/08/18,84.25,84.75,83.25,84
09/08/18,83.75,85,83.5,83.75
10/08/18,83.5,83.75,82,82
14/08/18,81.25,82.5,80.75,82
15/08/18,81.75,81.75,81,81.5
16/08/18,81.5,82,79.75,80.75
17/08/18,81.25,82.5,81,81.75
20/08/18,82.5,82.75,81.25,81.5
21/08/18,81.75,82.5,81.25,81.75
22/08/18,82,83,81.75,82
23/08/18,82.25,82.5,80.75,81.25
24/08/18,80.75,81,80,80.5
27/08/18,80.75,81.25,80.5,80.75
28/08/18,81.25,82.5,81.25,81.75
29/08/18,82,83.25,81.75,83.25
30/08/18,83.25,83.5,82.75,83.25
31/08/18,81.5,82,81.25,81.75
03/09/18,81.5,82.5,81.25,81.75
04/09/18,81.75,81.75,80.25,80.25
05/09/18,80,80.25,78.75,78.75
06/09/18,78.25,78.75,77.25,78.5
07/09/18,78.25,79.5,78,78.5
10/09/18,78.75,79.25,78.25,79
11/09/18,78.75,79.25,77,77
12/09/18,77.25,77.75,76.5,77.5
13/09/18,78,80.5,78,80
14/09/18,80.5,81.5,80,80.75
17/09/18,80,81,79.75,80.25
18/09/18,80.25,82,79.75,82
19/09/18,82.5,82.75,81.5,81.75
20/09/18,82.25,82.5,81.25,81.25
21/09/18,81.75,82.5,81.25,81.25
24/09/18,81,81.25,79.75,79.75
25/09/18,80.25,81.5,79.75,81
26/09/18,81.25,82,81.25,81.75
27/09/18,82,82,80.5,81.75
28/09/18,81.75,82,81,81.25
01/10/18,81.75,82,81.25,81.75
02/10/18,81.75,82.5,80.75,80.75
03/10/18,81.25,82.5,80.5,82
04/10/18,81.75,82.5,81,81.5
05/10/18,81.25,81.25,80.5,80.75
08/10/18,80.5,81,78.25,78.25
09/10/18,78.5,79.25,77.5,77.75
10/10/18,78.25,79.5,78,79.5
11/10/18,77.25,77.5,76.5,77
12/10/18,77.5,78,77.25,77.75
16/10/18,77.75,78.25,77,77.25
17/10/18,78,78.75,77.75,78.5
