date,open,high,low,close
03/01/18,54.25,55.25,54.25,54.5
04/01/18,54.75,54.75,54.25,54.5
05/01/18,54.75,55.75,54.25,54.5
08/01/18,54.75,54.75,54.25,54.5
09/01/18,54.5,54.5,54.5,54.5
10/01/18,55,55.5,54.75,55
11/01/18,55.25,55.75,54.75,55.25
12/01/18,55.5,55.5,55.25,55.5
15/01/18,55.5,56.25,55.25,55.5
16/01/18,55.5,56,55.25,55.25
17/01/18,55.25,55.5,55.25,55.5
18/01/18,55.5,55.75,54.75,55
19/01/18,55.25,55.25,54.75,54.75
22/01/18,54.75,55.25,54.75,55
23/01/18,55.25,55.5,55,55.25
24/01/18,55.5,55.75,55.25,55.5
25/01/18,55.5,55.5,55.25,55.25
26/01/18,55.25,55.5,55,55
29/01/18,55,55.5,55,55.25
30/01/18,55.25,55.5,55,55
31/01/18,55,55.25,54.75,54.75
01/02/18,54.75,55.25,54.75,55
02/02/18,55,55,54.75,55
05/02/18,54.5,55,54.5,54.75
06/02/18,54.25,54.5,54,54.25
07/02/18,54.5,55,53.75,54.25
08/02/18,54.25,54.5,54,54.25
09/02/18,54,54.25,53.75,54
12/02/18,53.75,54.25,53.75,54.25
13/02/18,54.25,54.5,54,54.25
14/02/18,54,54.25,53.75,54
15/02/18,54.25,54.75,54,54.5
16/02/18,54.5,54.5,54,54.5
19/02/18,54.5,55.25,54.25,54.75
20/02/18,54.25,55,54.25,54.5
21/02/18,54.5,54.75,54.25,54.25
22/02/18,54.25,54.5,54.25,54.5
23/02/18,54.25,54.75,54.25,54.75
26/02/18,53.75,53.75,53,53
27/02/18,53,53.5,53,53
28/02/18,53,53.5,53,53.25
02/03/18,53.25,53.25,52.75,52.75
05/03/18,52.75,52.75,52,52.5
06/03/18,52.25,52.25,52.25,52.25
07/03/18,52.25,52.5,52,52
08/03/18,52,52.75,52,52.25
09/03/18,52.25,52.75,52,52.25
12/03/18,52.25,53.25,52.25,52.75
13/03/18,53,53.25,52.5,52.75
14/03/18,52.75,53,52.75,52.75
15/03/18,52.75,52.75,52.5,52.75
16/03/18,52.75,53.25,52,53.25
19/03/18,52.75,52.75,52.5,52.5
20/03/18,52.75,52.75,52.25,52.5
21/03/18,52.5,52.75,52.25,52.25
22/03/18,52.5,52.75,52.25,52.5
23/03/18,52.25,52.5,52,52.25
26/03/18,52.25,52.5,52,52.5
27/03/18,52.5,52.5,52.25,52.25
28/03/18,52.5,52.5,52,52
29/03/18,52,52,51.5,51.5
30/03/18,51.75,52.25,51.5,52.25
02/04/18,52.25,52.5,52,52.25
03/04/18,52.25,52.25,51.75,51.75
04/04/18,52,52.25,51.5,51.75
05/04/18,51.75,52,51.5,51.5
09/04/18,51.75,52.75,51.5,52.5
10/04/18,52.5,52.5,52,52.25
11/04/18,52.5,52.5,51.75,51.75
12/04/18,51.75,52.25,51.75,52.25
17/04/18,52.25,52.25,52,52.25
18/04/18,52.25,52.5,52,52
19/04/18,52.25,52.25,52,52.25
20/04/18,52,52.25,52,52
23/04/18,52,52.25,52,52
24/04/18,52,52.25,52,52
25/04/18,52,52.25,52,52.25
26/04/18,52.25,52.25,52,52
27/04/18,52,52.25,52,52.25
30/04/18,52,52.25,52,52.25
02/05/18,52,52.25,52,52.25
03/05/18,52,52.5,52,52.25
04/05/18,52.25,52.25,51.75,52
07/05/18,52.25,52.25,52,52.25
08/05/18,52.25,52.25,52,52.25
09/05/18,52,52.25,52,52
10/05/18,52,52.25,51.5,51.5
11/05/18,51.75,52.25,51.75,52
14/05/18,52.25,52.5,52,52.25
15/05/18,52,52.25,51.75,51.75
16/05/18,51.75,52.25,51.75,52.25
17/05/18,52.25,52.25,52,52.25
18/05/18,52.25,52.25,51.75,52
21/05/18,52,52.25,51.75,52.25
22/05/18,52,52.25,51.75,52.25
23/05/18,52.25,52.5,52,52.25
24/05/18,52,52.25,51.75,52
25/05/18,52.25,52.25,52,52.25
28/05/18,52,52.25,52,52.25
30/05/18,52,52.25,52,52.25
31/05/18,52,52.25,51.75,51.75
01/06/18,51.75,52.5,51.75,52.5
04/06/18,52.25,52.25,51.75,52
05/06/18,52,52.25,51.75,52
06/06/18,52,52.25,51.75,52
07/06/18,52,52.25,52,52
08/06/18,52,52.25,51.75,52
11/06/18,52,52.25,51.75,52
12/06/18,52,52.25,51.75,51.75
13/06/18,52,52.25,51.75,52
14/06/18,51.75,52,51.5,51.5
15/06/18,51.75,52,51.5,52
18/06/18,52,52,51.5,51.5
19/06/18,51.5,51.75,51.25,51.75
20/06/18,51.5,51.75,51.25,51.75
21/06/18,51.5,51.5,51,51.25
22/06/18,51.25,51.5,51,51
25/06/18,51,52.25,51,51.75
26/06/18,51.75,51.75,51.25,51.75
27/06/18,51.5,52,51.25,52
28/06/18,51.75,51.75,51,51.5
29/06/18,51.25,52.25,51,51.25
02/07/18,51.25,52.25,51.25,52.25
03/07/18,52,52,51.5,52
04/07/18,51.75,52,51.5,51.5
05/07/18,51.5,51.75,51.25,51.75
06/07/18,51.75,52,51.5,52
09/07/18,51.75,52,51.5,52
10/07/18,51.75,52,51.5,51.75
11/07/18,51.75,52,51.5,51.75
12/07/18,51.75,52,51.75,52
13/07/18,51.5,52,51.25,52
16/07/18,51.5,52,51.5,52
17/07/18,51.75,52,51.5,51.75
18/07/18,51.5,52,51.5,52
19/07/18,51.75,52.25,51.5,51.75
20/07/18,51.75,52.5,51.75,52
23/07/18,52.25,52.25,51.75,52
24/07/18,51.75,52.25,51,51.25
25/07/18,50.75,51.5,50.25,51.5
26/07/18,51.25,51.5,50.5,51.5
31/07/18,51.25,51.5,50.75,51.5
01/08/18,51.75,51.75,51,51.5
02/08/18,51.5,51.75,51.5,51.5
03/08/18,51.5,52,51.25,51.75
06/08/18,51.75,52.5,51.75,52.25
07/08/18,52,52.25,52,52.25
08/08/18,52.25,52.25,52,52.25
09/08/18,52,52.5,52,52.25
10/08/18,52.25,52.5,52,52.25
14/08/18,52.25,52.25,52,52.25
15/08/18,52,52.25,52,52
16/08/18,52.25,52.25,51.75,52
17/08/18,52,52,51.75,52
20/08/18,52,52.25,51.75,52.25
21/08/18,52.25,52.25,51.75,52
22/08/18,52.25,52.25,52,52
23/08/18,52.5,52.5,52,52
24/08/18,52,52.25,52,52.25
27/08/18,52,52.5,52,52.5
28/08/18,52.5,52.5,52,52.25
29/08/18,52.25,52.5,52,52.25
30/08/18,52.25,52.25,52,52.25
31/08/18,52,52.5,51.75,52.25
03/09/18,52.25,52.5,52,52.25
04/09/18,52.25,52.5,52,52.25
05/09/18,51.25,51.5,50.75,51
06/09/18,51,51,50.75,51
07/09/18,50.75,51,50.5,50.75
10/09/18,50.75,51,50.5,50.75
11/09/18,51,51,50.5,50.5
12/09/18,50.5,50.75,50,50.25
13/09/18,50.25,51.5,50.25,51
14/09/18,51,51.75,51,51.25
17/09/18,51.5,51.5,51.25,51.25
18/09/18,51.25,52,51.25,51.75
19/09/18,51.75,52,51.5,51.5
20/09/18,51.5,52,51.25,51.5
21/09/18,51.5,51.75,51,51.75
24/09/18,51.75,51.75,51.25,51.25
25/09/18,51.25,52,51.25,51.5
26/09/18,51.5,52,51.5,51.75
27/09/18,51.75,52,51.5,52
28/09/18,51.75,52,51.25,51.75
01/10/18,51.75,51.75,51.25,51.25
02/10/18,51.25,51.5,51,51
03/10/18,51.25,51.25,51,51.25
04/10/18,51,51.25,50.75,51
05/10/18,51.25,51.25,50.75,51
08/10/18,50.75,51,50.25,50.5
09/10/18,50.25,50.5,50.25,50.5
10/10/18,50.5,50.5,50.25,50.5
11/10/18,50.25,50.25,49.75,50.25
12/10/18,50,50.25,49.75,50.25
16/10/18,50,50,49.25,50
17/10/18,49.75,50,49.5,49.5
18/10/18,49.5,49.75,49,49.5
19/10/18,49.5,49.75,49.25,49.75
22/10/18,49.5,49.75,49.25,49.25
24/10/18,49.25,49.5,48.25,48.5
25/10/18,48.25,49.5,48,49.5
26/10/18,49.25,49.5,49,49
29/10/18,49,49,48.5,49
30/10/18,49,49,48.5,48.5
31/10/18,48.75,49,48.5,49
01/11/18,48.75,49.75,48.75,49.5
02/11/18,49.75,50,49.5,49.75
05/11/18,49.25,49.75,49.25,49.75
06/11/18,49.5,49.75,49.5,49.5
07/11/18,49.5,49.75,49,49.75
08/11/18,50,50,49.5,49.75
09/11/18,49.75,50,49.5,49.75
