date,open,high,low,close
03/01/18,28,29,27.5,27.75
04/01/18,27.75,27.75,25.75,25.75
05/01/18,25.75,27,24.9,25.5
08/01/18,25.5,26.5,25.25,25.5
09/01/18,25.5,25.5,25.5,25.5
10/01/18,25.5,26,25.25,25.25
11/01/18,25.25,25.75,25,25.5
12/01/18,27.5,27.75,26.5,27
15/01/18,27,27.5,26.5,27
16/01/18,27.25,27.5,26.5,27
17/01/18,27,28,26.75,27.75
18/01/18,28.25,28.25,26,26.25
19/01/18,26.25,26.5,26,26.5
22/01/18,26.5,26.75,26.25,26.25
23/01/18,26.5,27.25,26.5,27.25
24/01/18,27.25,27.25,26.75,27
25/01/18,27,28,26.75,27
26/01/18,27.5,28.25,27,28.25
29/01/18,28.5,29.5,28,29.5
30/01/18,29.5,30.25,29,30
31/01/18,30,30.75,30,30.5
01/02/18,30.5,30.75,29.25,29.5
02/02/18,29.75,32,29.75,31.5
05/02/18,30,31.25,30,30.75
06/02/18,30,32,29.5,32
07/02/18,32.5,32.75,30.75,31.25
08/02/18,31.5,32.25,31.25,31.5
09/02/18,31,32.25,30.75,31.75
12/02/18,32,32.25,31,31.5
13/02/18,31.75,32.5,31.25,31.5
14/02/18,31.75,32,31,31.25
15/02/18,31.5,33,31.25,33
16/02/18,33.25,34,33.25,33.75
19/02/18,33.75,34.25,33.25,33.5
20/02/18,33.5,33.5,31.75,32.75
21/02/18,32.5,32.75,31.5,31.5
22/02/18,30,30.25,28,30.25
23/02/18,30.25,30.5,29.75,30.5
26/02/18,31,34,31,34
27/02/18,34,35.75,32.5,33
28/02/18,32.5,33.5,32.5,33
02/03/18,32.5,32.75,30.75,31.75
05/03/18,32.5,32.75,30.75,31.75
06/03/18,31,31,31,31
07/03/18,30.75,31,30.5,30.5
08/03/18,30.75,32,30.5,31.25
09/03/18,31.25,31.5,29,30.25
12/03/18,30,30.5,29.5,30
13/03/18,30,30.25,29.5,29.75
14/03/18,30,31.5,29.75,31.25
15/03/18,31.25,32.25,30,30.25
16/03/18,30.5,30.75,28.75,29.75
19/03/18,29.75,29.75,27.75,28
20/03/18,28,29.25,27.5,28.75
21/03/18,29,29.5,28.5,29
22/03/18,29,29.5,29,29
23/03/18,28.75,29,28.25,28.75
26/03/18,29,29.5,28.75,29
27/03/18,29.5,30.5,29,30.5
28/03/18,30.25,30.5,29,29.25
29/03/18,29.5,29.75,29,29
30/03/18,29.25,29.25,28.25,29.25
02/04/18,29.5,30.5,29.25,30
03/04/18,29.75,30.25,29.5,30
04/04/18,30,30,28,28
05/04/18,28.5,28.75,26.75,27.25
09/04/18,26.5,26.5,24.1,24.1
10/04/18,24.9,26.25,24.1,25.5
11/04/18,25.75,26.5,25.5,26
12/04/18,26.25,27,26,26.25
17/04/18,26.25,27.5,26,27.25
18/04/18,27.5,28.25,27.25,28
19/04/18,28,28.25,27.25,27.25
20/04/18,27.5,28.25,27.25,28
23/04/18,28.25,28.25,27,27.5
24/04/18,27.75,29,27.25,28.25
25/04/18,28,28.25,27.75,28
26/04/18,28.25,28.5,27.75,28
27/04/18,28,28.25,27.75,28
30/04/18,28.25,28.25,27.25,27.5
02/05/18,27.5,27.75,26.5,26.75
03/05/18,26.5,27.75,26.5,27
04/05/18,27,27.25,25.5,25.5
07/05/18,25.75,25.75,24.4,24.5
08/05/18,24.700001,24.799999,23.4,24.6
09/05/18,24.5,24.799999,24,24.200001
10/05/18,24.4,24.4,22.799999,22.799999
11/05/18,23.200001,23.9,23.1,23.6
14/05/18,23.700001,24.5,23.700001,24.200001
15/05/18,24.5,24.5,23.5,23.6
16/05/18,23.799999,24.1,23.6,23.6
17/05/18,23.6,24.299999,23.200001,23.5
18/05/18,23.5,23.9,23.4,23.799999
21/05/18,23.9,24.1,23.200001,23.4
22/05/18,23.299999,23.4,21.200001,21.9
23/05/18,21.700001,22.5,21.6,22.299999
24/05/18,22.1,22.200001,20,20
25/05/18,20.200001,20.6,19.9,20.1
28/05/18,20,20.4,19.6,20.1
30/05/18,19.799999,20,17.4,18
31/05/18,18.5,19,18.200001,18.799999
01/06/18,18.9,19.5,18.9,19
04/06/18,19,19.1,17.700001,18.1
05/06/18,18,18.4,16.6,18
06/06/18,18.1,18.799999,17.700001,18.799999
07/06/18,18.799999,19.299999,18.6,18.799999
08/06/18,18.9,20,18.700001,19.9
11/06/18,19.700001,20.799999,19.5,20.6
12/06/18,20.5,20.700001,20.200001,20.5
13/06/18,20.5,20.9,20.200001,20.299999
14/06/18,20,20.200001,19.700001,20
15/06/18,20,20.1,19.1,19.200001
18/06/18,19,19,18.1,18.1
19/06/18,17.9,18.5,17.700001,18
20/06/18,18.1,18.4,17.200001,17.4
21/06/18,17.6,17.700001,16.6,16.9
22/06/18,17,17.700001,16.799999,17.200001
25/06/18,17.4,17.700001,16.799999,16.799999
26/06/18,16.4,17.1,16.200001,16.799999
27/06/18,16.9,17.1,15.9,16
28/06/18,16,16.1,14.7,15.1
29/06/18,15.3,15.4,14.6,14.8
02/07/18,14.7,15.7,14.6,15.6
