date,open,high,low,close
03/01/18,23.700001,23.799999,23.299999,23.299999
04/01/18,23.5,23.5,22.9,23.1
05/01/18,23.1,23.299999,23,23.299999
08/01/18,23.299999,23.4,23.1,23.200001
09/01/18,23.1,23.1,23.1,23.1
10/01/18,23.200001,23.5,23.1,23.299999
11/01/18,23.299999,23.299999,23.1,23.299999
12/01/18,23.4,23.799999,23.299999,23.700001
15/01/18,23.799999,23.9,23.700001,23.700001
16/01/18,23.799999,24.1,23.700001,24
17/01/18,24,24,23.700001,24
18/01/18,24,24.5,23.9,24.4
19/01/18,24.4,24.4,24.1,24.200001
22/01/18,24.1,24.299999,24.1,24.200001
23/01/18,24.299999,24.299999,24,24.200001
24/01/18,24.200001,24.9,24.1,24.700001
25/01/18,24.700001,24.799999,24.200001,24.299999
26/01/18,24.299999,24.4,24,24.299999
29/01/18,24.200001,24.200001,23.9,24.1
30/01/18,24,24,23.6,23.799999
31/01/18,23.799999,23.799999,23.4,23.5
01/02/18,23.5,23.700001,23.4,23.6
02/02/18,23.6,23.799999,23.5,23.6
05/02/18,23.200001,23.5,23.200001,23.5
06/02/18,23.200001,23.299999,22.9,23.200001
07/02/18,23.4,23.5,23.200001,23.4
08/02/18,23.1,23.4,23,23.4
09/02/18,23.1,23.299999,23,23.200001
12/02/18,23.200001,23.299999,23.1,23.1
13/02/18,23.1,23.299999,22.9,23.1
14/02/18,23.1,23.1,22.9,23.1
15/02/18,23.1,23.1,22.5,22.799999
16/02/18,22.799999,22.9,22.700001,22.9
19/02/18,22.799999,22.9,22.700001,22.700001
20/02/18,22.799999,23.1,22.700001,22.9
21/02/18,23.200001,23.299999,22.9,22.9
22/02/18,22.9,23.1,22.700001,22.799999
23/02/18,22.799999,23.200001,22.799999,23
26/02/18,23.200001,23.5,23.1,23.299999
27/02/18,23.4,23.5,23.1,23.200001
28/02/18,23.200001,23.4,23.1,23.1
02/03/18,23.1,23.1,22.799999,22.799999
05/03/18,23,23,22.6,22.799999
06/03/18,22.700001,22.700001,22.700001,22.700001
07/03/18,22.6,22.700001,22.200001,22.200001
08/03/18,22.4,22.6,22.299999,22.4
09/03/18,22.700001,22.700001,22.200001,22.200001
12/03/18,22.299999,22.6,22.299999,22.5
13/03/18,22.6,22.799999,22.5,22.5
14/03/18,22.5,22.6,22.4,22.6
15/03/18,22.5,22.6,22.200001,22.5
16/03/18,22.5,22.5,22.200001,22.200001
19/03/18,22.299999,22.299999,22,22
20/03/18,22,22.299999,22,22.200001
21/03/18,22.299999,22.5,22.1,22.299999
22/03/18,22.299999,22.4,22.1,22.1
23/03/18,22,22.200001,21.9,22.1
26/03/18,22,22.299999,22,22.1
27/03/18,22.1,22.299999,22,22.200001
28/03/18,22.1,22.200001,21.700001,21.799999
29/03/18,21.9,22.1,21.700001,21.9
30/03/18,22,22.1,21.4,21.5
02/04/18,22,22.6,21.799999,22.5
03/04/18,22.4,22.5,22.200001,22.299999
04/04/18,22.4,22.5,21.700001,21.799999
05/04/18,21.799999,22.200001,21.799999,22.1
09/04/18,22.1,22.299999,22,22.200001
10/04/18,22.200001,22.4,22.1,22.1
11/04/18,22.200001,22.6,22.200001,22.6
12/04/18,22.6,22.6,22.200001,22.299999
17/04/18,22.4,22.5,22.299999,22.4
18/04/18,22.5,22.799999,22.5,22.6
19/04/18,22.799999,22.799999,22.5,22.6
20/04/18,22.700001,22.9,22.6,22.799999
23/04/18,22.700001,22.9,22.6,22.700001
24/04/18,22.799999,22.799999,22.299999,22.4
25/04/18,22.4,22.5,22.299999,22.4
26/04/18,22.4,22.4,21.9,22
27/04/18,22,22.700001,22,22.5
30/04/18,22.5,23.299999,22.5,23.200001
02/05/18,23,23.1,22.799999,22.9
03/05/18,23,23.4,22.9,23.1
04/05/18,23.1,23.5,23.1,23.5
07/05/18,23.5,23.9,23.299999,23.299999
08/05/18,23.299999,23.9,23.299999,23.700001
09/05/18,23.700001,23.9,23.6,23.9
10/05/18,23.799999,23.9,23.6,23.799999
11/05/18,23.700001,24.200001,23.700001,24.200001
14/05/18,24.200001,24.5,24,24.5
15/05/18,24.5,24.5,24,24.200001
16/05/18,23.799999,24.4,23.700001,24
17/05/18,23.9,24.1,23.6,23.799999
18/05/18,23.9,24.200001,23.799999,24.200001
21/05/18,24.200001,24.5,24.1,24.4
22/05/18,24.5,24.5,24.200001,24.299999
23/05/18,24.299999,24.5,24.299999,24.299999
24/05/18,24.299999,24.5,24.200001,24.5
25/05/18,24.299999,24.700001,24.299999,24.700001
28/05/18,24.700001,25,24.6,24.9
30/05/18,24.6,24.9,24.299999,24.700001
31/05/18,24.700001,25.25,24.6,25.25
01/06/18,25.25,25.5,25,25.25
04/06/18,25.25,25.5,25,25.25
05/06/18,25.5,25.5,24.4,24.799999
06/06/18,25,25,24.700001,24.9
07/06/18,24.9,25,24.5,25
08/06/18,24.9,25,24.6,24.6
11/06/18,24.6,24.799999,24.5,24.700001
12/06/18,24.700001,24.700001,24.6,24.6
13/06/18,24.6,24.6,24.4,24.5
14/06/18,24.5,24.799999,24.200001,24.700001
15/06/18,24.5,25,24.200001,24.799999
18/06/18,24.700001,24.9,24.6,24.6
19/06/18,24.5,24.6,23.799999,24.1
20/06/18,23.9,24.200001,23.799999,24.200001
21/06/18,24.200001,24.200001,23.5,23.9
22/06/18,23.799999,24.4,23.700001,24.299999
25/06/18,24.299999,24.5,24.200001,24.4
26/06/18,24.4,24.5,24.1,24.4
27/06/18,24.4,24.4,24.1,24.200001
28/06/18,24.1,24.200001,23.9,24.200001
29/06/18,24.1,24.1,22.9,23.5
02/07/18,23.4,24.299999,23.4,24.200001
03/07/18,24.299999,25,24.200001,24.9
04/07/18,25,25,24.5,24.9
05/07/18,24.9,25,24.5,24.799999
06/07/18,24.6,25,24.4,24.799999
09/07/18,25,25,24.700001,24.9
10/07/18,24.9,25.5,24.9,25.5
11/07/18,24.799999,24.799999,23.9,24.5
12/07/18,24.5,25.25,24.299999,24.9
13/07/18,24.9,25.25,24.700001,24.799999
16/07/18,24.799999,24.799999,24.1,24.200001
17/07/18,24.200001,24.299999,23.700001,23.9
18/07/18,23.700001,23.799999,23.299999,23.4
19/07/18,23.200001,23.799999,23.200001,23.6
20/07/18,23.700001,23.700001,23.4,23.5
23/07/18,23.5,23.700001,23.299999,23.6
24/07/18,23.6,23.700001,22.9,23.1
25/07/18,23.1,23.700001,23.1,23.299999
26/07/18,23.5,23.799999,23.4,23.700001
31/07/18,23.700001,24.1,23.700001,23.799999
01/08/18,23.799999,24.1,23.799999,23.799999
02/08/18,23.799999,23.9,23.5,23.6
03/08/18,23.6,23.9,23.6,23.9
06/08/18,24.1,24.1,23.6,23.6
07/08/18,23.700001,23.9,23.6,23.799999
08/08/18,24,24.4,23.9,24.1
09/08/18,24.4,24.700001,24.200001,24.5
10/08/18,24.5,24.6,24,24.299999
14/08/18,24.200001,24.5,24,24.299999
15/08/18,24,24,23.6,23.9
16/08/18,23.9,24.5,23.6,24.4
17/08/18,24.700001,24.700001,24.299999,24.299999
20/08/18,24.4,24.4,24.1,24.299999
21/08/18,24.200001,24.299999,23.799999,23.9
22/08/18,23.9,24.200001,23.700001,23.799999
23/08/18,23.799999,24.200001,23.799999,23.9
24/08/18,24,24.1,23.9,24.1
27/08/18,24,24.4,23.9,24.299999
28/08/18,24,24.1,23.9,24
29/08/18,24.1,24.200001,23.9,24.200001
