date,open,high,low,close
03/01/18,23.6,24.200001,23.6,24
04/01/18,24.1,24.200001,23.799999,24
05/01/18,24,25.75,24,25.5
08/01/18,25.5,25.75,25.25,25.5
09/01/18,25.75,25.75,25.75,25.75
10/01/18,26,26,25.25,25.5
11/01/18,25.5,25.75,25.25,25.5
12/01/18,25.5,25.75,25,25.75
15/01/18,25.5,26,25.25,25.75
16/01/18,25.75,27,25.5,26.75
17/01/18,26.5,26.75,26,26.25
18/01/18,26.5,26.5,24.5,24.700001
19/01/18,24.700001,25,24.4,24.9
22/01/18,24.799999,25,24.700001,24.799999
23/01/18,24.799999,24.9,24.5,24.5
24/01/18,24.5,25,24.4,24.9
25/01/18,24.9,25,24.5,24.5
26/01/18,24.6,24.6,24.200001,24.4
29/01/18,24.4,24.799999,24.299999,24.700001
30/01/18,24.700001,25.25,24.5,25.25
31/01/18,25,25.25,24.6,24.700001
01/02/18,24.700001,24.9,24.6,24.700001
02/02/18,24.6,24.799999,24.5,24.5
05/02/18,24,24.299999,24,24.200001
06/02/18,23.5,23.6,22.9,23.5
07/02/18,23.700001,23.9,23.4,23.4
08/02/18,23.5,23.700001,23.299999,23.299999
09/02/18,23.1,23.9,23.1,23.9
12/02/18,24.1,24.4,23.700001,23.799999
13/02/18,24,24.200001,23.6,23.6
14/02/18,23.700001,23.799999,23.200001,23.4
15/02/18,21.799999,22.200001,21.200001,21.700001
16/02/18,21.6,21.6,21,21.1
19/02/18,21.4,21.700001,20.299999,20.4
20/02/18,20.6,20.6,19.700001,19.700001
21/02/18,19.799999,20.299999,19.5,19.6
22/02/18,19.799999,20,19.6,19.799999
23/02/18,19.9,20.5,19.700001,20.4
26/02/18,20.299999,20.4,19.799999,19.9
27/02/18,20.1,20.299999,19.799999,19.9
28/02/18,20,20.200001,20,20
02/03/18,19.9,20.1,19.700001,19.9
05/03/18,20.1,20.1,19.6,19.6
06/03/18,19.799999,19.799999,19.799999,19.799999
07/03/18,19.799999,20,19.700001,19.700001
08/03/18,19.799999,20,19.6,19.6
09/03/18,19.799999,19.799999,18.700001,18.9
12/03/18,19,19.200001,18.9,19
13/03/18,19,19.299999,18.9,19.299999
14/03/18,19.200001,20,19.1,19.799999
15/03/18,20,20.1,19.5,19.6
16/03/18,19.700001,19.799999,19.200001,19.200001
19/03/18,19.299999,19.299999,19,19
20/03/18,18.9,19.1,18.799999,19
21/03/18,19,19.1,18.9,18.9
22/03/18,18.9,18.9,18.6,18.6
23/03/18,18.299999,19.1,18.200001,19
26/03/18,19.1,19.299999,19,19.200001
27/03/18,19.299999,19.5,19.200001,19.200001
28/03/18,19.200001,19.200001,19,19
29/03/18,18.9,19.1,18.5,18.700001
30/03/18,18.6,19.299999,18.6,19.1
02/04/18,19.200001,19.5,19.1,19.4
03/04/18,19.299999,19.299999,19,19
04/04/18,19,19.200001,18.700001,18.700001
05/04/18,19,19,18.700001,18.799999
09/04/18,18.9,19.1,18.700001,19
10/04/18,19.1,19.1,18.9,19
11/04/18,19,19.6,18.9,19.200001
12/04/18,19.1,19.200001,18.799999,18.9
17/04/18,18.9,19,18.799999,18.9
18/04/18,19,19.1,18.6,18.700001
19/04/18,18.799999,19,18.6,18.799999
20/04/18,18.799999,18.9,18.700001,18.799999
23/04/18,18.9,19,18.6,18.799999
24/04/18,18.799999,18.799999,18.5,18.5
25/04/18,18.5,18.6,17.700001,17.799999
26/04/18,17.799999,18,17.5,17.5
27/04/18,17.6,17.799999,17.200001,17.200001
30/04/18,17.200001,17.5,17.1,17.5
02/05/18,17.5,17.9,17.4,17.9
03/05/18,18.1,18.5,18,18.299999
04/05/18,18.299999,18.4,18.1,18.299999
07/05/18,18.4,18.4,17.700001,17.700001
08/05/18,17.799999,17.9,17.5,17.799999
09/05/18,17.9,17.9,17.299999,17.4
10/05/18,17.4,17.6,17.200001,17.299999
11/05/18,17.4,17.799999,17.299999,17.799999
14/05/18,18.200001,19.200001,18.200001,19.1
15/05/18,19.200001,19.6,19,19.5
16/05/18,19.5,20.700001,19.299999,20.700001
17/05/18,20.6,20.799999,20.200001,20.700001
18/05/18,20.6,20.700001,20.299999,20.5
21/05/18,20.700001,21.5,20.700001,21.4
22/05/18,21.4,22.1,21.200001,22.1
23/05/18,22,22.4,21.9,22.1
24/05/18,22.1,22.1,21.6,21.700001
25/05/18,21.799999,22.1,21.700001,22.1
28/05/18,22.1,22.200001,21.9,22
30/05/18,21.799999,22.4,21.5,22.4
31/05/18,22.6,22.799999,22.299999,22.6
01/06/18,22.5,22.6,22.200001,22.299999
04/06/18,22.4,22.4,21.799999,21.799999
05/06/18,21.799999,22.4,21.700001,22.299999
06/06/18,22.4,23,22.299999,22.799999
07/06/18,22.9,22.9,22.6,22.6
08/06/18,22.6,22.9,22.4,22.700001
11/06/18,22.700001,23.1,22.5,22.9
12/06/18,22.9,23.6,22.700001,22.700001
13/06/18,22.6,22.700001,22.200001,22.5
14/06/18,22.4,22.700001,22.200001,22.5
15/06/18,22.5,22.6,22.299999,22.4
18/06/18,22.299999,22.4,21.9,22
19/06/18,21.9,22,21,21.5
20/06/18,21.5,21.700001,21.200001,21.4
21/06/18,21.4,21.4,20.700001,20.700001
22/06/18,20.700001,21.700001,20.6,21.200001
25/06/18,21.299999,21.5,20.799999,21
26/06/18,21,21.299999,20.700001,21.299999
27/06/18,21.299999,21.5,20.799999,20.9
28/06/18,20.799999,20.799999,19.200001,19.200001
29/06/18,19.200001,19.299999,17.700001,18.1
02/07/18,18.200001,19.200001,18.200001,19.200001
03/07/18,19.1,19.9,18.700001,19.9
04/07/18,19.5,19.9,19.200001,19.6
05/07/18,19.4,19.5,18.6,18.700001
06/07/18,18.700001,19.6,18.5,19.4
09/07/18,19.799999,20.1,19.6,19.799999
10/07/18,19.9,20.200001,19.6,20
11/07/18,19.799999,20.6,19.700001,20.4
12/07/18,20.5,20.9,20.4,20.700001
13/07/18,20.799999,21,20.5,20.5
16/07/18,20.6,20.6,20.200001,20.200001
17/07/18,20.200001,20.299999,19.700001,20
18/07/18,20.200001,20.200001,19.799999,20
19/07/18,20,20.799999,20,20.6
20/07/18,20.5,21.1,20.4,21
23/07/18,21,21.1,20.799999,21
24/07/18,21.1,21.6,21.1,21.5
25/07/18,21.5,21.6,21.200001,21.4
26/07/18,21.4,21.700001,21.4,21.5
31/07/18,21.4,21.700001,21.4,21.4
01/08/18,21.5,21.700001,21.299999,21.5
02/08/18,21.5,21.799999,21.1,21.200001
03/08/18,21.299999,21.5,21.1,21.4
06/08/18,21.5,21.6,20.799999,20.9
07/08/18,20.9,21.1,20.799999,20.9
08/08/18,20.9,21.1,20.799999,20.9
09/08/18,21,21.1,20.799999,20.9
10/08/18,20.9,21,20.200001,20.299999
14/08/18,20.4,21.4,20.4,21.4
15/08/18,21.299999,21.4,21,21.1
16/08/18,21.200001,21.5,21,21.299999
17/08/18,21.4,21.700001,21.200001,21.299999
20/08/18,21.5,21.9,21.4,21.799999
21/08/18,21.9,22.4,21.799999,21.9
22/08/18,21.799999,22,21.700001,21.700001
23/08/18,21.799999,22.299999,21.700001,22.1
24/08/18,22.299999,22.5,22.1,22.299999
27/08/18,22.5,22.700001,22.4,22.6
28/08/18,22.700001,22.9,22.4,22.6
29/08/18,22.6,22.700001,22.4,22.700001
30/08/18,22.700001,23,22.6,22.700001
31/08/18,22.6,22.700001,22.4,22.5
03/09/18,22.5,22.6,22.4,22.6
04/09/18,22.6,22.6,22.200001,22.4
05/09/18,22.299999,22.299999,21.700001,21.9
06/09/18,21.799999,22.299999,21.799999,22.200001
07/09/18,22.1,22.299999,22,22.1
10/09/18,22,22.299999,21.9,22.299999
11/09/18,22.299999,22.9,22.299999,22.700001
12/09/18,22.700001,22.9,22.5,22.9
13/09/18,23.4,24.4,23.299999,24.299999
14/09/18,24.299999,24.4,23.799999,24.200001
17/09/18,24,24.200001,23.799999,23.9
18/09/18,24,25,23.9,24.9
19/09/18,25,25.25,24.5,24.6
20/09/18,24.700001,24.9,24.6,24.6
21/09/18,24.799999,25.25,24.4,24.5
24/09/18,24.4,24.5,24.200001,24.200001
25/09/18,24.200001,24.5,23.9,23.9
26/09/18,24,24.6,24,24.5
27/09/18,24.5,24.6,24.200001,24.5
28/09/18,24.5,25,24.4,24.9
01/10/18,25,25.25,24.6,24.700001
02/10/18,24.6,25.25,24.6,24.700001
03/10/18,24.799999,24.9,24.4,24.4
04/10/18,24.1,24.4,23.799999,24.299999
05/10/18,24.200001,24.700001,24.1,24.299999
08/10/18,24.5,24.5,23.9,23.9
09/10/18,24,24.6,24,24.299999
10/10/18,24.5,24.9,24.5,24.9
11/10/18,24.200001,24.6,24.1,24.6
12/10/18,24.700001,25.25,24.6,25
16/10/18,25,25,24.799999,24.9
17/10/18,25.25,25.5,24.9,25
18/10/18,24.9,24.9,24.4,24.5
19/10/18,24.299999,24.700001,24.200001,24.4
22/10/18,24.5,24.6,24.1,24.299999
24/10/18,24.1,24.299999,23.5,23.799999
25/10/18,23.6,24.200001,23.4,24.200001
26/10/18,24,24.200001,23.9,24.200001
29/10/18,24.200001,24.5,23.799999,24
30/10/18,24.1,24.700001,24,24.5
31/10/18,24.700001,25,24.6,24.799999
01/11/18,24.700001,25,24.700001,24.799999
02/11/18,24.9,25.25,24.799999,24.9
05/11/18,24.799999,25,24.700001,24.9
06/11/18,24.9,25,24.5,24.6
07/11/18,24.700001,24.700001,24.299999,24.6
08/11/18,24.799999,25.25,24.700001,24.9
09/11/18,24.799999,24.9,24.6,24.6
12/11/18,24.799999,24.9,24.6,24.700001
13/11/18,24.5,24.799999,24.299999,24.299999
14/11/18,24.200001,24.5,24.200001,24.299999
15/11/18,24.5,24.9,24.5,24.6
16/11/18,24.6,24.6,23.799999,23.799999
19/11/18,23.9,24.200001,23.799999,23.9
20/11/18,23.9,23.9,23.5,23.700001
21/11/18,23.6,24.200001,23.5,24.200001
22/11/18,24.1,24.1,23.6,23.700001
23/11/18,23.700001,24,23.299999,23.6
26/11/18,23.799999,24,23.700001,23.9
27/11/18,23.799999,24.1,23.799999,24
28/11/18,24,24.299999,24,24.1
29/11/18,24.200001,24.5,24.1,24.1
30/11/18,24.200001,24.299999,24,24.1
03/12/18,24.4,24.6,24.299999,24.4
04/12/18,24.4,24.6,24.200001,24.299999
06/12/18,23.9,24.200001,23.9,24.1
07/12/18,24.200001,24.299999,24,24.1
11/12/18,24.1,24.4,24,24.1
12/12/18,24.299999,24.299999,23.299999,23.4
13/12/18,23.6,23.700001,23.1,23.200001
14/12/18,23.299999,23.4,22.799999,22.9
17/12/18,23,23,21.799999,22
