date,open,high,low,close
03/01/18,5.5,5.65,5.45,5.5
04/01/18,5.5,5.55,5.3,5.3
05/01/18,5.3,5.55,5.3,5.5
08/01/18,5.5,5.95,5.5,5.9
09/01/18,5.8,5.8,5.8,5.8
10/01/18,5.8,5.9,5.75,5.75
11/01/18,5.75,5.9,5.75,5.85
12/01/18,5.85,5.9,5.75,5.8
15/01/18,5.8,6.2,5.75,6.15
16/01/18,6.2,6.35,6.1,6.1
17/01/18,6.05,6.1,6,6.05
18/01/18,6.1,6.25,6.1,6.25
19/01/18,6.25,6.25,6.15,6.15
22/01/18,6.2,6.2,6.1,6.1
23/01/18,6.1,6.25,6.05,6.05
24/01/18,6.05,6.15,6.05,6.15
25/01/18,6.2,6.2,6.05,6.05
26/01/18,6.1,6.1,5.9,5.95
29/01/18,5.95,6,5.85,6
30/01/18,5.95,6,5.85,5.9
31/01/18,5.9,5.9,5.85,5.9
01/02/18,5.9,6,5.85,5.9
02/02/18,5.9,5.95,5.85,5.9
05/02/18,5.85,5.9,5.75,5.8
06/02/18,5.75,5.8,5.5,5.5
07/02/18,5.55,5.7,5.35,5.35
08/02/18,5.45,5.55,5.4,5.45
09/02/18,5.4,5.5,5.4,5.5
12/02/18,5.5,5.7,5.45,5.5
13/02/18,5.55,5.6,5.45,5.45
14/02/18,5.45,5.5,5.4,5.4
15/02/18,5.4,5.45,5,5.15
16/02/18,5.1,5.3,5.1,5.3
19/02/18,5.35,5.4,5.25,5.25
20/02/18,5.3,5.3,5.1,5.15
21/02/18,5.15,5.2,5.1,5.1
22/02/18,5.15,5.15,4.98,4.98
23/02/18,4.98,5.15,4.98,5.1
26/02/18,5.1,5.15,4.98,4.98
27/02/18,5,5.05,4.98,4.98
28/02/18,4.96,5.15,4.96,5.05
02/03/18,5.05,5.05,4.98,5.05
05/03/18,5.05,5.05,4.88,4.9
06/03/18,4.92,4.92,4.92,4.92
07/03/18,4.94,4.94,4.82,4.84
08/03/18,4.86,4.86,4.76,4.78
09/03/18,4.78,4.8,4.58,4.6
12/03/18,4.6,4.7,4.58,4.6
13/03/18,4.6,4.76,4.58,4.76
14/03/18,4.8,4.92,4.76,4.82
15/03/18,4.84,4.96,4.84,4.96
16/03/18,4.96,4.98,4.9,4.9
19/03/18,4.9,4.9,4.8,4.84
20/03/18,4.82,4.86,4.78,4.78
21/03/18,4.78,4.78,4.74,4.74
22/03/18,4.76,4.9,4.76,4.86
23/03/18,4.86,4.94,4.8,4.82
26/03/18,4.82,4.84,4.66,4.72
27/03/18,4.76,4.8,4.72,4.72
28/03/18,4.72,4.78,4.66,4.68
29/03/18,4.68,4.68,4.58,4.6
30/03/18,4.6,4.64,4.58,4.6
02/04/18,4.62,4.68,4.6,4.62
03/04/18,4.64,4.66,4.6,4.6
04/04/18,4.6,4.6,4.46,4.48
05/04/18,4.48,4.52,4.46,4.46
09/04/18,4.46,4.5,4.3,4.34
10/04/18,4.34,4.4,4.18,4.2
11/04/18,4.2,4.24,4.16,4.18
12/04/18,4.18,4.4,4.18,4.38
17/04/18,4.4,4.52,4.4,4.44
18/04/18,4.46,4.48,4.4,4.42
19/04/18,4.42,4.56,4.42,4.5
20/04/18,4.5,4.84,4.5,4.8
23/04/18,4.8,4.82,4.68,4.76
24/04/18,4.76,4.84,4.68,4.68
25/04/18,4.68,4.7,4.58,4.6
26/04/18,4.62,4.66,4.5,4.5
27/04/18,4.5,4.52,4.42,4.42
