date,open,high,low,close
03/01/18,22.4,22.6,22.299999,22.4
04/01/18,22.5,22.799999,22.299999,22.6
05/01/18,22.6,22.700001,22.4,22.5
08/01/18,22.6,22.700001,22.299999,22.4
09/01/18,22.5,22.5,22.5,22.5
10/01/18,22.6,23.200001,22.4,23.200001
11/01/18,23.200001,23.5,23.1,23.5
12/01/18,23.6,23.6,23.299999,23.5
15/01/18,23.700001,23.799999,23.299999,23.4
16/01/18,23.4,23.6,23.200001,23.4
17/01/18,23.4,23.700001,23.299999,23.5
18/01/18,23.5,23.6,23.200001,23.200001
19/01/18,23.299999,23.4,22.5,22.9
22/01/18,22.9,22.9,22.4,22.4
23/01/18,22.5,22.700001,22.299999,22.5
24/01/18,22.799999,23.5,22.799999,23.5
25/01/18,23.5,23.700001,23.200001,23.200001
26/01/18,23.4,23.5,22.9,23.200001
29/01/18,23.4,23.5,23.200001,23.299999
30/01/18,23.299999,23.299999,22.799999,22.9
31/01/18,22.700001,23.200001,22.700001,23
01/02/18,23,23.1,22.799999,22.799999
02/02/18,22.9,22.9,22.5,22.6
05/02/18,22.1,22.4,21.9,22.4
06/02/18,21.9,22.200001,21.799999,22.1
07/02/18,22.299999,22.4,22,22.200001
08/02/18,22.200001,22.4,22.1,22.1
09/02/18,21.700001,22.1,21.700001,22.1
12/02/18,22.1,22.700001,22.1,22.6
13/02/18,22.6,22.799999,22.5,22.700001
14/02/18,22.700001,22.799999,22.6,22.6
15/02/18,22.6,22.799999,22.5,22.799999
16/02/18,22.799999,23.1,22.299999,22.299999
19/02/18,22.299999,22.5,22.1,22.200001
20/02/18,22.299999,22.4,22.1,22.200001
21/02/18,22.299999,22.299999,22,22.1
22/02/18,22.1,22.1,21.799999,21.9
23/02/18,21.9,22.200001,21.9,22.200001
26/02/18,22.299999,22.5,22.200001,22.5
27/02/18,21.799999,21.9,21,21
28/02/18,21,21,19.799999,19.9
02/03/18,19.799999,19.799999,18.9,19.1
05/03/18,19.1,19.200001,18.799999,19
06/03/18,19,19,19,19
07/03/18,19,19.299999,18.9,19
