date,open,high,low,close
03/01/18,56.25,57.5,55.75,57.5
04/01/18,57.5,58,56.75,57.5
05/01/18,57.5,58.5,57.25,58
08/01/18,58.5,58.5,57,57
09/01/18,56.75,56.75,56.75,56.75
10/01/18,57.25,59,57.25,58.25
11/01/18,58.25,59,57.75,58.5
12/01/18,59,60,58,59.75
15/01/18,60,60.25,58.75,59
16/01/18,59,59.25,58.25,58.75
17/01/18,58.5,59,58.25,58.75
18/01/18,59,59.25,58.25,58.75
19/01/18,58.5,58.75,57.5,58
22/01/18,58.25,59,57.5,59
23/01/18,59,59.25,58.5,58.75
24/01/18,58.5,59.5,58.5,59.25
25/01/18,59.25,59.5,58,58.25
26/01/18,58,58.5,57.75,58.5
29/01/18,58.75,59,58.5,58.75
30/01/18,59,59.5,58.25,59.25
31/01/18,59,59.5,58.5,59
01/02/18,59,59.25,58.25,58.25
02/02/18,58.25,58.75,57.75,58.25
05/02/18,57.5,58,56.75,57
06/02/18,56,56.25,54.75,56
07/02/18,56.5,56.5,55.75,56
08/02/18,55.75,56.25,55.75,56
09/02/18,55.5,56.25,55.5,56
12/02/18,56,56.5,55.75,56.25
13/02/18,56.5,56.75,56,56
14/02/18,56,56.25,55.25,55.5
15/02/18,55.5,56.25,55.5,56.25
16/02/18,56.25,56.5,56,56.25
19/02/18,56.25,56.75,56,56.5
20/02/18,56.5,56.5,55.75,56
21/02/18,56,56,55.5,56
22/02/18,55.75,56,55,56
23/02/18,56,56,55.25,56
26/02/18,55.75,56,55,55.5
27/02/18,55.75,56.75,55.5,55.75
28/02/18,55.5,56,55.5,55.75
02/03/18,55.5,55.75,54.75,54.75
05/03/18,55,55.25,54.75,54.75
06/03/18,55,55.5,54.75,54.75
07/03/18,54.75,55,54,54
08/03/18,54.25,54.75,54,54.25
09/03/18,54.5,54.5,53.5,53.75
12/03/18,54.25,54.5,53.75,54.5
13/03/18,54.25,54.25,53.75,53.75
14/03/18,54,55.5,53.75,55.25
15/03/18,55,55,54.5,54.75
16/03/18,54.5,56.5,54.5,56.5
19/03/18,56.25,56.5,55.5,55.5
20/03/18,55.25,55.25,54.5,54.5
21/03/18,54.75,55,54.5,54.75
22/03/18,54.75,55.25,53.5,53.75
23/03/18,53.5,54.25,53.25,53.75
26/03/18,53.75,54.25,53.5,53.75
27/03/18,53.75,54.25,53.25,53.5
28/03/18,53.25,53.5,52.5,53.25
29/03/18,53.5,53.5,51.75,52
30/03/18,52,54,52,53.75
02/04/18,53.5,54.25,53,54
03/04/18,53.5,53.75,52.5,52.5
04/04/18,52.75,53,52,52.5
05/04/18,52.5,52.75,51,52.25
09/04/18,52.25,54,52.25,54
10/04/18,54.25,54.25,53,53.5
