date,open,high,low,close
03/01/18,6.848,6.912,6.72,6.784
04/01/18,6.72,6.848,6.528,6.72
05/01/18,6.656,6.784,6.4,6.528
08/01/18,6.528,6.592,6.368,6.4
09/01/18,6.336,6.336,6.336,6.336
10/01/18,6.368,6.528,6.336,6.4
11/01/18,6.4,6.528,6.304,6.336
12/01/18,6.368,6.592,6.368,6.592
15/01/18,6.592,6.656,6.336,6.368
16/01/18,6.368,6.528,6.304,6.464
17/01/18,6.464,6.528,6.368,6.528
18/01/18,6.592,7.04,6.528,6.592
19/01/18,6.528,6.592,6.464,6.592
22/01/18,6.656,6.848,6.464,6.528
23/01/18,6.592,6.656,6.368,6.4
24/01/18,6.4,6.528,6.368,6.4
25/01/18,6.4,6.464,6.368,6.368
26/01/18,6.4,6.528,6.4,6.464
29/01/18,6.4,6.656,6.4,6.656
30/01/18,6.656,6.656,6.464,6.528
31/01/18,6.592,6.656,6.528,6.528
01/02/18,6.528,6.784,6.528,6.72
02/02/18,6.72,6.976,6.592,6.848
05/02/18,6.592,6.72,6.592,6.592
06/02/18,6.336,6.592,6.208,6.528
07/02/18,6.656,6.72,6.4,6.656
08/02/18,6.656,6.656,6.528,6.528
09/02/18,6.464,6.528,6.4,6.464
12/02/18,6.528,6.656,6.528,6.592
13/02/18,6.592,6.656,6.528,6.592
14/02/18,6.656,6.656,6.464,6.464
15/02/18,6.528,6.528,6.4,6.464
16/02/18,6.464,6.592,6.464,6.464
19/02/18,6.528,6.72,6.4,6.464
20/02/18,6.464,6.464,6.4,6.464
21/02/18,6.464,6.528,6.24,6.24
22/02/18,6.016,6.176,5.888,6.048
23/02/18,6.016,6.336,6.016,6.336
26/02/18,6.272,6.4,6.272,6.304
27/02/18,6.4,6.4,6.272,6.304
28/02/18,6.368,6.4,6.304,6.336
02/03/18,6.368,6.368,6.112,6.176
05/03/18,6.176,6.208,5.888,5.952
06/03/18,5.92,5.92,5.92,5.92
07/03/18,5.92,6.016,5.856,5.92
08/03/18,6.12,6.16,5.8,5.84
09/03/18,5.84,5.88,5.68,5.84
12/03/18,6,6,5.68,5.76
13/03/18,5.76,5.8,5.68,5.76
14/03/18,5.76,5.96,5.76,5.8
15/03/18,5.8,5.88,5.72,5.76
16/03/18,5.8,5.84,5.72,5.76
19/03/18,5.8,5.8,5.72,5.76
20/03/18,5.76,5.8,5.68,5.72
21/03/18,5.72,5.88,5.72,5.88
22/03/18,5.88,5.88,5.68,5.68
23/03/18,5.52,5.68,5.48,5.6
26/03/18,5.64,5.72,5.48,5.52
27/03/18,5.68,6.04,5.68,6.04
28/03/18,5.96,6.2,5.96,6.16
29/03/18,6.2,6.24,5.84,5.96
30/03/18,6,6.04,5.92,6
02/04/18,6.08,6.24,5.96,6.12
03/04/18,6.08,6.16,6,6.04
04/04/18,6.08,6.08,5.64,5.72
05/04/18,5.72,5.92,5.68,5.92
09/04/18,5.84,5.88,5.8,5.84
10/04/18,5.88,5.96,5.88,5.88
11/04/18,5.88,6.04,5.88,5.92
12/04/18,5.96,6,5.92,6
17/04/18,6.04,6.24,6.04,6.16
18/04/18,6.28,6.4,6.28,6.4
19/04/18,6.4,6.48,6.16,6.28
20/04/18,6.44,6.8,6.36,6.68
23/04/18,6.68,6.88,6.68,6.68
24/04/18,6.72,6.72,6.52,6.6
25/04/18,6.6,6.6,6.48,6.56
26/04/18,6.68,6.96,6.68,6.8
27/04/18,6.76,6.96,6.68,6.72
30/04/18,6.72,6.8,6.64,6.64
02/05/18,6.68,6.76,6.64,6.76
03/05/18,6.68,6.76,6.44,6.56
04/05/18,6.48,6.6,6.44,6.52
07/05/18,6.56,6.56,6.32,6.4
08/05/18,6.36,6.4,6.08,6.12
09/05/18,6.12,6.2,5.96,6.2
10/05/18,6.2,6.2,6,6.16
11/05/18,6.12,6.4,6.12,6.28
14/05/18,6.28,6.52,6.24,6.32
15/05/18,6.32,6.32,6.04,6.16
16/05/18,6.12,6.16,6,6.12
17/05/18,6.08,6.16,6,6.04
18/05/18,6.04,6.08,5.96,6
21/05/18,6,6.04,5.88,6.04
22/05/18,6.04,6.16,6,6.16
23/05/18,6.16,6.24,6.08,6.24
24/05/18,6.28,6.28,6.08,6.16
25/05/18,6.08,6.24,6.04,6.16
28/05/18,6.12,6.28,6.08,6.2
30/05/18,6.16,6.24,6.16,6.2
31/05/18,6.24,6.28,5.96,6.2
01/06/18,6.2,6.24,6.04,6.2
04/06/18,6.24,6.28,6.08,6.12
05/06/18,6.12,6.28,6.08,6.24
06/06/18,6.28,6.36,6.16,6.28
07/06/18,6.32,6.32,6.24,6.24
08/06/18,6.28,6.28,6.12,6.16
11/06/18,6.16,6.24,6.08,6.12
12/06/18,6.12,6.28,6.04,6.12
13/06/18,6.12,6.2,6,6.08
14/06/18,6.08,6.08,5.96,6.08
15/06/18,6.08,6.2,6.08,6.12
18/06/18,6.08,6.16,6,6.12
19/06/18,6.08,6.12,5.92,5.92
20/06/18,5.92,6.16,5.88,6
21/06/18,6,6.08,5.92,5.92
22/06/18,5.92,5.96,5.76,5.88
25/06/18,5.96,5.96,5.68,5.68
26/06/18,5.72,5.84,5.64,5.8
27/06/18,5.8,5.88,5.76,5.76
28/06/18,5.8,5.8,5.68,5.68
29/06/18,5.68,5.8,5.52,5.8
02/07/18,5.76,5.8,5.6,5.68
03/07/18,5.72,6.04,5.64,6.04
04/07/18,6.04,6.2,5.96,6.2
05/07/18,6.2,6.2,6.08,6.12
06/07/18,6.12,6.2,5.96,6.12
09/07/18,6.16,6.24,6.16,6.2
10/07/18,6.24,6.28,6.12,6.2
11/07/18,6.2,6.2,6.12,6.16
12/07/18,6.2,6.36,6.16,6.2
13/07/18,6.2,6.24,6.12,6.2
16/07/18,6.16,6.2,6.08,6.16
17/07/18,6.04,6.2,6.04,6.12
18/07/18,6.16,6.24,6.12,6.2
19/07/18,6.32,6.44,6.16,6.2
20/07/18,6.24,6.36,6.24,6.28
23/07/18,6.32,6.32,6.16,6.2
24/07/18,6.24,6.28,6.16,6.2
25/07/18,6.2,6.36,6.2,6.36
26/07/18,6.36,6.4,6.2,6.28
31/07/18,6.28,6.32,6.12,6.24
01/08/18,6.24,6.52,6.24,6.44
02/08/18,6.44,6.48,6.28,6.44
03/08/18,6.44,6.52,6.4,6.44
06/08/18,6.48,6.48,6.24,6.24
07/08/18,6.24,6.28,6.2,6.28
08/08/18,6.28,6.28,6.2,6.2
09/08/18,6.2,6.24,6.16,6.24
10/08/18,6.24,6.28,6.16,6.28
14/08/18,6.2,6.24,6.16,6.24
15/08/18,6.24,6.28,6.12,6.12
16/08/18,6.08,6.16,5.96,6.08
17/08/18,6.08,6.28,6.08,6.16
20/08/18,6.2,6.28,6.12,6.16
21/08/18,6.16,6.24,6.12,6.2
22/08/18,6.2,6.24,6.16,6.2
23/08/18,6.2,6.24,6.16,6.24
24/08/18,6.24,6.24,6.08,6.16
27/08/18,6.12,6.2,6.12,6.12
28/08/18,6.12,6.16,6.08,6.12
29/08/18,6.12,6.16,6.08,6.12
30/08/18,6.16,6.48,6.12,6.4
31/08/18,6.48,6.48,6.32,6.4
03/09/18,6.4,6.48,6.36,6.4
04/09/18,6.4,6.4,6.32,6.36
