date,open,high,low,close
03/01/18,88.75,90.25,88.75,89.5
04/01/18,89.5,91.5,89.5,90.25
05/01/18,90.75,91.75,90.25,91.25
08/01/18,91.75,94.5,91.5,93.25
09/01/18,93.75,93.75,93.75,93.75
10/01/18,94,94.75,93.25,93.5
11/01/18,93,93,90.5,91.5
12/01/18,92,95,92,94.25
15/01/18,94,94.25,91.5,91.75
16/01/18,91.75,92.5,90.5,91
17/01/18,91,92,89,89
18/01/18,89.25,90.5,89,89
19/01/18,88.25,89.5,88.25,89.5
22/01/18,89.75,90.5,89.5,90.25
23/01/18,90.25,91.25,90,90.5
24/01/18,90,91,90,90.5
25/01/18,91,92.25,90.5,90.75
26/01/18,90.5,91,89.25,90.5
29/01/18,90.75,91,90,90.5
30/01/18,90.5,90.5,89.75,89.75
31/01/18,89.5,90.5,88.5,88.5
01/02/18,88.5,88.75,87.25,87.75
02/02/18,87.5,88.25,87,87.5
05/02/18,86.25,86.75,86,86.5
06/02/18,84,87.5,83.75,87
07/02/18,87.25,87.75,86.5,86.75
08/02/18,86.75,87.75,86.5,87.5
09/02/18,86.25,87.75,86.25,87.75
12/02/18,88,88.75,87.5,88.75
13/02/18,89,89,87.5,87.5
14/02/18,87.25,87.75,86.75,87
15/02/18,86.75,88.5,86.5,88.5
16/02/18,89,90.25,89,89.5
19/02/18,89.5,90,89.25,89.25
20/02/18,89,90,88.25,88.5
21/02/18,88,88,85.75,86.25
22/02/18,86.5,86.75,85.5,86
23/02/18,86.25,87.25,86,86.75
26/02/18,87,87.25,86.25,86.75
27/02/18,89.5,90.75,89,89
28/02/18,88.75,89.5,88.5,88.5
02/03/18,88.5,89.25,88,88.5
05/03/18,88.75,89,87.25,87.75
06/03/18,88,88,88,88
07/03/18,88,88,86.5,87
08/03/18,87,87.25,86.25,87
09/03/18,87.75,87.75,86.5,87
12/03/18,87,87.75,87,87.5
13/03/18,87.5,87.75,86.75,87.25
14/03/18,87,88.75,87,88.5
15/03/18,88.75,89.5,88.5,89.5
16/03/18,89.75,91,89.25,91
19/03/18,91.5,91.75,90.25,90.5
20/03/18,90.5,90.75,89.75,90
21/03/18,90.25,90.5,90,90.5
22/03/18,90.5,91.75,90.5,90.75
23/03/18,89.75,90.25,89.5,90
26/03/18,90,91,90,90.25
27/03/18,90.5,90.75,90,90.25
28/03/18,90.25,90.5,89.25,89.25
29/03/18,89.25,89.75,87.75,88
30/03/18,88.5,90.25,88.5,89.75
02/04/18,89.5,91.75,89.25,91.25
03/04/18,90.75,91.25,90.5,90.75
04/04/18,91.25,91.25,87,87.75
05/04/18,88,89,87.25,88.75
09/04/18,88.75,91.25,88.75,91.25
10/04/18,91.25,91.5,90.5,91.25
11/04/18,91.5,91.5,90.75,91
12/04/18,91,91.25,90.5,91.25
17/04/18,91.5,92.5,91.25,91.75
18/04/18,92.5,93.5,92,93.25
19/04/18,93.5,94.75,93.25,94.5
20/04/18,94.5,94.75,92.75,93
23/04/18,93.5,94.25,93.25,93.5
24/04/18,93.5,93.5,92,92.75
25/04/18,92.25,93,92,92.75
26/04/18,92.75,93.75,92.75,93
27/04/18,87.75,88.75,87,88.5
30/04/18,88.25,89.25,88.25,88.75
02/05/18,88.5,88.75,87.5,88.5
03/05/18,88.25,88.25,87.25,87.25
04/05/18,87,87.75,86.75,86.75
07/05/18,87,87,84.25,84.75
08/05/18,85,85.75,84.5,84.5
09/05/18,84.5,85.5,84.25,85
10/05/18,85.25,87.75,85.25,87.75
11/05/18,87.5,89.25,86.5,88.5
14/05/18,88.5,88.75,88,88
15/05/18,88,88.5,87.75,88.25
16/05/18,87.5,88,86.5,87
17/05/18,87,87.25,85.5,86
18/05/18,85.75,86,85,85.25
21/05/18,85,86.5,85,86.5
22/05/18,86.25,86.25,85.5,85.75
23/05/18,85.75,87,85.75,86.5
24/05/18,86.25,86.5,85.5,86
25/05/18,85.75,86,85,85.25
28/05/18,85.5,87.5,85,87.25
30/05/18,86,86,85.25,85.5
31/05/18,85.25,85.5,82.75,83
01/06/18,82.5,83.75,82.5,83.5
04/06/18,83.25,83.25,82.75,83.25
05/06/18,83.75,86.25,83.75,86.25
06/06/18,86.75,87,86.25,87
07/06/18,87.5,87.5,86,86.25
08/06/18,86,86.5,85.75,86.5
11/06/18,86.75,87.5,86.25,87.5
12/06/18,87.25,87.5,86.5,87
13/06/18,86.75,87.25,86.5,87.25
14/06/18,87.25,87.5,86.5,87.5
15/06/18,87.75,88.25,86.5,88.25
18/06/18,87.25,87.5,87,87.25
19/06/18,86.75,87,85.75,86
20/06/18,86,88.25,86,88
21/06/18,87,87.5,85.5,86.5
22/06/18,87.5,88.5,87,88.5
25/06/18,88.5,88.5,86,87
26/06/18,86,86.5,85.5,85.75
27/06/18,85.75,86.5,85,85.5
28/06/18,85,85.25,83.75,84.25
29/06/18,84,84.5,83.5,84
02/07/18,84,87.5,83.25,87.25
03/07/18,86.5,87,85,87
04/07/18,87,87,85.5,85.75
05/07/18,85.5,85.5,83,83.75
06/07/18,83.75,85.5,83.5,83.75
09/07/18,84.5,86,84.25,85.75
10/07/18,86,86.25,85.5,86.25
11/07/18,86.25,87.25,85.75,86.75
12/07/18,85.75,85.75,83.25,84
13/07/18,84,84.25,80,80.5
16/07/18,79.75,80,73.75,74.25
17/07/18,73.25,75.25,72.25,73.75
18/07/18,75,76.75,74.75,76
19/07/18,76.25,76.5,75.25,76
20/07/18,76.25,77.5,76,77
23/07/18,77,78,76.75,77.75
24/07/18,78.25,78.25,76.5,77
25/07/18,77.25,77.75,77,77.25
26/07/18,77.5,78.25,77,78
31/07/18,78,78.25,76.5,78
01/08/18,78,78.75,77.5,78.5
02/08/18,78.25,79.75,78,79
03/08/18,79.25,79.75,78.75,79
06/08/18,79.25,79.5,78.25,78.75
07/08/18,78.5,79.25,78.25,79.25
08/08/18,79,79.5,78.5,79
09/08/18,79.25,80.25,78.75,79.5
10/08/18,79.5,79.75,78.5,78.5
14/08/18,78,78.75,78,78.75
15/08/18,78.75,79.25,78.25,78.25
16/08/18,78,78.5,77.5,78
17/08/18,78.25,79.25,78.25,78.5
20/08/18,78.5,79,78.25,78.75
21/08/18,79,79.75,78,78.75
22/08/18,78.5,79.25,78.5,78.5
23/08/18,78.5,79.25,78.5,78.75
24/08/18,78.5,79.25,78.25,78.75
27/08/18,79.25,82.25,79,81.75
28/08/18,82,82.25,81,81.25
29/08/18,81.5,81.5,80.75,81
30/08/18,81.25,81.75,80.75,81
31/08/18,81,82.5,80.75,82
03/09/18,82,83.75,81.75,83.5
04/09/18,83.25,83.25,81.75,82
05/09/18,81.75,82.25,80.75,81
06/09/18,80.75,81.75,80.5,81.75
07/09/18,81,82,81,81.75
10/09/18,81.5,81.5,81,81.5
11/09/18,81.5,82.75,81.25,81.25
12/09/18,81.25,81.75,80.5,81
13/09/18,81.5,83,81.25,82.5
14/09/18,82.75,83,81.5,81.75
17/09/18,81.75,83,81.75,82.25
18/09/18,82.25,83.25,82,82.75
19/09/18,83,83.25,82.75,82.75
20/09/18,83,83.5,82.75,83.25
21/09/18,84,84.5,83.75,84
24/09/18,84,84.25,83.25,83.5
25/09/18,83.5,84,83,83.5
26/09/18,83.25,84.25,83.25,83.75
27/09/18,83.75,84,83.25,83.75
28/09/18,83.75,84,83.5,83.75
01/10/18,83.75,84,83.5,84
