date,open,high,low,close
03/01/18,20.9,21.5,20.9,21.200001
04/01/18,21.299999,22.4,21.299999,22
05/01/18,22,22,21.6,21.6
08/01/18,21.700001,22.299999,21.700001,21.9
09/01/18,21.200001,21.200001,21.200001,21.200001
10/01/18,21.299999,21.700001,20.700001,20.700001
11/01/18,20.799999,20.9,20.1,20.299999
12/01/18,20.4,20.5,20.299999,20.299999
15/01/18,20.4,20.799999,20.4,20.4
16/01/18,20.4,20.6,20.1,20.1
17/01/18,20,20.4,19.9,20.299999
18/01/18,20.299999,20.700001,20.299999,20.4
19/01/18,20.4,20.6,20.299999,20.5
22/01/18,20.5,20.700001,20.5,20.5
23/01/18,20.4,20.6,20.299999,20.5
24/01/18,20.5,22.4,20.4,22.4
25/01/18,22.4,23.1,22.299999,22.299999
26/01/18,22.200001,22.799999,22.200001,22.799999
29/01/18,22.9,23,22.700001,22.799999
30/01/18,22.9,22.9,22.4,22.4
31/01/18,22.200001,22.6,22.200001,22.299999
01/02/18,22.299999,22.4,22,22
02/02/18,21.799999,21.9,21.5,21.5
05/02/18,21,21.4,20.9,21
06/02/18,20.4,20.6,20,20.299999
07/02/18,20.6,20.799999,20.299999,20.299999
08/02/18,20.299999,20.5,20.200001,20.200001
09/02/18,19.799999,20.299999,19.700001,20.200001
12/02/18,20.299999,20.4,20.1,20.1
13/02/18,20.200001,20.5,20.200001,20.299999
14/02/18,20.4,20.9,20.299999,20.9
15/02/18,21,21,20.299999,20.299999
16/02/18,20.4,20.5,20.200001,20.200001
19/02/18,20.299999,20.6,20.1,20.1
20/02/18,20.200001,20.4,20,20
21/02/18,20.1,20.299999,19.799999,19.799999
22/02/18,19.9,19.9,18,18
23/02/18,18.200001,19,18.200001,19
26/02/18,19.5,19.5,19.1,19.200001
27/02/18,19.299999,20,18.700001,18.9
28/02/18,19.1,19.9,18.9,19.9
02/03/18,19.799999,21.799999,19.700001,21.4
05/03/18,21.1,21.4,20.5,20.5
06/03/18,20.5,20.5,20.5,20.5
07/03/18,20.6,20.700001,20.1,20.1
08/03/18,20.200001,20.299999,19.799999,19.799999
09/03/18,20,20.1,19.799999,19.799999
12/03/18,19.5,19.9,19.5,19.799999
13/03/18,19.799999,20.200001,19.799999,20.200001
14/03/18,20.299999,20.299999,19.700001,19.799999
15/03/18,20,20.1,19.9,20
16/03/18,20.1,20.1,19.700001,19.700001
19/03/18,19.700001,20.1,19.4,19.4
20/03/18,19.4,19.6,19,19
21/03/18,19.1,19.4,19,19.1
22/03/18,19.200001,19.6,19.1,19.4
23/03/18,19,19.4,19,19
26/03/18,19.200001,19.5,19.1,19.299999
27/03/18,19.5,19.9,19.4,19.5
28/03/18,19.5,19.6,19.1,19.1
29/03/18,19.200001,19.5,18.700001,18.799999
30/03/18,19,19.1,18.6,18.799999
02/04/18,18.799999,19,18.700001,18.9
03/04/18,18.799999,18.9,18.6,18.6
04/04/18,18.6,18.9,17.5,17.5
05/04/18,17.700001,18,17.200001,17.200001
09/04/18,17.1,17.1,15.3,16.299999
10/04/18,16.5,16.799999,15.9,15.9
11/04/18,16.200001,16.6,15.7,15.9
12/04/18,15.9,16.4,15.8,16.200001
17/04/18,16.4,16.799999,16.299999,16.6
18/04/18,16.9,17,16.6,17
19/04/18,17,17,16.6,16.6
20/04/18,16.6,16.799999,16.5,16.6
23/04/18,16.799999,17,16.6,16.6
24/04/18,16.6,16.700001,16.5,16.6
25/04/18,16.700001,16.799999,16.4,16.4
26/04/18,16.4,16.6,16,16
27/04/18,16.1,16.200001,15.7,15.7
30/04/18,15.7,16,15,15
02/05/18,15.1,15.6,14.9,15.6
03/05/18,15.7,16,15.6,15.9
04/05/18,15.9,16,15.7,15.7
07/05/18,15.7,15.8,15.5,15.6
08/05/18,15.6,15.8,15,15.2
09/05/18,15.3,15.6,15.3,15.5
10/05/18,16.299999,17.799999,16.299999,17.700001
11/05/18,17.5,17.6,17,17.5
14/05/18,17.4,17.6,16.799999,17.6
15/05/18,17.6,18.799999,17.6,18.5
16/05/18,18.4,18.700001,18.200001,18.5
17/05/18,18.700001,19.4,18.4,18.6
18/05/18,18.6,18.799999,18.299999,18.700001
21/05/18,18.6,18.700001,18.299999,18.4
22/05/18,18.4,18.700001,18.200001,18.299999
23/05/18,18.299999,18.6,18.200001,18.299999
24/05/18,18.299999,19.1,18.299999,18.799999
25/05/18,18.9,18.9,18.200001,18.200001
28/05/18,18.200001,18.6,18.1,18.5
30/05/18,18.5,19,18.200001,18.799999
31/05/18,18.9,20.1,18.799999,19.9
01/06/18,19.6,19.9,19.5,19.5
04/06/18,19.6,19.700001,19,19.1
05/06/18,19.200001,19.6,18.9,19.1
06/06/18,19.200001,19.4,18.9,18.9
07/06/18,19,19.299999,18.799999,19.1
08/06/18,19.1,19.4,19,19
11/06/18,19,19.1,18.5,18.6
12/06/18,18.6,18.799999,18.200001,18.200001
13/06/18,18.200001,18.200001,17.4,17.6
14/06/18,17.6,18,17.6,17.700001
15/06/18,17.799999,18,17.6,17.700001
18/06/18,17.5,17.6,17,17
19/06/18,16.9,16.9,16.299999,16.4
20/06/18,16.700001,16.9,16.4,16.6
21/06/18,16.6,16.799999,16.299999,16.6
22/06/18,16.6,16.9,16.5,16.5
25/06/18,16.5,16.799999,16.299999,16.4
26/06/18,16.1,16.299999,16,16.200001
27/06/18,16.200001,16.6,16.200001,16.299999
28/06/18,16.4,16.5,15.4,15.6
29/06/18,15.7,15.7,14,14.7
02/07/18,14.4,14.8,14.3,14.7
03/07/18,14.8,16.1,14.8,15.9
04/07/18,15.7,16,15.3,15.3
05/07/18,15.3,15.4,13.8,14.1
06/07/18,14.1,14.6,13.2,14.5
09/07/18,14.8,14.9,14.6,14.7
10/07/18,14.8,14.8,14.1,14.4
11/07/18,14.3,14.9,14.2,14.6
12/07/18,14.6,15.4,14.5,14.8
13/07/18,14.9,15.3,14.8,14.9
16/07/18,14.9,15,14.5,14.5
17/07/18,14.4,14.7,13.8,14
18/07/18,14.2,14.4,13.9,14
19/07/18,14.1,14.7,14.1,14.6
20/07/18,14.5,15.2,14.4,14.9
23/07/18,14.8,15,14.5,14.6
24/07/18,14.7,15.6,14.7,15.3
25/07/18,15.4,15.8,15.3,15.5
26/07/18,15.6,16.200001,15.5,16
31/07/18,15.9,16,15.4,15.6
01/08/18,15.7,16.299999,15.5,16
02/08/18,16,16.200001,15.8,15.9
03/08/18,16,16.200001,15.8,15.9
06/08/18,16.1,16.799999,15.4,15.4
07/08/18,15.5,15.9,15.5,15.6
08/08/18,15.7,15.9,15.6,15.9
09/08/18,15.9,15.9,15.6,15.7
10/08/18,15.8,15.8,14.5,14.8
14/08/18,14.7,15.2,14.6,15.1
15/08/18,15.1,15.2,14.5,14.6
16/08/18,14.8,14.8,14.4,14.6
17/08/18,14.8,15,14.6,14.6
20/08/18,14.8,15.1,14.7,14.8
21/08/18,14.8,14.8,14.4,14.5
22/08/18,14.5,14.7,14.5,14.6
23/08/18,14.5,14.7,14.4,14.5
24/08/18,14.5,14.7,14.4,14.6
27/08/18,14.6,15.7,14.6,15.6
28/08/18,15.9,15.9,15.4,15.4
29/08/18,15.4,15.8,15.4,15.7
30/08/18,15.7,15.8,15.4,15.5
31/08/18,15.5,15.9,15.3,15.7
03/09/18,15.9,16.200001,15.9,16.200001
04/09/18,16.299999,16.6,16.200001,16.5
05/09/18,16.6,16.6,15.5,15.5
06/09/18,15.5,15.8,15.3,15.7
07/09/18,15.6,15.7,15.3,15.5
10/09/18,15.5,15.8,15.4,15.7
11/09/18,15.8,16.4,15.8,15.8
12/09/18,15.9,15.9,15.5,15.7
13/09/18,16,16.1,15.8,15.8
14/09/18,15.9,15.9,15.6,15.7
17/09/18,15.7,15.9,15.5,15.7
18/09/18,15.6,16,15.5,15.7
19/09/18,15.9,16.299999,15.8,15.8
20/09/18,16,16.6,15.9,16.4
21/09/18,16.799999,17.299999,16.6,17.299999
24/09/18,17.1,17.200001,16.700001,16.799999
25/09/18,16.9,17.200001,16.700001,16.700001
26/09/18,16.9,17,16.700001,16.799999
27/09/18,16.799999,17.200001,16.700001,17.1
28/09/18,17.1,17.5,16.9,17.4
01/10/18,17.4,17.700001,17.299999,17.6
02/10/18,17.6,17.700001,16.9,17
03/10/18,17.1,17.4,16.5,16.5
04/10/18,16.5,16.799999,16.299999,16.6
05/10/18,16.6,16.9,16.299999,16.299999
08/10/18,16.299999,16.5,15.4,15.4
09/10/18,15.5,15.7,15.1,15.2
10/10/18,15.3,15.9,15.3,15.5
11/10/18,14.7,15.1,14.6,15
12/10/18,15.1,15.3,15,15
16/10/18,15,15.3,14.8,15.2
17/10/18,15.4,15.5,15,15.1
18/10/18,15,15.1,14.6,14.6
19/10/18,14.6,14.7,14,14
22/10/18,14.1,14.3,12.3,12.4
24/10/18,11.9,12.3,11.6,11.8
25/10/18,11.7,12.5,11.6,12.4
26/10/18,12.3,12.5,12.1,12.2
29/10/18,12.3,12.6,12.1,12.3
30/10/18,12.3,12.5,12.1,12.3
31/10/18,12.5,13,12.4,12.9
01/11/18,13.1,13.2,12.6,12.8
02/11/18,12.9,13.1,12.8,12.8
05/11/18,12.7,12.7,12.5,12.5
06/11/18,12.6,12.9,12.5,12.6
07/11/18,12.7,12.7,12.1,12.4
08/11/18,12.5,12.6,12.3,12.3
09/11/18,12.2,12.5,12.1,12.3
12/11/18,11.7,11.8,10.3,10.4
13/11/18,10.3,11.4,10,11.2
