date,open,high,low,close
03/01/18,2.78004,2.83491,2.76175,2.81662
04/01/18,2.83491,2.83491,2.74346,2.81662
05/01/18,2.81662,2.81662,2.76175,2.78004
08/01/18,2.78004,2.81662,2.76175,2.76175
09/01/18,2.78004,2.78004,2.78004,2.78004
10/01/18,2.78004,2.79833,2.76175,2.76175
11/01/18,2.76175,2.79833,2.74346,2.76175
12/01/18,2.78004,2.79833,2.76175,2.79833
15/01/18,2.79833,2.83491,2.79833,2.81662
16/01/18,2.83491,2.87149,2.79833,2.83491
17/01/18,2.81662,2.83491,2.78004,2.81662
18/01/18,2.83491,2.8532,2.79833,2.81662
19/01/18,2.81662,2.8532,2.79833,2.8532
22/01/18,2.8532,2.8532,2.78004,2.78004
23/01/18,2.79833,2.81662,2.76175,2.78004
24/01/18,2.78004,2.79833,2.76175,2.76175
25/01/18,2.76175,2.79833,2.68859,2.70688
26/01/18,2.70688,2.74346,2.63372,2.74346
29/01/18,2.74346,2.78004,2.72517,2.74346
30/01/18,2.74346,2.76175,2.6703,2.70688
31/01/18,2.70688,2.70688,2.65201,2.65201
01/02/18,2.65201,2.70688,2.63372,2.65201
02/02/18,2.6703,2.72517,2.65201,2.65201
05/02/18,2.63372,2.6703,2.61543,2.65201
06/02/18,2.59714,2.70688,2.57885,2.68859
07/02/18,2.70688,2.74346,2.68859,2.70688
08/02/18,2.70688,2.72517,2.6703,2.68859
09/02/18,2.65201,2.74346,2.63372,2.70688
12/02/18,2.70688,2.72517,2.6703,2.70688
13/02/18,2.70688,2.70688,2.63372,2.6703
14/02/18,2.65201,2.6703,2.63372,2.65201
15/02/18,2.6703,2.68859,2.65201,2.65201
16/02/18,2.65201,2.68859,2.65201,2.6703
19/02/18,2.6703,2.68859,2.65201,2.6703
20/02/18,2.6703,2.68859,2.65201,2.65201
21/02/18,2.65201,2.6703,2.63372,2.65201
22/02/18,2.65201,2.6703,2.61543,2.61543
23/02/18,2.63372,2.6703,2.61543,2.65201
26/02/18,2.6703,2.72517,2.6703,2.72517
27/02/18,2.74346,2.74346,2.6703,2.74346
28/02/18,2.74346,2.74346,2.70688,2.74346
02/03/18,2.72517,2.74346,2.6703,2.68859
05/03/18,2.68859,2.68859,2.65201,2.6703
06/03/18,2.63372,2.63372,2.63372,2.63372
07/03/18,2.63372,2.68859,2.63372,2.6703
08/03/18,2.6703,2.68859,2.63372,2.68859
09/03/18,2.68859,2.68859,2.63372,2.65201
12/03/18,2.68859,2.70688,2.65201,2.68859
13/03/18,2.68859,2.68859,2.59714,2.63372
14/03/18,2.63372,2.65201,2.59714,2.59714
15/03/18,2.57885,2.59714,2.45082,2.54227
16/03/18,2.57885,2.59714,2.52398,2.52398
19/03/18,2.54227,2.59714,2.54227,2.54227
20/03/18,2.54227,2.59714,2.54227,2.56056
21/03/18,2.59714,2.63372,2.54227,2.57885
22/03/18,2.57885,2.59714,2.54227,2.56056
23/03/18,2.54227,2.56056,2.52398,2.54227
26/03/18,2.54227,2.57885,2.54227,2.56056
27/03/18,2.56056,2.59714,2.52398,2.52398
28/03/18,2.52398,2.54227,2.48741,2.50569
29/03/18,2.46912,2.46912,2.26793,2.30451
30/03/18,2.3228,2.35938,2.23135,2.34109
02/04/18,2.3228,2.37767,2.30451,2.35938
03/04/18,2.34109,2.37767,2.3228,2.3228
04/04/18,2.3228,2.34109,2.15819,2.19477
05/04/18,2.21306,2.23135,2.15819,2.19477
09/04/18,2.21306,2.23135,2.1399,2.17648
10/04/18,2.19477,2.23135,2.17648,2.21306
11/04/18,2.23135,2.28622,2.21306,2.24964
12/04/18,2.24964,2.26793,2.21306,2.24964
17/04/18,2.24964,2.30451,2.23135,2.28622
18/04/18,2.3228,2.37767,2.30451,2.34109
19/04/18,2.35938,2.37767,2.24964,2.30451
20/04/18,2.30451,2.3228,2.26793,2.3228
23/04/18,2.26793,2.28622,2.21306,2.21306
24/04/18,2.23135,2.23135,2.17648,2.19477
25/04/18,2.17648,2.19477,2.1399,2.15819
26/04/18,2.15819,2.19477,2.15819,2.15819
27/04/18,2.15819,2.17648,2.10332,2.15819
30/04/18,2.17648,2.19477,2.15819,2.15819
02/05/18,2.1399,2.19477,2.1399,2.17648
03/05/18,2.15819,2.17648,2.1399,2.1399
04/05/18,2.1399,2.15819,2.06674,2.06674
07/05/18,2.06674,2.10332,2.06674,2.10332
08/05/18,2.10332,2.17648,2.06674,2.15819
09/05/18,2.1399,2.15819,2.10332,2.15819
10/05/18,2.15819,2.17648,2.1399,2.15819
11/05/18,2.15819,2.21306,2.12161,2.21306
14/05/18,2.19477,2.21306,2.17648,2.17648
15/05/18,2.19477,2.21306,2.17648,2.21306
16/05/18,2.19477,2.21306,2.15819,2.17648
17/05/18,2.17648,2.17648,2.10332,2.10332
18/05/18,2.10332,2.1399,2.08503,2.12161
21/05/18,2.12161,2.23135,2.12161,2.23135
22/05/18,2.23135,2.26793,2.19477,2.26793
23/05/18,2.24964,2.26793,2.21306,2.24964
24/05/18,2.23135,2.24964,2.19477,2.19477
25/05/18,2.21306,2.23135,2.19477,2.23135
28/05/18,2.24964,2.34109,2.21306,2.30451
30/05/18,2.26793,2.30451,2.24964,2.30451
31/05/18,2.30451,2.3228,2.26793,2.26793
01/06/18,2.26793,2.28622,2.24964,2.26793
04/06/18,2.24964,2.26793,2.24964,2.24964
05/06/18,2.26793,2.3228,2.24964,2.30451
06/06/18,2.3228,2.34109,2.28622,2.3228
07/06/18,2.3228,2.34109,2.28622,2.28622
08/06/18,2.28622,2.28622,2.23135,2.24964
11/06/18,2.24964,2.28622,2.23135,2.26793
12/06/18,2.26793,2.3228,2.26793,2.26793
13/06/18,2.26793,2.3228,2.26793,2.28622
14/06/18,2.26793,2.28622,2.23135,2.24964
15/06/18,2.24964,2.28622,2.23135,2.26793
18/06/18,2.24964,2.26793,2.23135,2.23135
19/06/18,2.21306,2.23135,2.1399,2.15819
20/06/18,2.15819,2.21306,2.15819,2.17648
21/06/18,2.17648,2.21306,2.10332,2.12161
22/06/18,2.15819,2.15819,2.08503,2.10332
25/06/18,2.12161,2.12161,2.06674,2.08503
26/06/18,2.06674,2.12161,2.06674,2.10332
27/06/18,2.10332,2.1399,2.10332,2.12161
28/06/18,2.1399,2.15819,2.10332,2.12161
29/06/18,2.1399,2.15819,2.06674,2.10332
02/07/18,2.08503,2.12161,2.04845,2.10332
03/07/18,2.10332,2.1399,2.08503,2.10332
04/07/18,2.08503,2.19477,2.08503,2.15819
05/07/18,2.15819,2.17648,2.10332,2.10332
06/07/18,2.12161,2.15819,2.08503,2.12161
09/07/18,2.1399,2.21306,2.12161,2.21306
10/07/18,2.21306,2.23135,2.17648,2.21306
11/07/18,2.17648,2.21306,2.17648,2.19477
12/07/18,2.19477,2.21306,2.17648,2.19477
13/07/18,2.21306,2.30451,2.19477,2.28622
16/07/18,2.26793,2.30451,2.23135,2.26793
17/07/18,2.26793,2.30451,2.15819,2.17648
18/07/18,2.17648,2.23135,2.15819,2.19477
19/07/18,2.17648,2.21306,2.17648,2.17648
20/07/18,2.10332,2.10332,1.99358,2.04845
23/07/18,2.03016,2.04845,1.97529,1.99358
24/07/18,2.01187,2.04845,1.97529,2.04845
25/07/18,2.04845,2.08503,2.03016,2.06674
26/07/18,2.10332,2.10332,2.04845,2.06674
31/07/18,2.08503,2.12161,2.06674,2.10332
01/08/18,2.12161,2.12161,2.08503,2.08503
02/08/18,2.08503,2.12161,2.06674,2.08503
03/08/18,2.08503,2.12161,2.06674,2.10332
06/08/18,2.10332,2.12161,2.06674,2.06674
07/08/18,2.06674,2.08503,2.04845,2.06674
08/08/18,2.08503,2.10332,2.06674,2.08503
09/08/18,2.08503,2.10332,2.06674,2.10332
10/08/18,2.08503,2.10332,2.06674,2.08503
14/08/18,2.06674,2.08503,2.04845,2.06674
15/08/18,2.06674,2.08503,2.04845,2.04845
16/08/18,2.06674,2.08503,2.04845,2.06674
17/08/18,2.06674,2.08503,2.04845,2.04845
20/08/18,2.06674,2.06674,1.957,1.97529
21/08/18,2.01187,2.03016,1.97529,1.99358
22/08/18,2.01187,2.01187,1.97529,1.99358
23/08/18,2.01187,2.01187,1.97529,1.99358
24/08/18,1.99358,1.99358,1.97529,1.99358
27/08/18,1.99358,2.01187,1.97529,2.01187
28/08/18,2.01187,2.03016,1.99358,2.01187
29/08/18,2.01187,2.01187,1.99358,1.99358
30/08/18,2.01187,2.03016,1.99358,2.01187
31/08/18,2.01187,2.03016,1.99358,2.01187
03/09/18,2.01187,2.03016,1.99358,2.01187
04/09/18,2.01187,2.03016,1.99358,2.01187
05/09/18,1.99358,2.01187,1.97529,1.99358
06/09/18,1.99358,2.01187,1.97529,1.99358
07/09/18,1.99358,2.01187,1.97529,1.99358
10/09/18,1.99358,2.01187,1.97529,1.99358
11/09/18,1.99358,2.01187,1.97529,1.97529
12/09/18,1.97529,1.97529,1.957,1.957
13/09/18,1.97529,2.01187,1.97529,1.99358
14/09/18,1.99358,2.03016,1.97529,2.01187
17/09/18,2.01187,2.04845,1.99358,2.04845
18/09/18,2.04845,2.12161,2.03016,2.08503
19/09/18,2.21306,2.28622,2.1399,2.17648
20/09/18,2.17648,2.19477,2.12161,2.17648
21/09/18,2.19477,2.23135,2.17648,2.17648
24/09/18,2.17648,2.23135,2.15819,2.19477
25/09/18,2.19477,2.23135,2.19477,2.21306
26/09/18,2.21306,2.23135,2.15819,2.17648
27/09/18,2.17648,2.17648,2.10332,2.12161
28/09/18,2.1399,2.15819,2.10332,2.10332
01/10/18,2.12161,2.15819,2.10332,2.1399
02/10/18,2.1399,2.15819,2.12161,2.1399
03/10/18,2.1399,2.19477,2.12161,2.15819
04/10/18,2.15819,2.17648,2.10332,2.12161
05/10/18,2.1399,2.15819,2.12161,2.15819
08/10/18,2.15819,2.15819,2.12161,2.12161
09/10/18,2.12161,2.15819,2.12161,2.1399
10/10/18,2.15819,2.15819,2.12161,2.1399
11/10/18,2.08503,2.10332,2.06674,2.08503
12/10/18,2.10332,2.12161,2.08503,2.10332
16/10/18,2.12161,2.15819,2.12161,2.1399
17/10/18,2.15819,2.17648,2.04845,2.06674
18/10/18,2.06674,2.08503,2.04845,2.04845
19/10/18,2.06674,2.08503,2.04845,2.06674
22/10/18,2.06674,2.10332,2.04845,2.08503
24/10/18,2.04845,2.10332,2.04845,2.06674
25/10/18,2.04845,2.08503,2.04845,2.08503
26/10/18,2.06674,2.08503,2.04845,2.04845
29/10/18,2.04845,2.08503,2.04845,2.04845
30/10/18,2.06674,2.08503,2.04845,2.04845
31/10/18,2.06674,2.08503,2.06674,2.08503
01/11/18,2.10332,2.1399,2.06674,2.12161
02/11/18,2.12161,2.17648,2.10332,2.15819
05/11/18,2.15819,2.19477,2.1399,2.15819
06/11/18,2.15819,2.17648,2.10332,2.10332
07/11/18,2.12161,2.1399,2.10332,2.1399
08/11/18,2.15819,2.15819,2.1399,2.15819
09/11/18,2.1399,2.15819,2.12161,2.12161
12/11/18,2.1399,2.1399,2.12161,2.12161
13/11/18,2.12161,2.1399,2.10332,2.12161
14/11/18,2.1399,2.1399,2.10332,2.12161
15/11/18,2.10332,2.15819,2.10332,2.12161
16/11/18,2.12161,2.1399,2.10332,2.10332
19/11/18,2.12161,2.1399,2.10332,2.12161
20/11/18,2.10332,2.12161,2.04845,2.04845
21/11/18,2.03016,2.10332,2.03016,2.08503
22/11/18,2.08503,2.10332,2.04845,2.06674
23/11/18,2.06674,2.08503,2.04845,2.06674
26/11/18,2.08503,2.10332,2.06674,2.10332
27/11/18,2.10332,2.10332,2.08503,2.10332
28/11/18,2.12161,2.12161,2.10332,2.10332
29/11/18,2.12161,2.12161,2.08503,2.08503
