date,open,high,low,close
03/01/18,32.75,33.5,32.25,33
04/01/18,33.25,33.5,32.5,33.25
05/01/18,33.25,33.5,33,33
08/01/18,33,33,31.5,31.75
09/01/18,30.75,30.75,30.75,30.75
10/01/18,31.25,33.75,31.25,33.25
11/01/18,33,34,32,34
12/01/18,34,34.5,33,33.5
15/01/18,33.75,34,33,33
16/01/18,33,33.25,32.25,32.5
17/01/18,32.5,33.75,32.5,33.5
18/01/18,33.5,33.5,32.75,32.75
19/01/18,32.75,33,32,32.75
22/01/18,32.5,33.25,32.25,33
23/01/18,33,33.25,32.25,32.25
24/01/18,32.5,32.75,32.25,32.5
25/01/18,32.5,33,31.25,31.5
26/01/18,31.5,31.75,30.5,31.25
29/01/18,31.25,31.5,30.75,31
30/01/18,31,31.25,30.5,31.25
31/01/18,31,31.25,30.75,31
01/02/18,31,32.5,31,31.75
02/02/18,32,32.25,31.75,31.75
05/02/18,31.25,31.5,31,31
06/02/18,30.25,31.5,30,31.5
07/02/18,31.75,31.75,31,31
08/02/18,31.25,31.75,31,31.75
09/02/18,31,33.25,31,33
12/02/18,33.25,33.75,32.75,33.5
13/02/18,33.75,35,33.25,34.5
14/02/18,34.5,34.75,33.75,34.5
15/02/18,34.5,34.5,33.5,34.25
16/02/18,34,35.5,33.75,35.25
19/02/18,35.5,35.75,34.5,34.5
20/02/18,34.75,34.75,33.75,34
21/02/18,34.25,34.5,32.75,34
22/02/18,33.5,34,33.25,33.25
23/02/18,33.5,34.25,33.5,34
26/02/18,34,34.25,33.75,34.25
27/02/18,33.75,35,33.75,34.5
28/02/18,34.5,34.75,34,34.5
02/03/18,34.5,34.75,33.75,33.75
05/03/18,34,34.25,33.25,34.25
06/03/18,34,34,34,34
07/03/18,33.75,35.25,33.75,35
08/03/18,35,35.25,34,34.5
09/03/18,34.5,36.25,34.5,35.5
12/03/18,35.5,36.75,35.5,36.75
13/03/18,36.75,37,36,36.5
14/03/18,36.5,38.5,35.5,36.25
15/03/18,36,36.75,35.5,36.5
16/03/18,36.5,37,36.25,36.25
19/03/18,36.25,37.25,36.25,37
20/03/18,37,37.75,37,37
21/03/18,37,37.25,35.75,36
22/03/18,36,37,36,36.75
23/03/18,36.25,36.75,36,36.25
26/03/18,36.25,38,36,38
27/03/18,38.5,39.5,38,38.75
28/03/18,38.75,39.5,38.25,38.5
29/03/18,38.5,38.75,37.75,38.5
30/03/18,38.5,39.5,37.5,39.5
02/04/18,39.25,40.25,39.25,39.75
03/04/18,39.75,39.75,38,38
04/04/18,38,39,36,37
05/04/18,37.5,38.75,37.5,38.75
09/04/18,39,41,38.5,40
10/04/18,40.5,40.5,39.25,40
11/04/18,39.75,39.75,39.25,39.25
12/04/18,39.25,40.25,39.25,39.75
17/04/18,39.5,40,39.5,39.75
18/04/18,39.5,39.75,38.5,38.5
19/04/18,38.75,39.5,38.75,38.75
20/04/18,38.75,39,37.75,38.5
23/04/18,38.75,39,38.25,38.25
24/04/18,38.5,38.5,37.75,38
25/04/18,37.25,37.5,36.75,37.5
26/04/18,37.75,37.75,37.25,37.25
27/04/18,37.5,38.5,37.25,38.25
30/04/18,38.25,38.75,37.75,38.25
02/05/18,38.25,39.25,38.25,39.25
03/05/18,39,40,39,39.5
04/05/18,39.25,40.5,39.25,39.75
07/05/18,39.75,40,39.5,40
08/05/18,40,40,39,40
09/05/18,40,40.25,39,39
10/05/18,39,39.25,38,38
11/05/18,38.25,39,38.25,38.25
14/05/18,38.25,40.25,38.25,39.5
15/05/18,38.75,38.75,37.75,38.5
16/05/18,38.25,38.5,37.75,38
17/05/18,38.25,38.75,38.25,38.5
18/05/18,38.75,40,38.75,39.5
21/05/18,39.25,40.75,39.25,40.25
22/05/18,40.25,40.5,38.75,38.75
23/05/18,38.5,40.75,38.5,40
24/05/18,40.25,40.75,39.75,39.75
25/05/18,40.25,40.25,39.5,40
28/05/18,40,40,39,39
30/05/18,38.5,38.75,38,38.25
31/05/18,38.75,39.5,38.5,38.5
01/06/18,38.5,40,38.5,39.75
04/06/18,39.75,42,39.5,42
05/06/18,41.75,42.5,41,42.5
06/06/18,42.5,42.75,42,42.75
07/06/18,43,43,42.25,42.25
08/06/18,42.5,42.75,42,42.5
11/06/18,41.75,42.5,40.75,41.75
12/06/18,42,42.75,41.75,41.75
13/06/18,41.75,42.5,41.75,42
14/06/18,42,42,41.25,41.75
15/06/18,42,42.25,41.25,41.25
18/06/18,41,41.5,40.25,40.75
19/06/18,40.25,40.75,39.25,40
20/06/18,40,41,39.75,40.5
21/06/18,40.75,40.75,39,40
22/06/18,38.75,39.5,37.5,39.5
25/06/18,38.75,40,38.75,39.25
26/06/18,39.25,40.25,39,40
27/06/18,40,40.25,39.75,40.25
28/06/18,40,40.25,38,38
29/06/18,37.75,38,36.75,38
02/07/18,38,38,36,36.75
03/07/18,36.25,37.5,34.75,37.25
04/07/18,37.75,38,36.75,37.75
05/07/18,37.5,37.5,36.75,37.25
06/07/18,37.25,38.5,36.75,38.25
09/07/18,38.5,38.75,38,38.25
10/07/18,38.5,38.75,38,38.5
11/07/18,38.5,38.5,38,38
12/07/18,38,38.25,37.75,37.75
13/07/18,38,38.5,37.75,38
16/07/18,37.75,38.25,37.5,38.25
17/07/18,38.25,38.25,37.75,38.25
18/07/18,38.25,38.25,37.75,37.75
19/07/18,38.25,38.25,37.75,37.75
20/07/18,37.5,38,37.5,37.75
23/07/18,37.5,39,37.5,38.25
24/07/18,38.5,38.75,38,38
25/07/18,37.75,38.5,37.75,38
26/07/18,38.25,38.5,38,38.5
31/07/18,38.75,39,38.25,39
01/08/18,39.5,40.25,39.5,39.5
02/08/18,39.25,39.25,38.5,38.75
03/08/18,38.75,38.75,38.25,38.5
06/08/18,38.75,39,38.25,38.25
07/08/18,38.5,38.75,38.25,38.5
08/08/18,38.5,38.75,38,38.25
09/08/18,38.5,38.5,38,38
10/08/18,38,38,37.25,37.5
14/08/18,37.5,37.5,36.5,37
15/08/18,36,37,35.5,36.25
16/08/18,36.5,37,36.25,36.25
17/08/18,36.5,36.5,35,35
20/08/18,34.75,35,34.5,35
21/08/18,35.25,35.5,34.5,35
22/08/18,35,35,34,34.5
23/08/18,34.5,34.5,33.5,33.75
24/08/18,33.75,34.25,33.5,33.75
27/08/18,33.75,34.5,33.75,34.5
28/08/18,34.5,35,33.75,34.75
29/08/18,35,35,34.5,34.5
30/08/18,34.75,35.5,34.75,35
31/08/18,34.75,36,34.75,35.75
03/09/18,36,36.75,35.75,36.5
04/09/18,36.5,36.75,35.75,35.75
05/09/18,35.5,35.75,35.25,35.5
06/09/18,35.75,36.25,34.75,36.25
07/09/18,36,36.5,35.5,35.75
10/09/18,36,36.25,35.25,36
11/09/18,36,36.25,34.5,34.75
12/09/18,34.5,35,34.5,35
13/09/18,35.25,35.75,35.25,35.25
14/09/18,35.5,35.75,35.25,35.25
17/09/18,35,36,34.75,35.75
18/09/18,35.5,36.25,35.5,35.75
19/09/18,35.75,36,35.5,35.5
20/09/18,35.75,36.75,35.25,36
21/09/18,36.5,38,36.25,38
24/09/18,38,38.75,37.25,37.5
25/09/18,37.75,38.5,37.5,37.75
26/09/18,38,38.5,37.75,38
27/09/18,37.75,38.25,37.5,38.25
28/09/18,38.25,38.25,37.75,37.75
01/10/18,38.25,38.25,37.75,37.75
02/10/18,37.75,37.75,37,37
03/10/18,37,37.25,36.5,36.5
04/10/18,36.75,36.75,36,36
05/10/18,36.25,36.75,36,36.5
08/10/18,36.5,37,35.75,35.75
09/10/18,35.75,36.25,35,35.25
10/10/18,35.5,35.75,35,35.5
11/10/18,34.5,35,34,35
12/10/18,35.5,35.5,34.5,34.75
16/10/18,34.75,35.25,34,34.75
17/10/18,35,35.25,34.25,34.25
18/10/18,34.25,34.5,34,34.25
19/10/18,34.25,34.5,34,34
22/10/18,34.25,34.25,33,33.25
24/10/18,33.25,34.25,32.5,34
25/10/18,33,34,32.75,34
26/10/18,33.5,33.75,33,33
29/10/18,33,33.5,32.75,32.75
30/10/18,33,33.5,32.75,33.5
31/10/18,33.75,34,33.5,33.75
01/11/18,33.75,34.25,33.75,33.75
02/11/18,34.5,34.5,34,34.25
05/11/18,33.5,34.25,33.5,34
06/11/18,34,34,33.75,33.75
07/11/18,33.75,34,33.5,34
08/11/18,34,34.25,33.5,33.5
09/11/18,33.25,33.75,33.25,33.5
12/11/18,34,34,33.25,33.5
13/11/18,33,33.75,33,33.5
14/11/18,34,35.5,34,35
15/11/18,35,35.5,35,35
16/11/18,34.75,35.25,34,35
19/11/18,35.25,36.25,34.75,36
20/11/18,35.5,36.75,35.5,36.25
21/11/18,36.5,37,36,36.75
22/11/18,36.75,36.75,36,36
23/11/18,36,36.5,36,36.5
26/11/18,36.5,36.75,36.25,36.5
27/11/18,36.25,36.5,36,36
28/11/18,36,36.5,35.75,36.25
29/11/18,36.5,36.75,36.25,36.75
30/11/18,36.75,37,36,36.75
03/12/18,36.75,36.75,36.25,36.75
04/12/18,36.75,36.75,35.75,35.75
06/12/18,35.25,35.5,34.75,35.25
07/12/18,35.25,35.25,34.5,34.75
11/12/18,34.25,34.25,33.5,33.5
12/12/18,34,34,33,33
13/12/18,33.25,34,33.25,34
14/12/18,34,34.25,33.25,34.25
17/12/18,34,34.5,33,33
18/12/18,32.75,34,32.5,34
19/12/18,34.25,34.25,33.5,34
20/12/18,33.5,33.75,33,33.5
21/12/18,33.75,34,33.25,34
24/12/18,33.25,33.75,33,33
25/12/18,32.75,33,32.5,32.75
26/12/18,32.5,32.75,31.75,32.25
27/12/18,33.25,34,32.75,33
28/12/18,33,33.75,32.75,33
02/01/19,33,33.25,32.5,33
03/01/19,33.25,33.25,32,32
04/01/19,32.25,33.75,31.5,33.5
07/01/19,33.75,33.75,32.75,33
08/01/19,33,33.75,32.75,33.5
09/01/19,33.5,34,33.25,33.25
10/01/19,33.25,33.5,32.75,33.5
11/01/19,33.5,33.75,33.25,33.5
14/01/19,33.5,34,33.25,33.75
15/01/19,33.75,34.5,33.5,34.5
16/01/19,34.5,35.5,34.5,35.5
17/01/19,35.75,36.5,35.25,36
18/01/19,36.5,36.75,36,36
21/01/19,36,36.5,36,36.25
22/01/19,36,36.25,35.75,35.75
23/01/19,35.75,36,35.5,35.5
24/01/19,35.75,35.75,35,35.25
25/01/19,35.25,36,35,35.25
28/01/19,35.25,35.5,34.75,35
29/01/19,35,35.25,34.5,35
30/01/19,35,35.25,34.75,35
31/01/19,35.25,36.75,35.25,35.75
01/02/19,36,36.75,35.75,36.5
04/02/19,36.75,37.5,36.75,37.5
05/02/19,37.5,37.75,36.5,37.25
06/02/19,37.25,37.25,36.75,36.75
07/02/19,36.75,37,35.75,36.25
08/02/19,36.5,36.75,35.75,36.25
11/02/19,36,37,36,36.5
12/02/19,36.25,37,36.25,36.5
13/02/19,36.5,37.25,36.5,37
14/02/19,37,37.25,36.75,37
15/02/19,37,37,36,36.25
18/02/19,36,36.5,36,36
20/02/19,36.25,36.25,35.75,36
21/02/19,36,36.25,35.75,36
22/02/19,36.25,36.75,36,36.75
25/02/19,36.75,36.75,36.25,36.25
26/02/19,36.25,36.75,36.25,36.25
27/02/19,36.25,36.5,36,36.25
28/02/19,36,36,34.5,35
01/03/19,35,35.25,34.75,35.25
04/03/19,34.75,35.5,34.75,35
05/03/19,35,35.25,34.75,35
06/03/19,35.25,35.25,34,34
07/03/19,34,35,33.75,34
08/03/19,34.25,34.5,33,33.5
11/03/19,33.75,33.75,33.25,33.5
12/03/19,33.75,33.75,32.75,33.25
13/03/19,33.25,33.25,32.5,32.75
14/03/19,33,33.75,32.75,33
15/03/19,33,33.5,32.75,32.75
18/03/19,33,33,32,32.5
19/03/19,32.5,33.25,32.25,32.75
20/03/19,32.75,33,31.75,31.75
21/03/19,31.75,32.25,31.5,32
22/03/19,31.75,32,31.5,31.75
25/03/19,31.5,32,31.25,31.5
26/03/19,31.25,31.75,30.75,31.5
27/03/19,31.5,31.75,31,31.5
28/03/19,31.25,32.25,31,32.25
29/03/19,32.5,32.5,31.5,32.25
01/04/19,32.25,32.25,31.5,31.5
02/04/19,32.25,32.25,31.5,31.75
03/04/19,31.75,32,31.5,31.75
04/04/19,31.75,32,31.25,31.5
05/04/19,31.5,32.5,31.5,32
09/04/19,32,32.5,31.25,31.5
10/04/19,31.5,32,31.25,31.75
11/04/19,31.75,32,31.5,31.75
12/04/19,31.5,31.75,31,31
17/04/19,31.25,31.75,31,31.5
18/04/19,31.25,31.5,31,31
19/04/19,31.25,31.5,31,31.25
22/04/19,31.25,31.5,31,31.5
23/04/19,31.5,31.5,30.75,31
24/04/19,31.25,31.25,30.75,31.25
25/04/19,31.25,31.5,31,31.25
26/04/19,31.25,31.5,31,31.25
29/04/19,31.25,31.5,31,31.5
30/04/19,31.25,31.75,31,31.5
02/05/19,31.5,32,31.25,31.75
03/05/19,31.75,32.25,31.25,31.25
07/05/19,31.25,31.5,31,31
08/05/19,30.75,31.25,29.5,29.5
09/05/19,29.5,30.25,29.5,29.75
10/05/19,30.25,31,29.75,30
13/05/19,30,30.5,29.5,29.5
14/05/19,30,30.25,29.5,29.5
15/05/19,30.25,30.5,29.75,30.25
16/05/19,30.5,32,30.25,31.5
17/05/19,31.5,32,31,31.25
21/05/19,31,31.25,30.75,31.25
22/05/19,31.25,31.5,31,31.25
23/05/19,31,31.25,30.5,30.5
24/05/19,30.75,31.5,30,31.5
27/05/19,31.5,32,31.25,32
28/05/19,31.75,32,31.25,32
29/05/19,32,32,31.25,31.25
30/05/19,31,31.25,30.5,31
31/05/19,30.75,31.25,30.75,31.25
04/06/19,31.25,32.25,31.25,32
05/06/19,32.25,32.25,32,32
06/06/19,31.75,32,31.5,31.75
07/06/19,31.75,33.75,31.75,33.5
10/06/19,33.75,34.5,33.5,33.5
11/06/19,33,33.75,33,33.5
12/06/19,33.5,34.5,33.5,34.25
13/06/19,34,34.5,34,34.5
14/06/19,34.25,34.5,33.75,34
17/06/19,34.25,34.5,34,34
18/06/19,34,36.5,34,35.75
19/06/19,36.5,37,35.75,35.75
20/06/19,36,37,36,37
21/06/19,37,37.25,36.5,36.75
24/06/19,37,37,36,36.25
25/06/19,36.25,37.5,36.25,36.75
26/06/19,36.5,37,36,36.75
27/06/19,37,37.5,36.5,37
28/06/19,36.75,37.25,36.25,36.5
