date,open,high,low,close
03/01/18,103,107.5,102.5,107
04/01/18,108,108,105.5,106.5
05/01/18,105.5,108,105.5,107
08/01/18,106.5,107,104,104.5
09/01/18,104,104,104,104
10/01/18,103.5,103.5,99.5,99.5
11/01/18,98.75,101,98,101
12/01/18,102,103,101,102
15/01/18,103,103.5,100.5,101.5
16/01/18,102,102.5,100.5,101.5
17/01/18,100.5,100.5,98.5,99.5
18/01/18,100,101,99,99
19/01/18,99.75,101.5,99.25,100.5
22/01/18,100.5,101.5,99.5,100.5
23/01/18,101,102,99.5,102
24/01/18,101.5,103,100.5,101
25/01/18,102.5,103,101.5,101.5
26/01/18,102.5,105.5,101.5,105
29/01/18,106,106.5,103,105
30/01/18,104.5,104.5,102,103.5
31/01/18,102,103,101.5,102.5
01/02/18,102.5,104,101.5,104
02/02/18,104,104.5,101.5,102
05/02/18,99.5,101.5,99.25,100.5
06/02/18,97.75,101,96.5,100.5
07/02/18,101,101.5,99,101
08/02/18,99.5,100.5,99.25,99.25
09/02/18,97.75,99.25,97.5,99
12/02/18,98.75,99.5,98.25,99
13/02/18,99,99.25,98.25,99
14/02/18,99,101,99,101
15/02/18,101.5,101.5,99.75,100
16/02/18,101,101.5,100,101
19/02/18,101,102.5,101,102
20/02/18,102,102.5,101,102
21/02/18,102,102.5,99.75,101
22/02/18,101,101,99.5,99.5
23/02/18,99.75,101.5,99.75,100.5
26/02/18,101,104.5,101,104.5
27/02/18,102,103,101,101.5
28/02/18,101.5,103,101,103
02/03/18,102,103,99.25,99.75
05/03/18,100,100,96.25,98
06/03/18,98,98,98,98
07/03/18,97,97.25,96.5,96.5
08/03/18,96.75,98.25,96.5,97
09/03/18,97,97.75,94.75,96.5
12/03/18,97.75,99.25,97.25,98.5
13/03/18,98.5,99.25,98.25,99
14/03/18,99.25,101,99,100.5
15/03/18,100.5,100.5,99.5,99.5
16/03/18,99,99.5,98.5,99.25
19/03/18,98.75,99.25,98,98.5
20/03/18,97.25,97.75,95.5,96.5
21/03/18,96.5,97,96,96.25
22/03/18,96.25,97.5,96,96.25
23/03/18,95.25,96,95.25,95.25
26/03/18,95.25,96.25,95,95.75
27/03/18,96.25,96.25,94.75,95.25
28/03/18,95.25,95.75,94,94.25
29/03/18,94.75,94.75,89,90.75
30/03/18,91.75,92.75,88.75,91.75
02/04/18,92.25,92.5,91.5,92
03/04/18,91.75,92,90,90
04/04/18,90.5,90.75,88,89
05/04/18,89,92.25,88,91.5
09/04/18,91.25,92.75,91,92
10/04/18,92,92.25,89.25,90.75
11/04/18,91.5,92.25,90.75,92
12/04/18,92.25,94,92,93.75
17/04/18,95,95,92.25,92.5
18/04/18,92.5,94.5,92.5,94
19/04/18,94.75,96.25,94.5,95.75
20/04/18,95.5,95.75,90.75,93
23/04/18,93.25,94,92,93
24/04/18,94,94,92.25,92.5
25/04/18,92,92.5,89.5,90.5
26/04/18,91.25,93,91,92.5
27/04/18,94,94,91.75,93
30/04/18,93.25,95,93.25,94.25
02/05/18,93.25,93.75,92.25,93.5
03/05/18,93,95,92.75,94
04/05/18,93.5,95.5,93.5,94.25
07/05/18,95.25,96.25,95.25,96.25
08/05/18,96,96.25,94.25,96
09/05/18,95.75,96,94,94
10/05/18,94.5,94.75,90.75,91.25
11/05/18,90,91,89,90
14/05/18,90.75,91.5,89.75,90
15/05/18,90,90.75,88,88.5
16/05/18,88,88.25,85,85.5
17/05/18,87.5,88.5,86.75,88
18/05/18,87.5,89,86.75,88
21/05/18,88,89.25,88,88.5
22/05/18,88.5,88.75,87.75,88.5
23/05/18,88.25,88.5,87,87.5
24/05/18,87.25,87.75,85.5,86
25/05/18,86.25,89.25,86,88.5
28/05/18,88.75,91,88.75,90
30/05/18,89,92,88,91
31/05/18,91,92,90.5,92
01/06/18,88.5,88.75,86.25,87
04/06/18,87.25,89,87.25,88.75
05/06/18,87.5,87.75,85.75,86.5
06/06/18,86.75,88.5,86.75,88.25
07/06/18,88.25,89.25,88,88
08/06/18,88,88.75,87,87.5
11/06/18,87.5,88.25,86.75,88
12/06/18,89,89,87,87
13/06/18,86.5,86.5,85.25,85.5
14/06/18,83.5,83.75,81.25,81.5
15/06/18,81.5,82.75,80.5,82
18/06/18,81.25,81.75,79.75,79.75
19/06/18,78.5,79.75,77,77
20/06/18,78,81.75,77,81.75
21/06/18,81.25,81.5,78.25,78.25
22/06/18,79.5,80.75,79,80
25/06/18,80,80.75,77,77
26/06/18,77,80,76.25,78.5
27/06/18,79,79.5,76.75,77.25
28/06/18,77.75,78.75,77.25,77.5
29/06/18,78,78,76.5,77.75
02/07/18,77.25,78,72.25,73.75
03/07/18,74,75.5,73.5,75.25
04/07/18,74.5,74.75,71.5,72.25
05/07/18,71.25,71.5,69.75,70.25
06/07/18,70.25,70.75,68.25,69
09/07/18,70.25,71,69.75,70.5
10/07/18,71.25,77,71,76.5
11/07/18,75.75,78.5,75,77
12/07/18,76.25,77.75,76,77.5
13/07/18,77.5,77.75,76.5,76.75
16/07/18,76.25,78.75,76.25,78.25
17/07/18,77,78.25,76.75,78
18/07/18,78.75,79.25,76.75,77
19/07/18,77.5,78.75,77.25,78.25
20/07/18,78.25,79.5,78,79.5
23/07/18,79.25,83.5,78.75,83
24/07/18,82.5,83.75,81,82
25/07/18,81.25,82,80.75,81.25
26/07/18,81.75,82,80.5,81.5
31/07/18,81,81.25,79.5,80.25
01/08/18,80.75,83,80.75,83
02/08/18,82.25,83.25,82,82.25
03/08/18,81.75,83,81.75,82.75
06/08/18,82.75,83.5,80.25,80.75
07/08/18,81.25,81.5,78.25,80.25
08/08/18,80,80,78,78.75
09/08/18,78.5,79.75,78,78.75
10/08/18,79,81.25,78.75,80
14/08/18,79,80.5,79,80.5
15/08/18,81,82,80.5,81
16/08/18,81.5,83.25,81,83
17/08/18,84,84.75,83,83.5
20/08/18,85,85,84,84
21/08/18,83,84.25,82.75,83.25
22/08/18,83.75,86.5,83.25,85.5
23/08/18,86.5,86.5,85,85
24/08/18,84.75,85.5,83.75,85
27/08/18,85.25,86,84.5,85.5
28/08/18,86,86,83.75,84.25
29/08/18,84.75,85.25,84.25,84.75
30/08/18,85,85.25,83.5,83.5
31/08/18,83,84.25,82.75,84.25
03/09/18,85,86.25,85,86
04/09/18,86.5,86.5,85.5,85.75
05/09/18,84.5,85.5,84.5,84.75
06/09/18,84.75,86.25,83.75,86.25
07/09/18,85,85.75,84.25,85.25
10/09/18,85.25,85.75,84.5,85
11/09/18,84.5,85,83.5,83.75
12/09/18,83.25,84.25,82.75,83.75
13/09/18,82.5,85,82.5,84.5
14/09/18,85.25,86.25,84.75,86
17/09/18,86,86,84,84.75
18/09/18,84.25,85,83.5,84.5
19/09/18,84.75,87.75,84.75,86.75
20/09/18,87.75,90,87.75,89
21/09/18,89.25,90,87.25,87.5
24/09/18,86.75,88,86.5,87
25/09/18,87,87.5,85.75,86.25
26/09/18,86.25,87,86,86.5
27/09/18,87,88.25,85.5,88
28/09/18,88.25,88.5,87.75,88.5
01/10/18,89,89,87.5,87.5
02/10/18,87.5,88.25,86,86.5
03/10/18,87,87,86,86.25
04/10/18,85.25,85.75,84,84
05/10/18,85,85.25,83.75,84
08/10/18,83.75,84.75,82.5,82.75
09/10/18,83.5,83.75,82.5,82.75
10/10/18,83.5,84.75,83.5,84.25
11/10/18,82.25,83.25,81.75,82.5
12/10/18,82.5,83.75,82.5,83
16/10/18,82.75,83,82.25,82.5
17/10/18,83.75,87,83.5,85.75
18/10/18,85.5,85.75,84,84
19/10/18,83.25,83.5,81,81
22/10/18,81,81.5,80,80.75
24/10/18,80,80.75,77.5,77.5
25/10/18,77,82,77,81.25
26/10/18,81,81,78.75,79.75
29/10/18,80.5,81.25,80,80.25
30/10/18,80.5,81.25,79.5,80.25
31/10/18,81.25,84.75,80.75,84.75
01/11/18,84,84.5,83.25,84.25
02/11/18,84.25,85,84,84.75
05/11/18,83.5,83.75,82.75,83
06/11/18,83.25,84,81.75,81.75
07/11/18,82.25,84.25,82,84.25
08/11/18,85.25,85.25,84.25,85
09/11/18,84,84.25,80.75,81
12/11/18,80.75,80.75,79.25,79.75
13/11/18,79,79.5,78,78.5
14/11/18,77,77,75.25,75.5
15/11/18,75.75,77.25,75.5,75.75
16/11/18,76.25,77.75,76,77.25
19/11/18,76.75,76.75,76,76.25
20/11/18,75.75,76.25,75,75.25
21/11/18,73.5,74.5,72.75,74.25
22/11/18,74.5,75,73.5,73.75
23/11/18,73.75,74.75,73.25,74.5
26/11/18,74,74.75,73.5,74
27/11/18,74,74.5,73.5,73.75
28/11/18,74,75.75,73.75,75
29/11/18,75,75.75,74.25,75
30/11/18,75,77,75,76
03/12/18,77.75,78.5,77.75,77.75
04/12/18,77.75,78,76.5,77
06/12/18,75.5,75.5,73.75,75
07/12/18,75,75,73,73.5
11/12/18,73.25,73.5,72.5,72.5
12/12/18,72.75,73.25,72,72.25
13/12/18,72.5,72.5,68.25,68.5
14/12/18,68.25,69.75,68.25,68.25
17/12/18,68.75,69.25,66.75,68.25
18/12/18,67.5,67.75,66.75,68.25
19/12/18,66.25,66.5,65,66
20/12/18,66,67,65.5,66
21/12/18,65.5,68.25,65.5,67
24/12/18,67,67.75,66.25,66.75
25/12/18,66,66,65,65.25
26/12/18,65.25,66,65,65.75
27/12/18,67.75,67.75,65,65
28/12/18,65.25,66.75,65.25,66.25
02/01/19,66.25,66.25,62.75,63.75
03/01/19,64.75,64.75,63.5,63.75
04/01/19,64,67.75,63.75,67.25
07/01/19,69,71,68.75,69.75
08/01/19,70,70,68.5,69.75
09/01/19,70.75,70.75,69.25,69.75
10/01/19,69.5,70.5,68.75,69.75
11/01/19,69.5,70.75,69,70.5
14/01/19,70,70.25,67.5,67.5
15/01/19,67.5,68,66.75,67.25
16/01/19,67.25,68.75,66.75,68.5
17/01/19,68.25,69,67.75,68.5
18/01/19,69,69.75,68.5,69.5
21/01/19,70.25,72,70.25,71.75
22/01/19,71.75,73,71.25,73
23/01/19,72.25,73,71.5,72.5
24/01/19,72,72.5,71.25,71.5
25/01/19,72,72,70.5,71
28/01/19,71,72.25,71,71.25
29/01/19,70.75,71,67.75,69
30/01/19,69.25,72,69,72
31/01/19,72.75,73,71,72
01/02/19,72,74.5,71.75,73.75
04/02/19,74,75,73.75,74.75
05/02/19,75,75,73.75,74.5
06/02/19,74.5,75,74,74.5
07/02/19,74.5,75.25,74,74.5
08/02/19,73.5,74.25,72.25,74
11/02/19,73.5,73.75,72.75,73.5
12/02/19,73.5,73.75,73,73.25
13/02/19,73.5,76,73.25,76
14/02/19,76,76.25,75,75.25
15/02/19,75,75,73.75,74.25
18/02/19,74.5,74.5,72.75,73.75
20/02/19,73.75,74.5,73.5,74.25
21/02/19,73.5,73.5,71,72
22/02/19,71.5,74,71.5,73.75
25/02/19,74,74,73.25,74
26/02/19,73.25,74,73,73.5
27/02/19,73.5,73.75,72.75,73.5
28/02/19,72.5,73,72,72.25
01/03/19,72.25,72.5,69,69.25
04/03/19,68.5,70,68,69.75
05/03/19,69.75,72.5,69.25,72.5
06/03/19,72.75,73,71.75,72.25
07/03/19,72,72.25,71,71.75
08/03/19,71.75,72,71,71
11/03/19,70.5,71,69.5,69.5
12/03/19,70.5,71,70,70.25
13/03/19,69.75,70.5,69.25,70.5
14/03/19,70.5,70.5,69.5,69.5
15/03/19,69.75,69.75,69,69
18/03/19,69,69.5,68.25,68.5
19/03/19,68.75,70.5,68.75,70
20/03/19,70,70.25,69.25,69.75
21/03/19,70.25,72,70.25,71.75
22/03/19,71.25,72.25,71,72
25/03/19,70.25,71.25,70,70.5
26/03/19,70.75,70.75,69.5,70.5
27/03/19,70.5,70.75,69.75,70
28/03/19,69.75,70.25,69.25,70
29/03/19,70.25,70.5,69.5,69.5
01/04/19,70,70.5,69.75,70.25
02/04/19,70,71.75,69.75,71
03/04/19,71.5,72.25,71,71.75
04/04/19,71.75,72,71,71.25
05/04/19,71.25,71.5,70.5,70.75
09/04/19,71.25,72.25,71.25,71.5
10/04/19,71.5,71.75,71,71.5
11/04/19,71.5,72.5,71,72
12/04/19,72.25,72.5,71.5,72
17/04/19,72,72.25,71.25,72
18/04/19,71.75,72.25,71.5,72
19/04/19,72,73.5,71.75,73
22/04/19,73.25,74,73,73
23/04/19,73.25,73.25,72.25,72.5
24/04/19,72.5,73,72.25,72.5
25/04/19,72.25,72.75,71.75,71.75
26/04/19,71.75,72,69.5,70
29/04/19,69.5,69.75,68.5,69
30/04/19,69,69.75,68.75,69.25
02/05/19,69.25,69.75,69,69.25
03/05/19,69.25,69.25,68.5,69
07/05/19,68.25,68.75,67.5,67.75
08/05/19,67.25,67.25,66.5,66.5
09/05/19,66.75,67.5,66.5,66.5
10/05/19,67,67.5,66,66.75
13/05/19,66.75,67,64.75,65
14/05/19,64.5,65.25,64,64.75
15/05/19,65,65.75,64.25,64.25
16/05/19,64.25,64.75,63.75,64.25
17/05/19,64.75,64.75,63,63
21/05/19,63,64.25,62.5,62.5
22/05/19,62.75,63,60,60.5
23/05/19,60,60.25,59,59
24/05/19,59,60.25,58.5,60
27/05/19,60.25,60.25,58.75,59.25
28/05/19,59.5,60.75,59.5,60
29/05/19,60,60.25,59.25,59.25
30/05/19,59.5,60,59,59.5
31/05/19,59.25,59.75,59,59.25
04/06/19,59.5,59.75,58.5,59.5
05/06/19,60.25,60.5,59.75,60
06/06/19,60,60,59,59.5
07/06/19,59.75,60.25,59.5,60
10/06/19,61,61.5,60.75,61
11/06/19,60.75,61,60.25,60.5
12/06/19,60.5,60.75,60.25,60.25
13/06/19,60,60.75,59.75,60.25
14/06/19,60.25,60.75,60,60.25
17/06/19,60.5,60.75,60,60
18/06/19,60,61,59.5,60.5
19/06/19,61.5,62.75,61.25,62
20/06/19,62.5,64.25,62,64.25
21/06/19,64.5,65.75,64.25,64.25
24/06/19,64.75,66.75,64.5,66.5
25/06/19,66.25,67,65.5,66.5
26/06/19,66.25,66.5,65.75,66.5
27/06/19,66.5,67,66,66.25
28/06/19,66.25,66.75,66,66.5
01/07/19,67.5,69,67.5,68.5
02/07/19,68.5,68.75,67.5,68
03/07/19,67.5,67.5,66,66.25
04/07/19,66.5,67.5,65,65.25
05/07/19,65.75,67,65.5,66.5
08/07/19,66.25,66.5,65.5,66.25
09/07/19,66.25,66.75,66,66.5
10/07/19,66.75,68.75,66.5,68
11/07/19,69.5,71,69.25,71
12/07/19,72,73,71.5,72.5
15/07/19,72.25,72.25,70,70.75
17/07/19,69.5,69.5,68.5,69
18/07/19,68.75,70,68.5,69
19/07/19,69.75,71.5,69.75,70.5
22/07/19,70.5,71.25,70.25,71.25
23/07/19,71.25,71.5,70.25,71
24/07/19,71.25,71.25,70.25,71
25/07/19,70.5,70.75,69.25,69.75
26/07/19,69.75,70,69,69.5
30/07/19,69,69.25,68,68.75
31/07/19,68.25,70.5,68.25,69
01/08/19,68.25,69.5,68,68.75
02/08/19,67.25,67.5,65.5,67
05/08/19,66,66.75,65.75,66
06/08/19,65,66.25,64.5,65.75
07/08/19,65.5,65.75,63,63.75
08/08/19,63.25,63.5,62,62
09/08/19,62.5,64.25,62.5,63.75
13/08/19,64,65.25,63.75,64.25
14/08/19,65.25,66.75,65,65.5
15/08/19,65.25,65.25,62,64
16/08/19,64,64.5,63,64.5
19/08/19,65.75,66.5,65,65.25
20/08/19,65.25,65.5,64,64.25
21/08/19,64.25,65.75,63.75,65
22/08/19,64.75,65,64.25,64.75
23/08/19,64.5,65.5,64.25,65.5
26/08/19,62.5,62.75,61.5,62.5
