date,open,high,low,close
03/01/18,8.15,8.25,8.1,8.2
04/01/18,8.2,8.25,8.1,8.15
05/01/18,8.15,8.2,8,8
08/01/18,8.05,8.2,8,8.05
09/01/18,8.05,8.05,8.05,8.05
10/01/18,8.05,8.2,8.05,8.05
11/01/18,8.05,8.1,7.95,8
12/01/18,8.05,8.1,8,8
15/01/18,8.1,8.15,8,8
16/01/18,8.05,8.1,7.95,8.05
17/01/18,8.05,8.05,7.9,7.95
18/01/18,7.95,8,7.9,7.9
19/01/18,7.95,7.95,7.85,7.9
22/01/18,7.9,7.95,7.85,7.9
23/01/18,7.95,8.05,7.85,7.9
24/01/18,7.9,8,7.85,7.9
25/01/18,7.95,7.95,7.85,7.85
26/01/18,7.9,7.95,7.85,7.85
29/01/18,7.9,8.1,7.85,8.05
30/01/18,8.05,8.2,8.05,8.1
31/01/18,8.1,8.15,8.05,8.05
01/02/18,8.05,8.1,8,8
02/02/18,8.05,8.05,7.95,8
05/02/18,7.9,7.95,7.85,7.95
06/02/18,7.8,7.85,7.7,7.85
07/02/18,7.9,7.9,7.8,7.8
08/02/18,7.85,7.85,7.8,7.85
09/02/18,7.75,7.8,7.75,7.75
12/02/18,7.8,7.85,7.75,7.8
13/02/18,7.85,7.85,7.7,7.7
14/02/18,7.75,7.75,7.65,7.7
15/02/18,7.75,7.8,7.7,7.75
16/02/18,7.85,8,7.8,7.95
19/02/18,8,8,7.85,7.9
20/02/18,7.9,8,7.85,7.85
21/02/18,7.85,7.95,7.8,7.8
22/02/18,7.75,7.8,7.6,7.65
23/02/18,7.65,7.75,7.65,7.75
26/02/18,7.8,7.8,7.65,7.75
27/02/18,7.7,7.75,7.3,7.35
28/02/18,7.35,7.4,7.25,7.25
02/03/18,7.2,7.25,6.8,6.9
05/03/18,6.9,7.15,6.85,6.95
06/03/18,6.95,6.95,6.95,6.95
07/03/18,6.95,6.95,6.85,6.9
08/03/18,6.9,7,6.85,6.85
09/03/18,6.9,6.95,6.8,6.85
12/03/18,6.85,6.9,6.75,6.9
13/03/18,6.9,6.9,6.7,6.75
14/03/18,6.75,7,6.75,6.95
15/03/18,7,7.1,6.95,7
16/03/18,7,7.05,7,7
19/03/18,7,7.05,6.95,6.95
20/03/18,6.95,7,6.85,6.9
21/03/18,6.95,7,6.9,6.9
22/03/18,6.95,6.95,6.85,6.9
23/03/18,6.85,6.85,6.8,6.8
26/03/18,6.85,7,6.85,6.9
27/03/18,7,7,6.9,6.95
28/03/18,6.95,7,6.85,6.85
29/03/18,6.95,7,6.85,6.9
30/03/18,7,7.05,6.75,6.8
02/04/18,6.9,7,6.8,6.8
03/04/18,6.85,6.85,6.75,6.75
04/04/18,6.75,6.8,6.3,6.4
05/04/18,6.45,6.5,6.3,6.4
09/04/18,6.4,6.45,6.2,6.35
10/04/18,6.35,6.4,6.25,6.4
11/04/18,6.4,6.5,6.35,6.35
12/04/18,6.35,6.4,6.3,6.3
17/04/18,6.3,6.35,6.05,6.1
18/04/18,6.1,6.25,6.1,6.25
19/04/18,6.3,6.3,6.05,6.1
20/04/18,6.15,6.35,6.1,6.35
23/04/18,6.4,6.6,6.35,6.5
24/04/18,6.55,6.55,6.4,6.45
25/04/18,6.4,6.5,6.4,6.45
26/04/18,6.55,6.55,6.4,6.45
27/04/18,6.5,6.5,6.35,6.5
30/04/18,6.55,6.75,6.55,6.7
02/05/18,6.7,6.75,6.6,6.7
03/05/18,6.7,6.75,6.65,6.65
04/05/18,6.7,6.85,6.6,6.65
07/05/18,6.7,6.85,6.6,6.8
08/05/18,6.8,6.8,6.7,6.75
09/05/18,6.75,6.8,6.55,6.6
10/05/18,6.65,6.7,6.55,6.55
11/05/18,6.6,6.75,6.6,6.75
14/05/18,6.75,6.8,6.7,6.75
15/05/18,6.8,6.9,6.75,6.8
16/05/18,6.75,6.8,6.65,6.65
17/05/18,6.65,6.7,6.6,6.7
18/05/18,6.7,6.75,6.65,6.65
21/05/18,6.65,6.75,6.65,6.75
22/05/18,6.7,6.75,6.6,6.65
23/05/18,6.65,6.7,6.6,6.7
24/05/18,6.6,6.65,6.55,6.6
25/05/18,6.6,6.7,6.6,6.7
28/05/18,6.7,6.7,6.6,6.7
30/05/18,6.7,6.75,6.6,6.7
31/05/18,6.65,6.75,6.6,6.75
01/06/18,6.75,6.8,6.65,6.7
04/06/18,6.7,6.8,6.7,6.7
05/06/18,6.7,6.8,6.6,6.65
06/06/18,6.7,6.75,6.65,6.7
07/06/18,6.75,6.8,6.7,6.7
08/06/18,6.7,6.75,6.65,6.7
11/06/18,6.75,6.75,6.65,6.7
12/06/18,6.65,6.75,6.65,6.7
13/06/18,6.65,6.65,6.6,6.65
14/06/18,6.65,6.65,6.6,6.65
15/06/18,6.6,6.65,6.55,6.55
18/06/18,6.55,6.6,6.45,6.5
19/06/18,6.35,6.4,6.2,6.35
20/06/18,6.3,6.35,6.2,6.3
21/06/18,6.3,6.35,6.15,6.2
22/06/18,6.3,6.3,6.15,6.25
25/06/18,6.3,6.35,6.05,6.1
26/06/18,6.1,6.15,5.9,6
27/06/18,6,6.1,5.9,5.9
28/06/18,5.9,5.95,5.4,5.55
29/06/18,5.55,5.6,5.2,5.5
02/07/18,5.55,5.85,5.55,5.8
03/07/18,5.8,6,5.75,5.95
04/07/18,5.9,5.9,5.7,5.75
05/07/18,5.75,5.8,5.55,5.55
06/07/18,5.6,5.7,5.55,5.6
09/07/18,5.6,5.75,5.6,5.7
10/07/18,5.8,6,5.7,5.95
11/07/18,5.9,6,5.85,6
12/07/18,6,6.1,5.95,6
13/07/18,6.05,6.15,6,6
16/07/18,6,6.15,5.9,5.9
17/07/18,5.95,6.05,5.9,6
18/07/18,5.95,6.1,5.95,5.95
19/07/18,5.95,6.1,5.85,6
20/07/18,5.95,6.1,5.95,6
23/07/18,6,6.05,5.95,5.95
24/07/18,6,6,5.95,5.95
25/07/18,5.95,6.1,5.95,6.05
26/07/18,6.1,6.25,6.1,6.2
31/07/18,6.25,6.25,6,6.05
01/08/18,6.1,6.25,6.05,6.1
02/08/18,6.1,6.15,6,6.05
03/08/18,6.05,6.1,6.05,6.05
06/08/18,6.1,6.15,5.95,5.95
07/08/18,6,6.05,6,6
08/08/18,6.05,6.2,6.05,6.15
09/08/18,6.15,6.3,6.1,6.15
10/08/18,6.2,6.2,6.1,6.15
14/08/18,6.1,6.15,6,6.05
15/08/18,6.1,6.1,6,6.05
16/08/18,6.05,6.1,5.95,6.05
17/08/18,6.05,6.1,6.05,6.05
20/08/18,6.1,6.15,6.05,6.1
21/08/18,6.1,6.15,6,6.05
22/08/18,6.1,6.2,6.05,6.1
23/08/18,6.1,6.2,6.1,6.1
24/08/18,6.15,6.25,6.15,6.2
27/08/18,6.25,6.3,6.15,6.3
28/08/18,6.35,6.35,6.2,6.25
29/08/18,6.25,6.35,6.2,6.35
30/08/18,6.35,6.55,6.35,6.5
31/08/18,6.5,6.5,6.4,6.45
03/09/18,6.45,6.55,6.4,6.4
04/09/18,6.4,6.5,6.35,6.4
05/09/18,6.4,6.45,6.25,6.3
06/09/18,6.3,6.45,6.25,6.45
07/09/18,6.4,6.45,6.35,6.4
10/09/18,6.4,6.45,6.35,6.4
11/09/18,6.4,6.45,6.35,6.35
12/09/18,6.4,6.4,6.3,6.35
13/09/18,6.35,6.7,6.35,6.55
14/09/18,6.55,6.65,6.5,6.65
17/09/18,6.55,6.6,6.45,6.55
18/09/18,6.55,6.7,6.5,6.65
19/09/18,6.65,6.85,6.6,6.85
20/09/18,6.85,6.85,6.7,6.7
21/09/18,6.75,6.95,6.7,6.85
24/09/18,6.85,6.85,6.65,6.7
25/09/18,6.7,6.75,6.45,6.5
26/09/18,6.5,6.6,6.5,6.5
27/09/18,6.55,6.6,6.5,6.6
28/09/18,6.6,6.65,6.6,6.65
01/10/18,6.65,6.75,6.6,6.65
02/10/18,6.65,6.7,6.6,6.65
03/10/18,6.7,6.7,6.6,6.6
04/10/18,6.6,6.6,6.4,6.45
05/10/18,6.45,6.5,6.4,6.45
08/10/18,6.45,6.45,6.2,6.25
09/10/18,6.25,6.35,6.2,6.3
10/10/18,6.35,6.4,6.25,6.4
11/10/18,6.25,6.3,6.2,6.25
12/10/18,6.25,6.35,6.25,6.3
16/10/18,6.3,6.4,6.3,6.35
17/10/18,6.35,6.5,6.35,6.4
18/10/18,6.4,6.45,6.3,6.3
19/10/18,6.3,6.35,6.15,6.3
22/10/18,6.3,6.3,6.15,6.2
24/10/18,6.15,6.15,6.05,6.05
25/10/18,6.05,6.05,5.95,6
26/10/18,6,6.05,5.95,6
29/10/18,6,6.05,5.95,5.95
30/10/18,6,6.05,5.95,6
31/10/18,6,6.05,5.95,6
01/11/18,6.05,6.15,6,6.1
02/11/18,6.1,6.2,6.05,6.15
05/11/18,6.15,6.4,6.1,6.3
06/11/18,6.35,6.4,6.2,6.25
