date,open,high,low,close
03/01/18,6.2,6.35,6.15,6.35
04/01/18,6.4,6.5,6.3,6.5
05/01/18,6.45,6.5,6.3,6.4
08/01/18,6.35,6.45,6.25,6.3
09/01/18,6.35,6.35,6.35,6.35
10/01/18,6.35,6.65,6.35,6.65
11/01/18,6.6,6.65,6.5,6.55
12/01/18,6.6,6.6,6.45,6.45
15/01/18,6.55,6.55,6.45,6.5
16/01/18,6.5,6.55,6.4,6.5
17/01/18,6.45,6.55,6.35,6.4
18/01/18,6.4,6.45,6.3,6.3
19/01/18,6.3,6.35,6.2,6.35
22/01/18,6.35,6.45,6.35,6.35
23/01/18,6.45,6.55,6.45,6.5
24/01/18,6.6,6.8,6.55,6.75
25/01/18,6.8,6.9,6.6,6.6
26/01/18,6.65,6.85,6.6,6.85
29/01/18,6.85,6.9,6.75,6.9
30/01/18,6.85,6.85,6.7,6.75
31/01/18,6.7,6.8,6.65,6.75
01/02/18,6.75,6.8,6.65,6.75
02/02/18,6.75,6.8,6.6,6.65
05/02/18,6.55,6.6,6.45,6.5
06/02/18,6.25,6.4,6.2,6.3
07/02/18,6.4,6.45,6.3,6.3
08/02/18,6.35,6.55,6.25,6.4
09/02/18,6.3,6.45,6.25,6.4
12/02/18,6.45,6.5,6.25,6.35
13/02/18,6.4,6.4,6.35,6.35
14/02/18,6.4,6.4,6.3,6.3
15/02/18,6.3,6.4,6.3,6.4
16/02/18,6.4,6.4,6.3,6.3
19/02/18,6.35,6.4,6.3,6.3
20/02/18,6.3,6.4,6.25,6.25
21/02/18,6.3,6.3,6.15,6.2
22/02/18,6.2,6.2,6.05,6.1
23/02/18,6.15,6.3,6.15,6.3
26/02/18,6.3,6.4,6.3,6.4
27/02/18,6.4,6.45,6.2,6.3
28/02/18,6.35,6.35,6.25,6.3
02/03/18,6.35,6.5,6.35,6.4
05/03/18,6.4,6.45,6.3,6.3
06/03/18,6.45,6.45,6.45,6.45
07/03/18,6.45,6.5,6.35,6.45
08/03/18,6.5,6.5,6.35,6.45
09/03/18,6.5,6.5,6.4,6.45
12/03/18,6.5,6.8,6.45,6.7
13/03/18,6.7,6.9,6.65,6.9
14/03/18,6.95,7.35,6.95,7.25
15/03/18,7.3,7.3,7.05,7.15
16/03/18,7.1,7.25,7.05,7.05
19/03/18,7.05,7.2,7,7.15
20/03/18,7.15,7.25,7.1,7.2
21/03/18,7.25,7.3,7.05,7.05
22/03/18,7.1,7.15,7.05,7.1
23/03/18,7,7.15,7,7.1
26/03/18,7.15,7.15,7.05,7.15
27/03/18,7.2,7.2,6.85,7
28/03/18,7,7.1,6.95,7
29/03/18,7.05,7.05,6.9,6.95
30/03/18,6.95,7.1,6.9,7.1
02/04/18,7.1,7.25,7.05,7.2
03/04/18,7.15,7.4,7.15,7.25
04/04/18,7.25,7.6,7.15,7.3
05/04/18,7.35,7.45,7.15,7.15
09/04/18,7.2,7.35,7.15,7.3
10/04/18,7.25,7.3,7.1,7.1
11/04/18,7.1,7.15,7.05,7.1
12/04/18,7.15,7.25,7.1,7.25
17/04/18,7.05,7.2,7,7.1
18/04/18,7.15,7.15,7.1,7.15
19/04/18,7.2,7.3,7.15,7.25
20/04/18,7.25,7.75,7.25,7.7
23/04/18,7.65,7.7,7.5,7.55
24/04/18,7.6,7.65,7.4,7.45
25/04/18,7.4,7.55,7.35,7.45
26/04/18,7.5,7.6,7.4,7.5
27/04/18,7.55,7.65,7.5,7.65
30/04/18,7.65,7.65,7.55,7.6
02/05/18,7.6,7.85,7.55,7.8
03/05/18,7.8,7.85,7.7,7.75
04/05/18,7.75,8,7.75,7.95
07/05/18,8,8.05,7.9,7.95
08/05/18,7.95,8,7.65,7.7
09/05/18,7.7,7.8,7.4,7.55
10/05/18,7.5,7.55,7.3,7.4
11/05/18,7.45,7.6,7.45,7.55
14/05/18,7.55,7.65,7.5,7.55
15/05/18,7.55,7.7,7.4,7.7
16/05/18,7.6,7.65,7.3,7.3
17/05/18,7.25,7.35,6.8,6.8
18/05/18,6.85,7.35,6.8,7.2
21/05/18,7.25,7.3,7.2,7.2
22/05/18,7.2,7.25,6.95,7.1
23/05/18,7.05,7.25,7,7.2
24/05/18,7.1,7.2,6.9,7
25/05/18,7,7.1,6.95,7.1
28/05/18,7.1,7.2,7.05,7.1
30/05/18,7.05,7.1,7,7.1
31/05/18,7.1,7.25,7.05,7.15
01/06/18,7.15,7.15,6.85,6.9
04/06/18,6.9,7,6.85,6.85
05/06/18,6.9,6.9,6.5,6.6
06/06/18,6.7,6.9,6.65,6.85
07/06/18,6.9,6.95,6.8,6.8
08/06/18,6.85,6.9,6.75,6.8
11/06/18,6.8,6.95,6.8,6.9
12/06/18,6.85,6.9,6.65,6.7
13/06/18,6.7,6.75,6.6,6.65
14/06/18,6.65,6.7,6.5,6.6
15/06/18,6.7,6.8,6.6,6.7
18/06/18,6.65,6.7,6.55,6.6
19/06/18,6.55,6.55,6.2,6.2
20/06/18,6.25,6.3,6.15,6.25
21/06/18,6.25,6.3,5.95,6.05
22/06/18,6.1,6.1,5.9,5.95
25/06/18,6,6.05,5.85,5.85
26/06/18,5.85,6.1,5.8,6
27/06/18,6,6.05,5.7,5.7
28/06/18,5.75,5.75,5.3,5.3
29/06/18,5.3,5.45,5.25,5.3
02/07/18,5.3,5.45,5.25,5.45
03/07/18,5.45,5.65,5.4,5.6
04/07/18,5.6,5.75,5.45,5.75
05/07/18,5.75,5.8,5.4,5.45
06/07/18,5.45,5.8,5.35,5.7
09/07/18,5.8,5.9,5.75,5.75
10/07/18,5.8,5.85,5.75,5.8
11/07/18,5.75,5.85,5.7,5.8
12/07/18,5.85,6,5.8,5.9
13/07/18,5.95,6.05,5.9,5.9
16/07/18,5.9,5.95,5.8,5.9
17/07/18,5.85,5.95,5.8,5.9
18/07/18,5.95,6,5.9,5.95
19/07/18,6,6.2,5.9,6.2
20/07/18,6.15,6.25,6.1,6.2
23/07/18,6.25,6.4,6.2,6.25
24/07/18,6.3,6.4,6.3,6.3
25/07/18,6.3,6.35,6.25,6.3
26/07/18,6.3,6.45,6.3,6.3
31/07/18,6.35,6.35,6.25,6.25
01/08/18,6.3,6.45,6.3,6.4
02/08/18,6.4,6.4,6.25,6.35
03/08/18,6.35,6.4,6.3,6.35
06/08/18,6.4,6.5,6.35,6.35
07/08/18,6.4,6.5,6.35,6.5
08/08/18,6.55,6.75,6.5,6.65
09/08/18,6.65,6.7,6.5,6.55
10/08/18,6.5,6.65,6.5,6.6
14/08/18,6.5,6.55,6.3,6.35
15/08/18,6.4,6.45,6,6
16/08/18,6.05,6.25,6,6.25
17/08/18,6.3,6.4,6.1,6.2
20/08/18,6.3,6.35,6.2,6.25
21/08/18,6.25,6.3,6.15,6.25
22/08/18,6.3,6.3,6.2,6.3
23/08/18,6.3,6.3,6.25,6.25
24/08/18,6.3,6.5,6.3,6.45
27/08/18,6.5,6.6,6.45,6.6
28/08/18,6.65,6.7,6.5,6.6
29/08/18,6.6,6.7,6.55,6.7
30/08/18,6.7,6.85,6.55,6.6
31/08/18,6.55,6.7,6.5,6.7
03/09/18,6.65,6.7,6.55,6.6
04/09/18,6.65,6.7,6.55,6.55
05/09/18,6.5,6.55,6.4,6.4
06/09/18,5.9,6,5.55,5.85
07/09/18,5.8,5.95,5.7,5.85
10/09/18,5.85,5.9,5.75,5.8
11/09/18,5.85,5.9,5.65,5.7
12/09/18,5.7,5.75,5.65,5.65
13/09/18,5.75,5.85,5.65,5.75
14/09/18,5.8,5.85,5.75,5.8
17/09/18,5.85,5.9,5.75,5.8
18/09/18,5.8,6.05,5.75,6
19/09/18,6.05,6.1,5.95,5.95
20/09/18,6,6.05,5.9,5.95
21/09/18,6,6.05,5.95,6.05
24/09/18,6.05,6.2,6.05,6.05
25/09/18,6.05,6.15,5.95,6.15
26/09/18,6.15,6.35,6.05,6.15
27/09/18,6.2,6.25,6,6.1
28/09/18,6.15,6.15,6.05,6.05
01/10/18,6.1,6.15,6.05,6.15
02/10/18,6.1,6.15,6.05,6.05
03/10/18,6.1,6.15,6,6.05
04/10/18,6.05,6.1,5.9,5.9
05/10/18,5.9,6.05,5.9,5.9
08/10/18,5.9,5.95,5.8,5.8
09/10/18,5.85,5.95,5.8,5.9
10/10/18,5.95,6,5.9,6
11/10/18,5.85,5.9,5.75,5.85
12/10/18,5.95,6,5.85,6
16/10/18,6,6.1,5.9,6.05
17/10/18,6.1,6.15,6,6
18/10/18,6,6.05,5.95,6
19/10/18,6,6.05,5.9,5.9
22/10/18,5.9,5.95,5.85,5.85
24/10/18,5.8,5.9,5.75,5.8
25/10/18,5.65,5.85,5.6,5.85
26/10/18,5.85,5.85,5.75,5.8
29/10/18,5.8,5.9,5.8,5.9
30/10/18,5.9,5.9,5.8,5.85
31/10/18,5.9,5.95,5.85,5.9
01/11/18,5.9,6.05,5.9,5.95
02/11/18,6.05,6.05,5.95,6
05/11/18,6,6,5.9,5.95
06/11/18,6,6.05,5.95,5.95
07/11/18,5.95,6,5.85,6
08/11/18,6,6.05,5.95,5.95
09/11/18,5.95,5.95,5.85,5.85
12/11/18,5.9,6,5.85,5.85
13/11/18,5.8,5.9,5.75,5.85
14/11/18,5.9,5.95,5.8,5.95
15/11/18,6,6.05,5.85,5.85
16/11/18,5.8,5.9,5.7,5.8
19/11/18,5.8,5.85,5.75,5.85
20/11/18,5.85,5.85,5.75,5.75
21/11/18,5.75,5.85,5.7,5.8
22/11/18,5.8,5.85,5.7,5.7
23/11/18,5.75,5.8,5.7,5.8
26/11/18,5.8,5.9,5.75,5.9
27/11/18,5.85,5.95,5.85,5.95
28/11/18,5.95,5.95,5.75,5.8
29/11/18,5.85,5.9,5.8,5.8
30/11/18,5.85,5.95,5.8,5.85
03/12/18,5.95,6,5.85,5.95
04/12/18,5.95,6,5.85,5.95
06/12/18,5.85,5.95,5.8,5.9
07/12/18,5.9,5.95,5.85,5.95
11/12/18,5.9,5.9,5.8,5.85
12/12/18,5.9,5.9,5.8,5.9
13/12/18,5.9,5.9,5.8,5.8
14/12/18,5.8,5.85,5.75,5.85
17/12/18,5.8,5.85,5.6,5.75
18/12/18,5.65,5.7,5.65,5.65
19/12/18,5.65,5.7,5.6,5.65
20/12/18,5.65,5.65,5.4,5.5
21/12/18,5.45,5.55,5.4,5.5
24/12/18,5.45,5.5,5.4,5.45
25/12/18,5.4,5.4,5.2,5.2
26/12/18,5.15,5.2,5.1,5.15
27/12/18,5.25,5.35,5.15,5.15
28/12/18,5.15,5.2,5.1,5.2
02/01/19,5.15,5.25,5.1,5.1
03/01/19,5.1,5.2,5.1,5.1
04/01/19,5.1,5.15,5,5.1
07/01/19,5.2,5.3,5.1,5.3
08/01/19,5.25,5.35,5.2,5.3
09/01/19,5.3,5.35,5.15,5.2
10/01/19,5.25,5.25,4.88,4.98
11/01/19,5,5.05,4.74,4.84
14/01/19,4.76,4.84,4.74,4.8
15/01/19,4.84,4.86,4.74,4.76
16/01/19,4.78,4.8,4.5,4.6
17/01/19,4.58,4.72,4.54,4.68
18/01/19,4.68,4.76,4.66,4.7
21/01/19,4.72,4.74,4.66,4.68
22/01/19,4.66,4.68,4.6,4.68
23/01/19,4.66,4.86,4.64,4.84
24/01/19,4.84,4.88,4.78,4.82
25/01/19,4.84,4.92,4.82,4.9
28/01/19,4.96,5.1,4.94,5.05
29/01/19,5.1,5.15,5,5
30/01/19,5.05,5.05,4.94,5
31/01/19,5.05,5.15,5,5.1
01/02/19,5.1,5.2,5.05,5.2
04/02/19,5.2,5.3,5.15,5.25
05/02/19,5.25,5.25,5.15,5.2
06/02/19,5.2,5.25,5.15,5.2
07/02/19,5.2,5.3,5.05,5.2
08/02/19,5.15,5.3,5.05,5.2
11/02/19,5.15,5.25,5.15,5.2
12/02/19,5.2,5.25,5.15,5.15
13/02/19,5.2,5.2,5.15,5.2
14/02/19,5.3,5.5,5.25,5.45
15/02/19,5.4,5.45,5.2,5.3
18/02/19,5.35,5.4,5.25,5.25
20/02/19,5.25,5.35,5.2,5.3
21/02/19,5.3,5.4,5.25,5.35
22/02/19,5.3,5.4,5.3,5.35
25/02/19,5.4,5.6,5.4,5.6
26/02/19,5.55,5.65,5.5,5.55
27/02/19,5.55,5.65,5.55,5.6
28/02/19,5.6,5.65,5.35,5.4
01/03/19,5.25,5.3,4.82,4.82
04/03/19,4.9,4.96,4.86,4.9
05/03/19,4.9,4.98,4.86,4.92
06/03/19,4.94,4.96,4.88,4.9
07/03/19,4.9,4.92,4.86,4.9
08/03/19,4.9,4.94,4.86,4.88
11/03/19,4.88,4.92,4.88,4.88
12/03/19,4.9,4.9,4.84,4.86
13/03/19,4.86,4.9,4.84,4.88
14/03/19,4.82,4.88,4.8,4.86
15/03/19,4.86,4.88,4.78,4.8
18/03/19,4.8,4.82,4.74,4.76
