date,open,high,low,close
03/01/18,20,20.9,20,20.700001
04/01/18,20.9,21,20.700001,20.9
05/01/18,20.799999,21,20.6,20.799999
08/01/18,20.6,20.799999,20.5,20.5
09/01/18,20.6,20.9,20.5,20.799999
10/01/18,20.799999,20.9,20.6,20.9
11/01/18,20.700001,20.9,20.6,20.700001
12/01/18,20.700001,20.799999,20.6,20.700001
15/01/18,20.6,20.700001,20.200001,20.200001
16/01/18,20.1,20.299999,19.799999,20.200001
17/01/18,20.200001,20.799999,20.200001,20.6
18/01/18,20.5,20.799999,20.5,20.700001
19/01/18,20.700001,20.700001,20.5,20.700001
22/01/18,20.799999,21.1,20.700001,21
23/01/18,21.1,21.299999,21,21.200001
24/01/18,21.1,21.200001,20.799999,21
25/01/18,21,21,20.4,20.9
26/01/18,20.700001,21,20.6,20.9
29/01/18,21,21,20.700001,20.700001
30/01/18,20.6,20.9,20.6,20.799999
31/01/18,20.6,20.9,20.6,20.700001
01/02/18,20.700001,20.799999,20.700001,20.799999
02/02/18,20.700001,20.700001,20.1,20.200001
05/02/18,20.200001,20.6,20.200001,20.5
06/02/18,20.1,20.6,20,20.5
07/02/18,20.6,20.6,20.299999,20.299999
08/02/18,20.299999,20.6,20.200001,20.5
09/02/18,20.5,20.5,20.1,20.299999
12/02/18,20.299999,20.5,20.299999,20.4
13/02/18,20.4,20.6,20.200001,20.200001
14/02/18,20.200001,20.5,20.200001,20.4
15/02/18,20.4,20.5,19.700001,20
16/02/18,20,20.5,20,20.1
19/02/18,20.200001,20.299999,19.799999,19.9
20/02/18,19.9,20.5,19.9,20.4
21/02/18,20.4,20.700001,20.200001,20.700001
22/02/18,20.700001,20.700001,20,20.200001
23/02/18,20.299999,20.5,20.200001,20.4
26/02/18,20.5,20.700001,20.299999,20.6
27/02/18,20.700001,20.799999,20.4,20.5
28/02/18,20.4,20.5,20,20.1
02/03/18,20.1,20.700001,20.1,20.4
05/03/18,20.4,20.5,20.299999,20.5
06/03/18,20.299999,20.299999,20.299999,20.299999
07/03/18,20.299999,20.4,19.9,20.1
08/03/18,19.9,20,19.799999,20
09/03/18,20.200001,20.200001,19.9,20
12/03/18,20,20.200001,19.9,20.200001
13/03/18,20,20,19.6,20
14/03/18,19.9,20.1,19.9,20.1
15/03/18,20.200001,20.4,20,20.1
16/03/18,20.1,20.1,19.799999,20.1
19/03/18,19.9,20,19.6,19.799999
20/03/18,19.6,19.799999,19.6,19.700001
21/03/18,19.700001,19.9,19.6,19.6
22/03/18,19.6,19.799999,19.6,19.700001
23/03/18,19.6,19.6,19,19.6
26/03/18,19.4,19.5,18.9,18.9
27/03/18,19,19.4,19,19.200001
28/03/18,19.299999,19.299999,18.799999,19
29/03/18,18.799999,18.9,18.6,18.700001
30/03/18,18.700001,18.9,18.6,18.9
02/04/18,18.9,19,18.700001,18.700001
03/04/18,18.700001,18.700001,18,18.299999
04/04/18,18.299999,18.299999,17.5,17.700001
05/04/18,17.9,18.299999,17.700001,18.200001
09/04/18,17.9,18,17.5,17.799999
10/04/18,17.799999,18,17.4,17.9
11/04/18,17.9,18.200001,17.5,17.6
12/04/18,17.6,17.9,17.5,17.6
17/04/18,17.700001,18.1,17.6,18.1
18/04/18,18,18.200001,17.799999,18
19/04/18,18,18.299999,17.799999,18.200001
20/04/18,18.200001,18.299999,17.700001,17.799999
23/04/18,17.9,18.200001,17.9,18.1
24/04/18,18.200001,18.200001,17.9,18.1
25/04/18,18.1,18.1,17.9,18.1
26/04/18,17.9,18,17.700001,18
27/04/18,18.1,18.200001,17.9,18.200001
30/04/18,18.200001,18.200001,17.9,18
02/05/18,17.9,18.299999,17.9,18.200001
03/05/18,18.200001,18.299999,18.1,18.1
04/05/18,18.1,18.299999,18.1,18.299999
07/05/18,18.299999,19.1,17.9,18
08/05/18,18.200001,18.6,18.1,18.5
09/05/18,18.700001,18.9,18.4,18.700001
10/05/18,18.5,18.700001,18.200001,18.4
11/05/18,18.4,18.6,18.299999,18.299999
14/05/18,18.299999,18.299999,18.1,18.200001
15/05/18,18.1,18.299999,18,18.200001
16/05/18,18.200001,18.299999,17.6,17.700001
17/05/18,17.700001,17.9,17.700001,17.799999
18/05/18,17.9,18.200001,17.9,18.1
21/05/18,18.1,18.200001,17.700001,17.799999
22/05/18,17.799999,17.9,17.6,17.700001
23/05/18,17.700001,17.799999,17.5,17.700001
24/05/18,17.6,17.700001,17.5,17.5
25/05/18,17.5,17.700001,17.5,17.700001
28/05/18,17.700001,17.700001,17.200001,17.4
30/05/18,17.200001,17.4,17.1,17.200001
31/05/18,17.1,17.299999,17,17.299999
01/06/18,17.1,17.4,17.1,17.299999
04/06/18,17.200001,17.299999,17,17
05/06/18,17.1,17.200001,17,17.1
06/06/18,17.1,17.6,17.1,17.4
07/06/18,17.5,17.6,17.299999,17.299999
08/06/18,17.299999,17.5,17.1,17.200001
11/06/18,17.200001,17.299999,17,17.1
12/06/18,17.200001,17.5,17.1,17.200001
13/06/18,17.299999,17.4,17.1,17.299999
14/06/18,17.200001,17.299999,17.1,17.299999
15/06/18,17.200001,17.6,17,17.6
18/06/18,17.5,17.700001,17.1,17.700001
19/06/18,17.4,17.5,17,17.1
20/06/18,17,17.1,16.700001,16.799999
21/06/18,16.799999,16.9,16.1,16.299999
22/06/18,16.5,16.6,16.299999,16.299999
25/06/18,16.200001,16.5,16,16
26/06/18,16.1,16.5,16,16.4
27/06/18,16.200001,16.299999,15.8,16
28/06/18,16.1,16.1,15.8,15.8
29/06/18,15.9,15.9,15.5,15.8
02/07/18,15.7,15.8,15.1,15.5
03/07/18,15.5,15.5,15.2,15.4
04/07/18,15.3,15.4,15.2,15.3
05/07/18,15.3,15.3,14.7,14.8
06/07/18,15,15.2,14.8,15
09/07/18,15.1,15.4,15,15
10/07/18,15.1,15.4,14.8,15.4
11/07/18,15.3,15.3,15,15
12/07/18,15.1,15.9,15.1,15.8
13/07/18,15.8,15.8,15.5,15.7
16/07/18,15.5,15.6,15.1,15.2
17/07/18,15.2,15.5,15.2,15.4
18/07/18,15.4,15.5,15.3,15.3
19/07/18,15.4,15.6,15.3,15.4
20/07/18,15.4,16.200001,15.4,16.1
23/07/18,16.1,16.4,15.9,16.200001
24/07/18,16.299999,16.5,16,16.299999
25/07/18,16.299999,16.799999,16.200001,16.6
26/07/18,16.5,16.700001,16.299999,16.5
31/07/18,16.5,17,16.299999,16.4
01/08/18,16.5,17.299999,16.5,17.1
02/08/18,17.1,17.1,16.5,17.1
03/08/18,17.1,17.700001,17.1,17.5
06/08/18,17.700001,17.700001,17.200001,17.4
07/08/18,17.4,18.299999,17.4,18.1
08/08/18,18,18.200001,17.700001,18.1
09/08/18,18.1,18.299999,17.9,18.200001
10/08/18,18,18.200001,17.9,18.1
14/08/18,18.1,18.1,17.799999,18
15/08/18,17.9,18,17.700001,17.9
16/08/18,17.9,18.1,17.799999,18
17/08/18,18,18.4,17.9,18.200001
20/08/18,18.1,18.299999,18.1,18.1
21/08/18,18.1,18.1,17.5,17.700001
22/08/18,17.700001,17.799999,17.4,17.700001
23/08/18,17.9,18.1,17.799999,17.9
24/08/18,17.700001,18,17.700001,17.9
27/08/18,17.799999,17.9,17.5,17.700001
28/08/18,17.9,18,17.5,17.700001
29/08/18,17.700001,17.799999,17.299999,17.5
30/08/18,17.6,17.700001,17.4,17.6
31/08/18,17.5,17.700001,17.5,17.5
03/09/18,17.5,17.799999,17.5,17.5
04/09/18,17.5,17.799999,17.5,17.6
05/09/18,17.5,17.700001,17,17.299999
06/09/18,17.299999,17.4,16.9,17.4
07/09/18,17.1,17.4,17,17.1
10/09/18,17.1,17.1,16.9,17.1
11/09/18,17.1,17.299999,17,17.1
12/09/18,16.9,17.1,16.6,16.799999
13/09/18,16.799999,17.700001,16.799999,17.4
14/09/18,17.4,17.5,17.299999,17.299999
17/09/18,17.299999,17.5,17.1,17.299999
18/09/18,17.299999,17.799999,17.299999,17.6
19/09/18,17.700001,18.299999,17.700001,18.1
20/09/18,18.1,18.299999,17.799999,18
21/09/18,18.200001,18.200001,17.6,17.799999
24/09/18,17.700001,17.9,17.700001,17.700001
25/09/18,17.700001,18,17.700001,17.799999
26/09/18,18,18,17.6,17.6
27/09/18,17.700001,17.799999,17.4,17.700001
28/09/18,17.700001,18,17.6,17.9
01/10/18,17.9,18,17.6,17.700001
02/10/18,17.6,17.6,17,17.200001
03/10/18,17.200001,17.299999,16.799999,16.9
04/10/18,16.799999,16.799999,16.299999,16.5
05/10/18,16.5,16.799999,16.4,16.6
08/10/18,16.6,16.6,16.4,16.4
09/10/18,16.5,16.700001,16,16.299999
10/10/18,16.6,16.6,16.1,16.299999
11/10/18,16,16.200001,15.9,16.1
12/10/18,16.299999,16.299999,15.9,16
16/10/18,16.1,16.299999,16,16.1
17/10/18,16.200001,16.299999,16.1,16.1
18/10/18,16.1,16.299999,15.9,16.1
19/10/18,16.1,16.1,15.6,15.8
22/10/18,16,16.1,15.8,15.9
24/10/18,15.8,16,15.7,15.8
25/10/18,15.5,16.299999,15.5,16.200001
26/10/18,16,16.299999,16,16.200001
29/10/18,16.200001,16.4,16.200001,16.299999
30/10/18,16.299999,16.5,16.200001,16.4
31/10/18,16.5,16.6,16.4,16.6
01/11/18,16.6,16.9,16.6,16.799999
02/11/18,16.9,17,16.6,16.799999
05/11/18,16.799999,17.799999,16.6,17.5
06/11/18,17.700001,17.9,17.6,17.700001
07/11/18,17.700001,17.700001,17.200001,17.6
08/11/18,17.700001,18,17.700001,17.9
09/11/18,17.9,18,17.799999,18
12/11/18,18.1,18.1,17.700001,17.799999
13/11/18,17.799999,18.1,17.700001,18.1
14/11/18,18.1,18.1,17.5,18
15/11/18,18,18.1,17.799999,17.9
16/11/18,17.9,18.1,17.700001,17.799999
19/11/18,18,18.5,17.9,18.4
20/11/18,18.4,18.5,18.1,18.299999
21/11/18,18.200001,18.5,18.200001,18.200001
22/11/18,18.299999,18.299999,18,18.1
23/11/18,18,18.200001,17.799999,18.200001
26/11/18,18.200001,18.5,18,18.4
27/11/18,18.200001,18.5,18.200001,18.299999
28/11/18,18.299999,18.4,17.9,18
29/11/18,18,18.200001,17.5,17.799999
30/11/18,17.799999,18,17.6,17.6
03/12/18,17.700001,17.9,17.299999,17.4
04/12/18,17.5,17.799999,17.5,17.700001
06/12/18,17.6,17.799999,17.5,17.799999
07/12/18,17.9,17.9,17.299999,17.299999
11/12/18,17.200001,17.4,17,17.299999
12/12/18,17.299999,17.700001,17.200001,17.4
13/12/18,17.4,17.700001,17.299999,17.5
14/12/18,17.299999,17.4,16.799999,17
17/12/18,16.9,17,16.1,16.299999
18/12/18,16.299999,16.9,16.200001,16.5
19/12/18,16.5,16.799999,16.299999,16.799999
20/12/18,16.6,17.1,16.6,16.799999
21/12/18,16.6,16.799999,16.5,16.5
24/12/18,16.299999,16.6,16.1,16.4
25/12/18,16.200001,16.4,16,16.1
