date,open,high,low,close
03/01/18,4.02,4.16,4.02,4.16
04/01/18,4.2,4.26,4.18,4.2
05/01/18,4.18,4.22,4.14,4.18
08/01/18,4.16,4.28,4.16,4.18
09/01/18,4.22,4.22,4.22,4.22
10/01/18,4.24,4.36,4.2,4.24
11/01/18,4.26,4.3,4.2,4.3
12/01/18,4.3,4.38,4.26,4.36
15/01/18,4.4,4.52,4.4,4.46
16/01/18,4.5,4.56,4.42,4.44
17/01/18,4.4,4.52,4.38,4.48
18/01/18,4.5,4.52,4.42,4.42
19/01/18,4.4,4.4,4.3,4.4
22/01/18,4.42,4.48,4.38,4.42
23/01/18,4.44,4.46,4.22,4.28
24/01/18,4.28,4.32,4.22,4.22
25/01/18,4.22,4.28,4.18,4.18
26/01/18,4.16,4.24,4.04,4.24
29/01/18,4.24,4.26,4.2,4.24
30/01/18,4.24,4.24,4.12,4.22
31/01/18,4.18,4.24,4.16,4.22
01/02/18,4.22,4.24,4.18,4.2
02/02/18,4.24,4.32,4.24,4.28
05/02/18,4.18,4.26,4.16,4.26
06/02/18,4.16,4.24,4.1,4.2
07/02/18,4.26,4.26,4.16,4.16
08/02/18,4.22,4.24,4.16,4.18
09/02/18,4.14,4.22,4.14,4.2
12/02/18,4.2,4.26,4.18,4.26
13/02/18,4.28,4.34,4.24,4.26
14/02/18,4.28,4.28,4.2,4.2
15/02/18,4.22,4.24,4.18,4.24
16/02/18,4.24,4.26,4.22,4.22
19/02/18,4.24,4.24,4.2,4.22
20/02/18,4.22,4.3,4.2,4.28
21/02/18,4.3,4.3,4.22,4.22
22/02/18,4.24,4.26,4.16,4.18
23/02/18,4.2,4.24,4.16,4.2
26/02/18,4.22,4.24,4.2,4.22
27/02/18,4.24,4.24,4.12,4.12
28/02/18,4.12,4.18,4.1,4.12
02/03/18,4.12,4.12,4.06,4.08
05/03/18,4.06,4.08,3.98,4.04
06/03/18,3.92,3.92,3.92,3.92
07/03/18,3.92,3.92,3.8,3.84
08/03/18,3.86,4.06,3.84,4.04
09/03/18,4.04,4.04,3.92,3.94
12/03/18,3.98,3.98,3.88,3.94
13/03/18,3.94,4.02,3.92,4.02
14/03/18,4.02,4.1,4.02,4.08
15/03/18,4.08,4.1,4.02,4.08
16/03/18,4.08,4.08,4,4
19/03/18,3.98,4,3.88,3.9
20/03/18,3.88,4,3.88,3.98
21/03/18,4,4.02,3.96,4
22/03/18,3.98,4.06,3.98,4
23/03/18,3.96,4.02,3.94,4
26/03/18,3.98,4,3.96,3.96
27/03/18,3.98,4,3.94,3.94
28/03/18,3.94,3.98,3.86,3.86
29/03/18,3.88,3.9,3.76,3.78
30/03/18,3.82,3.84,3.64,3.74
02/04/18,3.68,3.74,3.66,3.72
03/04/18,3.7,3.7,3.6,3.6
04/04/18,3.62,3.68,3.48,3.48
05/04/18,3.52,3.58,3.48,3.58
09/04/18,3.54,3.6,3.46,3.46
10/04/18,3.48,3.62,3.44,3.62
11/04/18,3.64,3.66,3.58,3.64
12/04/18,3.66,3.76,3.64,3.76
17/04/18,3.78,3.78,3.7,3.72
18/04/18,3.76,4,3.74,3.98
19/04/18,3.98,4,3.86,3.9
20/04/18,3.92,4.1,3.9,4.06
23/04/18,4.06,4.08,3.92,3.96
24/04/18,3.98,4.02,3.88,3.88
